sample_id,ensemble_ids,n_ensemble_models,model_family,scoring_space,feature_space,predicted_nas_score,predicted_fibrosis_stage,dataset,mouse_model,mouse_genotype,mouse_treatment,time_point,characteristics_ch1,source_name_ch1,title
GSM4182994,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,raw_mouse_orthologues,orthologues,2.661904255453213,1.3842855533256035,GSE140742_Nlrp3A350V_GS444217,Nlrp3A350V,Nlrp3A350V,GS-444217,not_specified,"tissue: Liver,genotype/variation: Nlrp3A350V/+CreT,treatment: GS-444217,Sex: F",Liver,23_L8.D711: Nlrp3+GS  liver 5
GSM4182995,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,raw_mouse_orthologues,orthologues,3.0065588383316184,1.7732394698566842,GSE140742_Nlrp3A350V_GS444217,Nlrp3A350V,Nlrp3A350V,GS-444217,not_specified,"tissue: Liver,genotype/variation: Nlrp3A350V/+CreT,treatment: GS-444217,Sex: M",Liver,24_L8.D712: Nlrp3+GS  liver 6
GSM4182996,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,raw_mouse_orthologues,orthologues,2.726374604832048,1.5007211819837456,GSE140742_Nlrp3A350V_GS444217,Healthy,WT,WT Control chow+placebo,not_specified,"tissue: Liver,genotype/variation: WT,treatment: Control chow+placebo,Sex: M",Liver,25_L8.D701: WT_con diet liver #1P
GSM4182997,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,raw_mouse_orthologues,orthologues,2.209611220457426,1.516983905815678,GSE140742_Nlrp3A350V_GS444217,Healthy,WT,WT Control chow+placebo,not_specified,"tissue: Liver,genotype/variation: WT,treatment: Control chow+placebo,Sex: M",Liver,26_L8.D702: WT_con diet liver #2P
GSM4183000,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,raw_mouse_orthologues,orthologues,3.917518457265345,1.8908831662096983,GSE140742_Nlrp3A350V_GS444217,Nlrp3A350V,Nlrp3A350V,Nlrp3 Control chow+placebo,not_specified,"tissue: Liver,genotype/variation: Nlrp3A350V/+CreT,treatment: Control chow+placebo,Sex: M",Liver,29_L1.D705: Nlrp3 KI_con diet liver #1P
GSM4183001,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,raw_mouse_orthologues,orthologues,3.792052030561404,1.9378837442050045,GSE140742_Nlrp3A350V_GS444217,Nlrp3A350V,Nlrp3A350V,GS-444217,not_specified,"tissue: Liver,genotype/variation: Nlrp3A350V/+CreT,treatment: GS-444217,Sex: F",Liver,30_L1.D706: Nlrp3 KI_ASK1 Inhibitor liver #1P
GSM4183002,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,raw_mouse_orthologues,orthologues,4.131364535438526,1.8739062006943423,GSE140742_Nlrp3A350V_GS444217,Nlrp3A350V,Nlrp3A350V,GS-444217,not_specified,"tissue: Liver,genotype/variation: Nlrp3A350V/+CreT,treatment: GS-444217,Sex: F",Liver,31_L1.D707: Nlrp3 KI_ASK1 Inhibitor liver #2P
GSM4183003,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,raw_mouse_orthologues,orthologues,3.7940595278214033,2.0265178371068853,GSE140742_Nlrp3A350V_GS444217,Nlrp3A350V,Nlrp3A350V,GS-444217,not_specified,"tissue: Liver,genotype/variation: Nlrp3A350V/+CreT,treatment: GS-444217,Sex: F",Liver,32_L1.D708: Nlrp3 KI_ASK1 Inhibitor liver #3P
GSM4183004,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,raw_mouse_orthologues,orthologues,3.4863612039604,1.9189593598177206,GSE140742_Nlrp3A350V_GS444217,Nlrp3A350V,Nlrp3A350V,GS-444217,not_specified,"tissue: Liver,genotype/variation: Nlrp3A350V/+CreT,treatment: GS-444217,Sex: M",Liver,33_L1.D709: Nlrp3 KI_ASK1 Inhibitor liver #4P
GSM4182972,"0,1,2,3,4,5,6,7,8,9",10,reconstructed_human_plsr,raw_mouse_orthologues,orthologues,-35.70814639758256,-20.87352739825728,GSE140742_Nlrp3A350V_GS444217,Healthy,WT,WT Control chow+placebo,not_specified,"tissue: Liver,genotype/variation: WT,treatment: Control chow+placebo,Sex: F",Liver,1_L5.D701: WT+con liver 1
GSM4182973,"0,1,2,3,4,5,6,7,8,9",10,reconstructed_human_plsr,raw_mouse_orthologues,orthologues,-33.90029502778091,-18.353887186523135,GSE140742_Nlrp3A350V_GS444217,Healthy,WT,WT Control chow+placebo,not_specified,"tissue: Liver,genotype/variation: WT,treatment: Control chow+placebo,Sex: F",Liver,2_L5.D702: WT+con liver 2
GSM4182974,"0,1,2,3,4,5,6,7,8,9",10,reconstructed_human_plsr,raw_mouse_orthologues,orthologues,-35.87843297872496,-20.337022118068262,GSE140742_Nlrp3A350V_GS444217,Healthy,WT,WT Control chow+placebo,not_specified,"tissue: Liver,genotype/variation: WT,treatment: Control chow+placebo,Sex: F",Liver,3_L5.D703: WT+con liver 3
GSM4182975,"0,1,2,3,4,5,6,7,8,9",10,reconstructed_human_plsr,raw_mouse_orthologues,orthologues,-37.14287123118924,-21.762330036560467,GSE140742_Nlrp3A350V_GS444217,Healthy,WT,WT Control chow+placebo,not_specified,"tissue: Liver,genotype/variation: WT,treatment: Control chow+placebo,Sex: F",Liver,4_L6.D704: WT+con liver 4
GSM4182976,"0,1,2,3,4,5,6,7,8,9",10,reconstructed_human_plsr,raw_mouse_orthologues,orthologues,-34.53832178661131,-19.41785858531122,GSE140742_Nlrp3A350V_GS444217,Healthy,WT,WT Control chow+placebo,not_specified,"tissue: Liver,genotype/variation: WT,treatment: Control chow+placebo,Sex: F",Liver,5_L5.D705: WT+con liver 5
GSM4182977,"0,1,2,3,4,5,6,7,8,9",10,reconstructed_human_plsr,raw_mouse_orthologues,orthologues,-35.30871908410443,-19.542366381721358,GSE140742_Nlrp3A350V_GS444217,Healthy,WT,WT Control chow+placebo,not_specified,"tissue: Liver,genotype/variation: WT,treatment: Control chow+placebo,Sex: F",Liver,6_L6.D706: WT+con liver 6
GSM4182978,"0,1,2,3,4,5,6,7,8,9",10,reconstructed_human_plsr,raw_mouse_orthologues,orthologues,-34.01244988581404,-18.138549251489128,GSE140742_Nlrp3A350V_GS444217,Healthy,WT,WT Control chow+placebo,not_specified,"tissue: Liver,genotype/variation: WT,treatment: Control chow+placebo,Sex: F",Liver,7_L6.D707: WT+con liver 7
GSM4182979,"0,1,2,3,4,5,6,7,8,9",10,reconstructed_human_plsr,raw_mouse_orthologues,orthologues,-35.215592257376905,-19.553499845326836,GSE140742_Nlrp3A350V_GS444217,Healthy,WT,WT Control chow+placebo,not_specified,"tissue: Liver,genotype/variation: WT,treatment: Control chow+placebo,Sex: M",Liver,8_L6.D708: WT+con liver 8
GSM4182986,"0,1,2,3,4,5,6,7,8,9",10,reconstructed_human_plsr,raw_mouse_orthologues,orthologues,-38.41842237255759,-25.425814208272072,GSE140742_Nlrp3A350V_GS444217,Nlrp3A350V,Nlrp3A350V,Nlrp3 Control chow+placebo,not_specified,"tissue: Liver,genotype/variation: Nlrp3A350V/+CreT,treatment: Control chow+placebo,Sex: F",Liver,15_L7.D703: Nlrp3+con liver 1
GSM4182987,"0,1,2,3,4,5,6,7,8,9",10,reconstructed_human_plsr,raw_mouse_orthologues,orthologues,-41.46267272325041,-29.20193929215101,GSE140742_Nlrp3A350V_GS444217,Nlrp3A350V,Nlrp3A350V,Nlrp3 Control chow+placebo,not_specified,"tissue: Liver,genotype/variation: Nlrp3A350V/+CreT,treatment: Control chow+placebo,Sex: M",Liver,16_L7.D704: Nlrp3+con liver 2
GSM4182988,"0,1,2,3,4,5,6,7,8,9",10,reconstructed_human_plsr,raw_mouse_orthologues,orthologues,-35.725046215437544,-23.508973817567842,GSE140742_Nlrp3A350V_GS444217,Nlrp3A350V,Nlrp3A350V,Nlrp3 Control chow+placebo,not_specified,"tissue: Liver,genotype/variation: Nlrp3A350V/+CreT,treatment: Control chow+placebo,Sex: M",Liver,17_L7.D705: Nlrp3+con liver 3
GSM4182989,"0,1,2,3,4,5,6,7,8,9",10,reconstructed_human_plsr,raw_mouse_orthologues,orthologues,-31.839260960504415,-19.342580882266926,GSE140742_Nlrp3A350V_GS444217,Nlrp3A350V,Nlrp3A350V,Nlrp3 Control chow+placebo,not_specified,"tissue: Liver,genotype/variation: Nlrp3A350V/+CreT,treatment: Control chow+placebo,Sex: M",Liver,18_L7.D706: Nlrp3+con liver 4
GSM4182990,"0,1,2,3,4,5,6,7,8,9",10,reconstructed_human_plsr,raw_mouse_orthologues,orthologues,-37.98616053400174,-25.402585316031466,GSE140742_Nlrp3A350V_GS444217,Nlrp3A350V,Nlrp3A350V,GS-444217,not_specified,"tissue: Liver,genotype/variation: Nlrp3A350V/+CreT,treatment: GS-444217,Sex: M",Liver,19_L7.D707: Nlrp3+GS  liver 1
GSM4182991,"0,1,2,3,4,5,6,7,8,9",10,reconstructed_human_plsr,raw_mouse_orthologues,orthologues,-39.24858508084785,-28.043456490907293,GSE140742_Nlrp3A350V_GS444217,Nlrp3A350V,Nlrp3A350V,GS-444217,not_specified,"tissue: Liver,genotype/variation: Nlrp3A350V/+CreT,treatment: GS-444217,Sex: M",Liver,20_L8.D708: Nlrp3+GS  liver 2
GSM4182992,"0,1,2,3,4,5,6,7,8,9",10,reconstructed_human_plsr,raw_mouse_orthologues,orthologues,-34.72587309183281,-22.18784281069348,GSE140742_Nlrp3A350V_GS444217,Nlrp3A350V,Nlrp3A350V,GS-444217,not_specified,"tissue: Liver,genotype/variation: Nlrp3A350V/+CreT,treatment: GS-444217,Sex: M",Liver,21_L8.D709: Nlrp3+GS  liver 3
