sample_id,ensemble_ids,n_ensemble_models,model_family,scoring_space,feature_space,predicted_nas_score,predicted_fibrosis_stage,dataset,mouse_model,mouse_treatment,time_point,characteristics_ch1,source_name_ch1,title
GSM8316710,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_all_genes,all_human_genes,7.26631065317284,2.394351252402269,GSE269493_CDAA_HFD_Lanifibranor,CDAA-HFD,Lanifibranor,not_specified,"tissue: Liver,treatment: CDAA-HFD Lanifibranor",Liver,"Liver, CDAA-HFD Lanifibranor, Rep 2"
GSM8316711,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_all_genes,all_human_genes,7.269230851844531,2.395294004673646,GSE269493_CDAA_HFD_Lanifibranor,CDAA-HFD,Lanifibranor,not_specified,"tissue: Liver,treatment: CDAA-HFD Lanifibranor",Liver,"Liver, CDAA-HFD Lanifibranor, Rep 3"
GSM8316712,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_all_genes,all_human_genes,7.271588960969346,2.3838383335509414,GSE269493_CDAA_HFD_Lanifibranor,CDAA-HFD,Lanifibranor,not_specified,"tissue: Liver,treatment: CDAA-HFD Lanifibranor",Liver,"Liver, CDAA-HFD Lanifibranor, Rep 4"
GSM8316713,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_all_genes,all_human_genes,7.253638818554563,2.391432183960161,GSE269493_CDAA_HFD_Lanifibranor,CDAA-HFD,Lanifibranor,not_specified,"tissue: Liver,treatment: CDAA-HFD Lanifibranor",Liver,"Liver, CDAA-HFD Lanifibranor, Rep 5"
GSM8316714,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_all_genes,all_human_genes,7.270418669027734,2.3986056809306406,GSE269493_CDAA_HFD_Lanifibranor,CDAA-HFD,Lanifibranor,not_specified,"tissue: Liver,treatment: CDAA-HFD Lanifibranor",Liver,"Liver, CDAA-HFD Lanifibranor, Rep 6"
GSM8316715,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_all_genes,all_human_genes,7.279990713331752,2.395807668289775,GSE269493_CDAA_HFD_Lanifibranor,CDAA-HFD,Lanifibranor,not_specified,"tissue: Liver,treatment: CDAA-HFD Lanifibranor",Liver,"Liver, CDAA-HFD Lanifibranor, Rep 7"
GSM8316716,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_all_genes,all_human_genes,7.271504887652353,2.3864159097312734,GSE269493_CDAA_HFD_Lanifibranor,CDAA-HFD,Lanifibranor,not_specified,"tissue: Liver,treatment: CDAA-HFD Lanifibranor",Liver,"Liver, CDAA-HFD Lanifibranor, Rep 8"
GSM8316717,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_all_genes,all_human_genes,7.2642552626344905,2.397249981981977,GSE269493_CDAA_HFD_Lanifibranor,CDAA-HFD,Lanifibranor,not_specified,"tissue: Liver,treatment: CDAA-HFD Lanifibranor",Liver,"Liver, CDAA-HFD Lanifibranor, Rep 9"
GSM8316718,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_all_genes,all_human_genes,7.2410364782159355,2.4680670745074655,GSE269493_CDAA_HFD_Lanifibranor,CDAA-HFD,Lanifibranor,not_specified,"tissue: Liver,treatment: CDAA-HFD Lanifibranor",Liver,"Liver, CDAA-HFD Lanifibranor, Rep 10"
GSM8316634,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_orthologues,orthologues,7.104098512211096,2.2744598332190176,GSE269493_CDAA_HFD_Lanifibranor,Healthy,Chow,not_specified,"tissue: Liver,treatment: Chow",Liver,"Liver, Chow, Rep 1"
GSM8316635,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_orthologues,orthologues,7.088168661958135,2.28018571069334,GSE269493_CDAA_HFD_Lanifibranor,Healthy,Chow,not_specified,"tissue: Liver,treatment: Chow",Liver,"Liver, Chow, Rep 2"
GSM8316636,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_orthologues,orthologues,7.095012413734922,2.2692801537337894,GSE269493_CDAA_HFD_Lanifibranor,Healthy,Chow,not_specified,"tissue: Liver,treatment: Chow",Liver,"Liver, Chow, Rep 3"
GSM8316637,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_orthologues,orthologues,7.083675320144604,2.277251149608337,GSE269493_CDAA_HFD_Lanifibranor,Healthy,Chow,not_specified,"tissue: Liver,treatment: Chow",Liver,"Liver, Chow, Rep 4"
GSM8316638,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_orthologues,orthologues,7.096358430336453,2.2806097326296517,GSE269493_CDAA_HFD_Lanifibranor,Healthy,Chow,not_specified,"tissue: Liver,treatment: Chow",Liver,"Liver, Chow, Rep 5"
GSM8316640,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_orthologues,orthologues,7.090541550974491,2.2741640977804347,GSE269493_CDAA_HFD_Lanifibranor,Healthy,Chow,not_specified,"tissue: Liver,treatment: Chow",Liver,"Liver, Chow, Rep 6"
GSM8316641,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_orthologues,orthologues,7.101437824167936,2.2933869609992277,GSE269493_CDAA_HFD_Lanifibranor,Healthy,Chow,not_specified,"tissue: Liver,treatment: Chow",Liver,"Liver, Chow, Rep 7"
GSM8316642,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_orthologues,orthologues,7.091351529075623,2.278415149927776,GSE269493_CDAA_HFD_Lanifibranor,Healthy,Chow,not_specified,"tissue: Liver,treatment: Chow",Liver,"Liver, Chow, Rep 8"
GSM8316681,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_orthologues,orthologues,7.184616867999644,2.2800470408425175,GSE269493_CDAA_HFD_Lanifibranor,CDAA-HFD,CDAA-HFD vehicle,not_specified,"tissue: Liver,treatment: CDAA-HFD vehicle",Liver,"Liver, CDAA-HFD vehicle, Rep 1"
GSM8316682,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_orthologues,orthologues,7.223540260676379,2.2759685389819517,GSE269493_CDAA_HFD_Lanifibranor,CDAA-HFD,CDAA-HFD vehicle,not_specified,"tissue: Liver,treatment: CDAA-HFD vehicle",Liver,"Liver, CDAA-HFD vehicle, Rep 2"
