sample_id,ensemble_ids,n_ensemble_models,model_family,scoring_space,feature_space,predicted_nas_score,predicted_fibrosis_stage,dataset,mouse_model,mouse_genotype,mouse_treatment,time_point,characteristics_ch1,source_name_ch1,title
GSM4182994,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_all_genes,all_human_genes,7.207599028845701,2.304138954446212,GSE140742_Nlrp3A350V_GS444217,Nlrp3A350V,Nlrp3A350V,GS-444217,not_specified,"tissue: Liver,genotype/variation: Nlrp3A350V/+CreT,treatment: GS-444217,Sex: F",Liver,23_L8.D711: Nlrp3+GS  liver 5
GSM4182995,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_all_genes,all_human_genes,7.258864827655147,2.361226951860885,GSE140742_Nlrp3A350V_GS444217,Nlrp3A350V,Nlrp3A350V,GS-444217,not_specified,"tissue: Liver,genotype/variation: Nlrp3A350V/+CreT,treatment: GS-444217,Sex: M",Liver,24_L8.D712: Nlrp3+GS  liver 6
GSM4182996,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_all_genes,all_human_genes,7.207829139122317,2.2920467235457025,GSE140742_Nlrp3A350V_GS444217,Healthy,WT,WT Control chow+placebo,not_specified,"tissue: Liver,genotype/variation: WT,treatment: Control chow+placebo,Sex: M",Liver,25_L8.D701: WT_con diet liver #1P
GSM4182997,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_all_genes,all_human_genes,7.195840810345761,2.2786547734217044,GSE140742_Nlrp3A350V_GS444217,Healthy,WT,WT Control chow+placebo,not_specified,"tissue: Liver,genotype/variation: WT,treatment: Control chow+placebo,Sex: M",Liver,26_L8.D702: WT_con diet liver #2P
GSM4183000,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_all_genes,all_human_genes,7.2797228567631755,2.3821131875929287,GSE140742_Nlrp3A350V_GS444217,Nlrp3A350V,Nlrp3A350V,Nlrp3 Control chow+placebo,not_specified,"tissue: Liver,genotype/variation: Nlrp3A350V/+CreT,treatment: Control chow+placebo,Sex: M",Liver,29_L1.D705: Nlrp3 KI_con diet liver #1P
GSM4183001,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_all_genes,all_human_genes,7.275081104365566,2.3547680381470704,GSE140742_Nlrp3A350V_GS444217,Nlrp3A350V,Nlrp3A350V,GS-444217,not_specified,"tissue: Liver,genotype/variation: Nlrp3A350V/+CreT,treatment: GS-444217,Sex: F",Liver,30_L1.D706: Nlrp3 KI_ASK1 Inhibitor liver #1P
GSM4183002,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_all_genes,all_human_genes,7.276777573277286,2.3955103630822028,GSE140742_Nlrp3A350V_GS444217,Nlrp3A350V,Nlrp3A350V,GS-444217,not_specified,"tissue: Liver,genotype/variation: Nlrp3A350V/+CreT,treatment: GS-444217,Sex: F",Liver,31_L1.D707: Nlrp3 KI_ASK1 Inhibitor liver #2P
GSM4183003,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_all_genes,all_human_genes,7.282171968792664,2.403641935289186,GSE140742_Nlrp3A350V_GS444217,Nlrp3A350V,Nlrp3A350V,GS-444217,not_specified,"tissue: Liver,genotype/variation: Nlrp3A350V/+CreT,treatment: GS-444217,Sex: F",Liver,32_L1.D708: Nlrp3 KI_ASK1 Inhibitor liver #3P
GSM4183004,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_all_genes,all_human_genes,7.247913525789551,2.3518095020284253,GSE140742_Nlrp3A350V_GS444217,Nlrp3A350V,Nlrp3A350V,GS-444217,not_specified,"tissue: Liver,genotype/variation: Nlrp3A350V/+CreT,treatment: GS-444217,Sex: M",Liver,33_L1.D709: Nlrp3 KI_ASK1 Inhibitor liver #4P
GSM4182972,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,translated_orthologues,orthologues,7.111268466775243,2.280539588321873,GSE140742_Nlrp3A350V_GS444217,Healthy,WT,WT Control chow+placebo,not_specified,"tissue: Liver,genotype/variation: WT,treatment: Control chow+placebo,Sex: F",Liver,1_L5.D701: WT+con liver 1
