train,test,fold,cell,iteration
0.959181654666813,0.8996866180208567,0,NPC,0
0.9582268416288802,0.8901219485222649,1,NPC,0
0.9579316901546759,0.895885958302283,2,NPC,0
0.9584020565418631,0.9111760209837869,3,NPC,0
0.9581292414521976,0.9051233953586646,4,NPC,0
0.9583278332796306,0.8986245895167888,0,NPC,1
0.9568239281996385,0.8866914122686023,1,NPC,1
0.9558272910481007,0.8929196703328608,2,NPC,1
0.9587909611945562,0.9081740860424057,3,NPC,1
0.9589956827192369,0.9066155158646609,4,NPC,1
0.9578785649517485,0.8993487662456001,0,NPC,2
0.9577726735592929,0.8893362328859387,1,NPC,2
0.9574568052722016,0.8987268882674903,2,NPC,2
0.9582925395606963,0.9098391494885878,3,NPC,2
0.9582372453836332,0.9064272104000419,4,NPC,2
0.9585656697907183,0.898816270542584,0,NPC,3
0.957114071855529,0.886106063448088,1,NPC,3
0.9574806044723552,0.8978356815156878,2,NPC,3
0.9584212273189415,0.9087410880888681,3,NPC,3
0.9584179434252108,0.9049992073108505,4,NPC,3
0.9579700070405901,0.9010076450873832,0,NPC,4
0.957323860274434,0.8882066300779734,1,NPC,4
0.9583460387925674,0.9020636561370068,2,NPC,4
0.9581360605721216,0.910933354680036,3,NPC,4
0.9594430907601792,0.9064344415368446,4,NPC,4
0.9592372496934917,0.8897379450803615,0,NPC,5
0.957792138201403,0.8775659827054954,1,NPC,5
0.9581515852865182,0.8877489678795389,2,NPC,5
0.9561374986842355,0.9014736226440284,3,NPC,5
0.9582758259291569,0.8947932863846877,4,NPC,5
0.9547199033075571,0.8135944916506913,0,NPC,6
0.9532616946807448,0.8096239676616952,1,NPC,6
0.9534999029657221,0.8213540870877728,2,NPC,6
0.9533740201193901,0.8317919166773109,3,NPC,6
0.9545931538491659,0.8257085174114174,4,NPC,6
0.9541934859798575,0.7655153323188861,0,NPC,7
0.9520342955760582,0.779340907125827,1,NPC,7
0.9530889409996005,0.7922054758273678,2,NPC,7
0.9535106351354539,0.7962236620985137,3,NPC,7
0.954042474372766,0.77883561415094,4,NPC,7
0.9557720433865816,0.7842858222300821,0,NPC,8
0.9523765961843327,0.7871488262450368,1,NPC,8
0.953769658658842,0.7983496546249791,2,NPC,8
0.9540456583218543,0.8132357743641301,3,NPC,8
0.9553232823349218,0.79215876417274,4,NPC,8
