train,test,shuffled X,fold,cell,iteration
0.6245919748445514,0.6259116719112774,0.3198817273768564,0,PC3,0
0.6432307376147197,0.653122515912617,-0.13953096126700698,1,PC3,0
0.6493635737623235,0.6473652074087483,0.19972399425061918,2,PC3,0
0.609265424248632,0.6287816851310506,-0.0054917804955201795,3,PC3,0
0.6557440158881198,0.6285169804197965,0.0854052529746052,4,PC3,0
0.5397771437532392,0.5359221332912146,0.1177928834235739,0,PC3,1
0.625012719583236,0.6383125942131316,0.06924008893749398,1,PC3,1
0.5861652581550416,0.5880299900295691,-0.071307441434755,2,PC3,1
0.6016321169226073,0.6155406938115258,-0.16485907506649627,3,PC3,1
0.6418965993964193,0.6063865838236606,-0.21126197681796427,4,PC3,1
0.6305860323989685,0.6322397355363379,0.1591552442478174,0,PC3,2
0.595880338425226,0.6038433447557023,0.3664186113993197,1,PC3,2
0.5997046983610266,0.6109004997116687,0.094866840191147,2,PC3,2
0.5816242234621971,0.595408848753685,-0.013018303417673429,3,PC3,2
0.6444482965168667,0.6213649966809099,0.07733555304676115,4,PC3,2
0.6626925622760924,0.6765543226337775,-0.19848491862331977,0,PC3,3
0.6072256350065769,0.6210607479120953,0.18452046857103507,1,PC3,3
0.625329847205772,0.6253670016466544,0.047195109369845716,2,PC3,3
0.6494647301063952,0.672506286859209,0.2612325516244007,3,PC3,3
0.6253524775673712,0.5947623763949653,0.13042886065856144,4,PC3,3
0.6096365256915715,0.6057911968518623,0.00633468087606132,0,PC3,4
0.6296291943701231,0.6428941097652507,0.11955633708544706,1,PC3,4
0.6311825281354659,0.6197643384151256,-0.15981839542532053,2,PC3,4
0.6165831649981938,0.6339322316026694,0.040698027051463144,3,PC3,4
0.6581230746729796,0.6311713333630851,0.30705751828867456,4,PC3,4
0.7139674815248855,0.7255480315677773,-0.1465404878022353,0,PC3,5
0.7131204899311534,0.728409633250467,0.06240500840157603,1,PC3,5
0.7039222517931106,0.6922520414346719,-0.14522246295008703,2,PC3,5
0.6940613843260381,0.7141503857811679,0.04517272927648894,3,PC3,5
0.7099430026430446,0.6757392967806002,-0.24156364640587422,4,PC3,5
0.5369291744788454,0.5516116874420969,0.15948840040355935,0,PC3,6
0.536007432862236,0.5553028530172329,0.20318947011999053,1,PC3,6
0.5254040029699095,0.541308768913513,0.0656088376798286,2,PC3,6
0.5274629577293896,0.5645440862067553,0.17484204884397914,3,PC3,6
0.5297634795007468,0.49591992858085987,0.09319101545407796,4,PC3,6
0.3802365903790644,0.39421015745869525,0.09081772579706601,0,PC3,7
0.3858973025318787,0.3934041642071932,0.17280026062906095,1,PC3,7
0.38686616429883924,0.42082544954600304,0.14703373001018277,2,PC3,7
0.3792228022656769,0.4270554279508545,0.1639301652120267,3,PC3,7
0.3914090081336735,0.3705522827587784,0.07223097009885403,4,PC3,7
0.37008164931128434,0.39752029919272214,0.13127557964746053,0,PC3,8
0.3745018752223257,0.38102374237858627,0.12839192494481258,1,PC3,8
0.3750562220849628,0.3931847753706029,0.13362574239028238,2,PC3,8
0.38187943549175596,0.38829167561079625,0.1541069329832275,3,PC3,8
0.37752879612508466,0.3662606750439172,0.1666092856389242,4,PC3,8
