direction,species,baseline,n_folds,mean_flow,mean_baseline,mean_diff,p_value,p_adj_holm
Human to mouse,Mouse,permuted_both,10,0.4630199670791626,1.5437835931777955,-1.0807636260986329,0.0029607685120743537,0.0029607685120743537
Mouse to human,Human,permuted_both,10,0.32523849606513977,1.538350200653076,-1.2131117045879363,0.0029607685120743537,0.0029607685120743537
