direction,species,feature_set,baseline,n_folds,mean_flow,mean_baseline,mean_diff,median_diff,p_value,p_adj_holm,directionality,baseline_label
Mouse to human,Human,Orthologues,permuted_both,10,0.2318386435508728,1.1200858116149903,-0.8882471680641174,-0.8878172636032106,0.0029607685120743537,0.0029607685120743537,lower is better,Permuted both
Mouse to human,Human,All target genes,permuted_both,10,0.23096873760223388,1.1617137908935546,-0.9307450532913208,-0.931081473827362,0.0029607685120743537,0.0029607685120743537,lower is better,Permuted both
Human to mouse,Mouse,Orthologues,permuted_both,10,0.2796491026878357,0.9930513322353364,-0.7134022295475007,-0.7103204429149628,0.0029607685120743537,0.0029607685120743537,lower is better,Permuted both
Human to mouse,Mouse,All target genes,permuted_both,10,0.2668984055519104,1.0804684519767762,-0.8135700464248657,-0.8007140159606935,0.0029607685120743537,0.0029607685120743537,lower is better,Permuted both
