train,test,shuffled X,fold,cell,iteration
0.40244797521294245,0.351958315790469,0.27236760418610345,0,YAPC,0
0.38075313840951497,0.4073313479978115,0.25659418256153793,1,YAPC,0
0.39139168631600707,0.3364368348954092,0.22461686849279888,2,YAPC,0
0.3927826569912605,0.3962762093112664,0.3123051378598474,3,YAPC,0
0.3837832512639291,0.4121417679341933,0.251841930369816,4,YAPC,0
0.4298686634516367,0.3795982324004062,0.24044818245787974,0,YAPC,1
0.39278835080343294,0.4121896409739929,0.2664345859683643,1,YAPC,1
0.44654699332800596,0.3905068887958475,0.25890193394910194,2,YAPC,1
0.4175245129505236,0.4000890666135411,0.26039465808638373,3,YAPC,1
0.4070112231125077,0.4251970222883854,0.23494872002386247,4,YAPC,1
0.3527131642550583,0.3308289545715556,0.28063769487652634,0,YAPC,2
0.31067018776782085,0.31732696915803904,0.27034089320825627,1,YAPC,2
0.3347964508480337,0.2862705403411242,0.23579547415810964,2,YAPC,2
0.33404247831463063,0.3248948359916116,0.23361702634218517,3,YAPC,2
0.3189309200959331,0.34020903971136174,0.29125468521086867,4,YAPC,2
0.40196398139873124,0.3636319849066595,0.26251924975615326,0,YAPC,3
0.41140904694572805,0.41578917123994985,0.27924834498290596,1,YAPC,3
0.4131330288875773,0.3769932258691402,0.2507471609854148,2,YAPC,3
0.4119639433362837,0.3913568696824386,0.3153536799076989,3,YAPC,3
0.40241919461904085,0.3969254633979032,0.233057063021198,4,YAPC,3
0.35443933095793134,0.31654356385674853,0.2922051783748581,0,YAPC,4
0.3448311610188426,0.3701689541686217,0.2591618675892432,1,YAPC,4
0.35400466672434217,0.30041908353308744,0.2926676397900103,2,YAPC,4
0.367759250941459,0.3247013432723911,0.3313097819942022,3,YAPC,4
0.3507945490501854,0.36644045159588123,0.2668095045195849,4,YAPC,4
