train,test,shuffled X,fold,cell,iteration
0.3191698414880944,0.3522835583394686,0.1537161396834657,0,VCAP,0
0.3283228553873899,0.3216818425077981,0.1663624302615643,1,VCAP,0
0.3251991720982262,0.3247915682132303,0.1523359865410043,2,VCAP,0
0.3323746830712569,0.3454321663090975,0.2108012860597284,3,VCAP,0
0.3010538835518664,0.3143205013155216,0.1912672280877559,4,VCAP,0
0.3848197241973252,0.4232520393713324,0.1626650328435801,0,VCAP,1
0.3989244101415474,0.3905062499856232,0.2422500246718308,1,VCAP,1
0.3741689958955159,0.3847033316971366,0.1806651130415736,2,VCAP,1
0.385101735400114,0.3943061261161388,0.240462176059112,3,VCAP,1
0.3733993148415375,0.398551377130508,0.1605810311312316,4,VCAP,1
0.1955253083813979,0.189438386876901,0.2209308467670063,0,VCAP,2
0.164639620304223,0.1648533435050735,0.1507158488611814,1,VCAP,2
0.1847457062977553,0.1933972266274374,0.161434689425206,2,VCAP,2
0.1429786421932473,0.16542838719449,0.1667029871387866,3,VCAP,2
0.1830662327902234,0.1720250411752217,0.1881082352865702,4,VCAP,2
0.2924141473296794,0.3255641818943129,0.1625703983441454,0,VCAP,3
0.28754394573359654,0.30055106793438124,0.12264223869940619,1,VCAP,3
0.27882555918222485,0.2795640400887255,0.12968387616336063,2,VCAP,3
0.24737365448584875,0.25924549060004254,0.15783565956946163,3,VCAP,3
0.3049504703703836,0.3105908985084519,0.21431249187618692,4,VCAP,3
0.2315223075676825,0.22971877143195443,0.08234731476753782,0,VCAP,4
0.2409354526120614,0.24716458084796677,0.13805007528527616,1,VCAP,4
0.21025028330442153,0.2126099170640526,0.1960877171288831,2,VCAP,4
0.22693711576626524,0.23590936666400653,0.21334434131640886,3,VCAP,4
0.24395208766667276,0.23076971258734041,0.21418547893669848,4,VCAP,4
