train,test,shuffled X,fold,cell,iteration
0.4463669650935467,0.43997589327977127,0.2288298580739062,0,MCF10A,0
0.4324625853288585,0.4608352300811175,0.2884471382275952,1,MCF10A,0
0.43913078817599066,0.40878736989102726,0.32985445376451145,2,MCF10A,0
0.42863010127373335,0.3753556499188648,0.3043372233098246,3,MCF10A,0
0.4663762575194551,0.44590369097700566,0.32845640776497564,4,MCF10A,0
0.5166413298934576,0.5121527242699027,0.32073567938128855,0,MCF10A,1
0.5026032011444925,0.4870730015599146,0.3065427896794407,1,MCF10A,1
0.5202199756578255,0.5083795085923273,0.34023256227812165,2,MCF10A,1
0.5243263139749578,0.4373563030870369,0.26439337413809233,3,MCF10A,1
0.4877484883242077,0.5023240081510076,0.31284504921733003,4,MCF10A,1
0.42069247917911784,0.41120872859083957,0.2683402924640456,0,MCF10A,2
0.44211677433211544,0.45671838169009604,0.2385664053252747,1,MCF10A,2
0.44500130721129866,0.4347203074146364,0.24122626079591114,2,MCF10A,2
0.4523501957209086,0.35281673830345106,0.2638654389024259,3,MCF10A,2
0.44938751791194753,0.42118817636855643,0.2384212923779798,4,MCF10A,2
0.5122901818238454,0.5108341049001586,0.35978703096037434,0,MCF10A,3
0.5181484914457428,0.505947745911552,0.31165095280158145,1,MCF10A,3
0.5173205334268335,0.5164548233872321,0.28510213666443995,2,MCF10A,3
0.5354206723385742,0.42922178920235754,0.2578023140710583,3,MCF10A,3
0.501804790988375,0.5155760347710675,0.3617809445279971,4,MCF10A,3
0.5311854305882711,0.5465644058751816,0.2595782164353173,0,MCF10A,4
0.5172848268544592,0.5395613451024748,0.3442187753827834,1,MCF10A,4
0.5401106389552983,0.5252498208230206,0.19380742505226442,2,MCF10A,4
0.5346781301880947,0.4048697020660483,0.24736180959064422,3,MCF10A,4
0.5174254432842698,0.5260159471089412,0.28167111045251714,4,MCF10A,4
