train,test,shuffled X,fold,cell,iteration
0.40363454729762505,0.4227787553226499,0.1422628440587997,0,U2OS,0
0.4083189508861429,0.40704113363900946,0.1235527453984585,1,U2OS,0
0.40271667094242364,0.4238477281002212,0.17460426629523687,2,U2OS,0
0.41844610149520844,0.41770574107028924,0.1891195311307385,3,U2OS,0
0.41713988157539983,0.4150672563019487,0.17158800937051405,4,U2OS,0
0.131482344053553,0.10478672785766047,0.2025827663490417,0,U2OS,1
0.10173837102798475,0.13215603484969607,0.21147105598823077,1,U2OS,1
0.10613729001245706,0.13752919614904296,0.20600195113517206,2,U2OS,1
0.10803401726639786,0.10988638040221993,0.12172402424334093,3,U2OS,1
0.09604148903113081,0.0620564695222956,0.16073116318874958,4,U2OS,1
0.10317205217018838,0.134370713870708,0.12686994648682645,0,U2OS,2
0.13206719009473156,0.1348698811659056,0.1475615246683002,1,U2OS,2
0.11770885374809445,0.11629553844975214,0.16682983819733077,2,U2OS,2
0.15432917389428308,0.16259528479000687,0.1352628180042123,3,U2OS,2
0.1749745019266532,0.1385454360533292,0.20937816898824613,4,U2OS,2
0.17513304111597647,0.15964895555556619,0.21452329705210596,0,U2OS,3
0.15922218371785052,0.16241736816702132,0.21500461962885006,1,U2OS,3
0.12355187321165387,0.13250981665305656,0.15472302309756952,2,U2OS,3
0.15218821993118084,0.17216751538752492,0.1944043817662183,3,U2OS,3
0.1480367543875215,0.13069551093922138,0.2057804995174394,4,U2OS,3
0.3815785539084694,0.40825915778767596,0.19407205039230704,0,U2OS,4
0.38483003023061607,0.3662234981375734,0.1499029829944989,1,U2OS,4
0.38775605703284605,0.41675881949913196,0.1978032734104616,2,U2OS,4
0.39057398314527203,0.39179069939558986,0.22623927989382675,3,U2OS,4
0.39788680338989735,0.387150581899829,0.18758015118775434,4,U2OS,4
