train,test,fold,cell,iteration
0.9093234263478154,0.7976480855499127,0,A549,0
0.9094747500472036,0.798591985182665,1,A549,0
0.906098089854011,0.8028720583726268,2,A549,0
0.9102199971162002,0.7808481280192627,3,A549,0
0.9083711815716438,0.8019062125738842,4,A549,0
0.9096612347998865,0.7980612080503175,0,A549,1
0.9101293716641969,0.7995275876482785,1,A549,1
0.9057209216435753,0.8019223545295076,2,A549,1
0.9092441012007869,0.7803414844842043,3,A549,1
0.908211522886601,0.8018708167582136,4,A549,1
0.9092972008887471,0.79824730762376,0,A549,2
0.9094631724650355,0.7990096996117089,1,A549,2
0.9067141646783929,0.8025842907007594,2,A549,2
0.9096571707114363,0.7795281470228723,3,A549,2
0.9085320148224281,0.8025643224589238,4,A549,2
0.9096034029512305,0.79842838792927,0,A549,3
0.9100341313086667,0.7993268283882525,1,A549,3
0.9061113213603141,0.8022785982289433,2,A549,3
0.9092750758713513,0.7802312494497283,3,A549,3
0.907746865161231,0.8020769893805237,4,A549,3
0.909261510468955,0.7976973938233538,0,A549,4
0.9089202469377198,0.7979009722196763,1,A549,4
0.9059889717812863,0.802914968854248,2,A549,4
0.9093797675620113,0.7796387027071973,3,A549,4
0.9080807203188623,0.8016567367565306,4,A549,4
