train,test,shuffled X,fold,cell,iteration
0.29142540016555457,0.2985054916700013,0.27029516177401913,0,MCF7,0
0.2846661488604949,0.2965535138969586,0.27444513285262456,1,MCF7,0
0.2909489124110787,0.3031828957144097,0.2638056441214832,2,MCF7,0
0.2970323005859351,0.30504620247612363,0.27487209976136023,3,MCF7,0
0.3090875578965358,0.28666397129386173,0.29846014606197324,4,MCF7,0
0.31776239891822916,0.3316276209662167,0.3007796989484058,0,MCF7,1
0.31515613009214966,0.33134519030739557,0.2835641817878108,1,MCF7,1
0.3154671476754629,0.32618073858847096,0.29257447433580075,2,MCF7,1
0.3147244599262494,0.3226069790423082,0.26040352079196105,3,MCF7,1
0.31694539039133396,0.3067066461190921,0.2913078192453982,4,MCF7,1
0.359203511435648,0.38768534011890343,0.31054938457599074,0,MCF7,2
0.3539693258511709,0.36817818993019424,0.28934641732068794,1,MCF7,2
0.35952099252943837,0.36995258574110124,0.29159214982136783,2,MCF7,2
0.3582773932926763,0.3731258215692549,0.2971486041468829,3,MCF7,2
0.36970009253711905,0.34713340550735383,0.2734355743789576,4,MCF7,2
0.2780495692335748,0.2854548170109502,0.27174926853095943,0,MCF7,3
0.27516355308513274,0.2817595362919514,0.2717854303085437,1,MCF7,3
0.2708626285178428,0.2761885232785554,0.2604084760698085,2,MCF7,3
0.274939501394476,0.2854019283153352,0.25403952246150485,3,MCF7,3
0.27851204263741824,0.2770697849916014,0.26381702299442283,4,MCF7,3
0.34852124375494076,0.36651899959137235,0.29622288657210155,0,MCF7,4
0.3572490338869104,0.3702740209267742,0.2913704873436466,1,MCF7,4
0.34768176771521886,0.3608947561356163,0.2860829499692673,2,MCF7,4
0.3503941348672848,0.3587284005758157,0.26023475365109994,3,MCF7,4
0.354563061432553,0.341611682280637,0.30114543902098817,4,MCF7,4
