train,test,shuffled X,fold,cell,iteration
0.2797741852422061,0.3027049403450184,0.2771138612511166,0,HEPG2,0
0.2902820749985997,0.3236862697240058,0.2645856882092151,1,HEPG2,0
0.2788821237170154,0.312487725166214,0.2223260661636341,2,HEPG2,0
0.2980393067429945,0.2861418271430912,0.2253140008648188,3,HEPG2,0
0.2993193428719652,0.2601896749067852,0.2591000513393896,4,HEPG2,0
0.3637753344045265,0.3994992594196632,0.2671079342028907,0,HEPG2,1
0.3827182872629728,0.3837821284331527,0.1991711087895279,1,HEPG2,1
0.3699884283332466,0.4074297832675767,0.2543018278522054,2,HEPG2,1
0.3794039257699074,0.3862971596687073,0.2521363350255713,3,HEPG2,1
0.3911911051628615,0.3629013282714393,0.2662514495021181,4,HEPG2,1
0.2834973332287352,0.303444739389502,0.2190923969522577,0,HEPG2,2
0.2809486978944889,0.3046847725688444,0.2636036819826983,1,HEPG2,2
0.2711686114140538,0.3009512389694665,0.2596751943826882,2,HEPG2,2
0.2818268094253984,0.2691019076517002,0.22869427728219052,3,HEPG2,2
0.2914647915282099,0.2690396500867969,0.2389217636532511,4,HEPG2,2
0.2814405774287273,0.31631018663741617,0.24858378484187763,0,HEPG2,3
0.29651275557038625,0.31222199614159857,0.23532517551290472,1,HEPG2,3
0.28892671245701707,0.31403040016525907,0.26399193642431257,2,HEPG2,3
0.2886736005557604,0.2922413291848424,0.1926627858125129,3,HEPG2,3
0.3004638569263718,0.2699532865107413,0.2488840573854944,4,HEPG2,3
0.2940368709800737,0.3201150563578444,0.25325565207232714,0,HEPG2,4
0.2902252151859179,0.3230275191212274,0.2669142339231277,1,HEPG2,4
0.2955541136137495,0.315544814292656,0.275619428280874,2,HEPG2,4
0.29777837858387335,0.2809226931885204,0.2599609114391112,3,HEPG2,4
0.31109908652615637,0.2857665928482467,0.20149013646343733,4,HEPG2,4
