train,test,fold,cell,iteration
0.8941590115287685,0.811974374287328,0,MCF7,0
0.8964991524547545,0.8154013737580204,1,MCF7,0
0.8947498669614385,0.8168372025233827,2,MCF7,0
0.8940075683195059,0.8244265107513484,3,MCF7,0
0.8937427522588339,0.812925564349088,4,MCF7,0
0.8938206354785991,0.8119505512095476,0,MCF7,1
0.8954712220448621,0.8141029288908515,1,MCF7,1
0.8940707534679206,0.8158003955767459,2,MCF7,1
0.8934834653309269,0.8229646924727889,3,MCF7,1
0.8939679527173148,0.813910680478501,4,MCF7,1
0.8937222269980161,0.8120370106105494,0,MCF7,2
0.8961246575911659,0.8149820724520017,1,MCF7,2
0.8943511521622325,0.8163199999722366,2,MCF7,2
0.8936226848834378,0.8234321706946871,3,MCF7,2
0.893543081603366,0.813278752194929,4,MCF7,2
0.8938222290684932,0.8116795955394969,0,MCF7,3
0.895759103143488,0.814574715121447,1,MCF7,3
0.8944242437227361,0.816501212339686,2,MCF7,3
0.8934770766279317,0.8234158949257326,3,MCF7,3
0.8933818567323066,0.813775438550739,4,MCF7,3
0.8933275460744936,0.8116342652497375,0,MCF7,4
0.8955114657449372,0.8146430987888469,1,MCF7,4
0.8943469917669877,0.817063640091666,2,MCF7,4
0.893448094002764,0.8232556133945609,3,MCF7,4
0.8936841935958093,0.8138578253765987,4,MCF7,4
