train,test,shuffled X,fold,cell,iteration
0.3016792347625688,0.2676975374992574,0.169997079900667,0,HELA,0
0.302558831184491,0.3312685578711635,0.25839917910804927,1,HELA,0
0.3077634075384553,0.31040709782113474,0.2811819120530981,2,HELA,0
0.30886733498661234,0.29510732089650676,0.20511064405072235,3,HELA,0
0.30125845906687687,0.3340778925722798,0.17426332517936316,4,HELA,0
0.2951596654919112,0.2561724780081782,0.21440588603371147,0,HELA,1
0.2935570305219166,0.30529693191326923,0.2541681970599027,1,HELA,1
0.2795665156677827,0.29717560730414716,0.26245594173626474,2,HELA,1
0.310513714464559,0.28670504250717777,0.16701233763217002,3,HELA,1
0.28672357813918203,0.3086682640221944,0.2052971622589003,4,HELA,1
0.3593461882170123,0.35626120740258216,0.2346668802134668,0,HELA,2
0.36984303775432603,0.37851167394867047,0.2327705649178429,1,HELA,2
0.37564752029895354,0.37250442681348994,0.2534171126323041,2,HELA,2
0.3702847220670822,0.3643385665915184,0.22398369613470553,3,HELA,2
0.378225074786282,0.36939631995434485,0.2362578661495049,4,HELA,2
0.3237088378640231,0.2822748529926704,0.19077810442017104,0,HELA,3
0.2979441743603114,0.30983287272420745,0.18698038472700143,1,HELA,3
0.3068560787052059,0.32436115334089455,0.17173294659189312,2,HELA,3
0.3218882083212677,0.2972739541328594,0.24404424262719063,3,HELA,3
0.29960983865851976,0.31053425841352666,0.16611688766100421,4,HELA,3
0.33854147032118265,0.3334953349883111,0.3261827144876208,0,HELA,4
0.34384636750564807,0.3581075278657868,0.20879922949895255,1,HELA,4
0.3465901123019576,0.34334519611552605,0.2340658819624703,2,HELA,4
0.33234883242566804,0.34543765904976576,0.2454566480524232,3,HELA,4
0.33954517349712127,0.33290461521999776,0.27977934364935886,4,HELA,4
