train,test,shuffled X,fold,cell,iteration
0.25655742491019046,0.2871387034008751,0.29842576338746546,0,A549,0
0.24895906509222146,0.269294289735051,0.25621126993622034,1,A549,0
0.2583100534772341,0.25774419732779086,0.2261455989566042,2,A549,0
0.24399720663996394,0.26096785681391343,0.22361164987481857,3,A549,0
0.26134679998186205,0.2401123048254517,0.221654554519444,4,A549,0
0.32484327520172895,0.3602539656941891,0.2862465419769791,0,A549,1
0.32282891991737384,0.33771820207551617,0.24153937443454498,1,A549,1
0.3359780680081118,0.35610978918441816,0.2179162928656503,2,A549,1
0.3292335777827331,0.33748077367921026,0.2625823672045642,3,A549,1
0.3415506608811363,0.3209972639272662,0.2241915978685426,4,A549,1
0.3592797987304331,0.38184238585484775,0.24291148196919485,0,A549,2
0.355861937766826,0.39094614804335126,0.2531352309674584,1,A549,2
0.36172324840533043,0.3697736443680899,0.22111922374693177,2,A549,2
0.3628135699027185,0.3708158578308964,0.2536329677213199,3,A549,2
0.362052166329661,0.33960653846159755,0.22078837892984554,4,A549,2
0.2916641306084544,0.3096699923915829,0.27050125142314463,0,A549,3
0.2926983694582212,0.30821910868787344,0.24763696187105452,1,A549,3
0.29195288611000114,0.31101587313900114,0.2532756014825171,2,A549,3
0.29242500570202934,0.29316129634417626,0.234933586456569,3,A549,3
0.3041648020623961,0.28193936904767136,0.24579510138839297,4,A549,3
0.29305710315716005,0.31862776162517836,0.26461540595343064,0,A549,4
0.28895387760077296,0.31318684314457135,0.2970196160837786,1,A549,4
0.29336777833345296,0.2881803963995214,0.20023242587099294,2,A549,4
0.2910064680350194,0.30394239205244145,0.24207454323205926,3,A549,4
0.2969126651217816,0.270184706339764,0.20505012189808533,4,A549,4
