train,test,shuffled X,fold,cell,iteration
0.3161102414841347,0.26465056235225304,0.21026398810210384,0,NPC,0
0.30584084626900976,0.3098753444382568,0.08403621027742898,1,NPC,0
0.32826088133632103,0.2590011806633892,0.21671715786249446,2,NPC,0
0.2899061705622752,0.34155251098991735,0.2084429577359047,3,NPC,0
0.3026027814039214,0.31572189331343137,0.12168732262325314,4,NPC,0
0.23322592520103044,0.1285366475850171,0.1312767505879592,0,NPC,1
0.21504058377927632,0.1956614843259965,0.17341208362273602,1,NPC,1
0.22545460054176825,0.18758301786218348,0.11703319434517805,2,NPC,1
0.17824185282259497,0.23478732266054195,0.12747030052860436,3,NPC,1
0.19961320535104304,0.15601098570936767,0.16632109120378674,4,NPC,1
0.2910402579583893,0.21120261276460098,0.09015891084880771,0,NPC,2
0.2757271392943372,0.2775551164709309,0.1030510236881673,1,NPC,2
0.2960968924551215,0.2090329723160375,0.19820123425240443,2,NPC,2
0.27049930821321566,0.3386155249171122,0.23883407234273887,3,NPC,2
0.2921617675277677,0.28657250314427196,0.1840402041946915,4,NPC,2
0.2549223138681238,0.17153930714652563,0.17002490028794845,0,NPC,3
0.2558003020404344,0.2615185701707773,0.22262081872526487,1,NPC,3
0.28434292500670166,0.21271094661839082,0.1647669875060197,2,NPC,3
0.24958826320478117,0.31017719263584487,0.16319496155721944,3,NPC,3
0.2537097062578674,0.2481302589017197,0.17708829128542922,4,NPC,3
0.3068013705387651,0.23349880089569314,0.11620032055057998,0,NPC,4
0.28042992260643773,0.270025653078161,0.10306136310248902,1,NPC,4
0.309730493871723,0.2627684009258716,0.1786560812712194,2,NPC,4
0.21813834295230577,0.2907466873856294,0.20414302311974059,3,NPC,4
0.2612401254000971,0.2597251773622701,0.1578621960056775,4,NPC,4
