train,test,fold,cell,iteration
0.9829406841187781,0.8418601651359252,0,YAPC,0
0.981512229705392,0.8622652740681391,1,YAPC,0
0.9794705779021287,0.8703774033082923,2,YAPC,0
0.9780527564481376,0.7901918319286849,3,YAPC,0
0.9809143846824315,0.8789820091976264,4,YAPC,0
0.9832835079693181,0.8401637571351155,0,YAPC,1
0.9821464582371078,0.864158880041767,1,YAPC,1
0.9810353739258779,0.8682822591253041,2,YAPC,1
0.9777895034876034,0.7975460566207329,3,YAPC,1
0.9807566091378912,0.878321790702929,4,YAPC,1
0.9839991184236934,0.8371742586177093,0,YAPC,2
0.9818911869270682,0.8632448693201759,1,YAPC,2
0.9804928245536451,0.8702881460518606,2,YAPC,2
0.9786307853187184,0.783805491280106,3,YAPC,2
0.9806217534434429,0.8754957864552403,4,YAPC,2
0.9839865551645552,0.8412297271755675,0,YAPC,3
0.9807137685414795,0.8653036112725689,1,YAPC,3
0.9805109791073517,0.860032330899507,2,YAPC,3
0.9782715373954998,0.7932401311350145,3,YAPC,3
0.9800484607093154,0.8751136726157418,4,YAPC,3
0.984186201441507,0.841503426526038,0,YAPC,4
0.9818942750613118,0.8623078700593698,1,YAPC,4
0.979901480194268,0.8642546723210522,2,YAPC,4
0.9780412282799887,0.792143889083591,3,YAPC,4
0.9811300081844734,0.8781705445097812,4,YAPC,4
0.9811857647167586,0.8136114266635868,0,YAPC,5
0.9786420652660106,0.8433404778473044,1,YAPC,5
0.9772741824196192,0.8478932280224616,2,YAPC,5
0.9745408166827878,0.7650384506735297,3,YAPC,5
0.978574044106805,0.8584812131370438,4,YAPC,5
0.9819065456541347,0.7221145581590594,0,YAPC,6
0.9792066530685182,0.7361657032240503,1,YAPC,6
0.9780458072580924,0.7381528057518281,2,YAPC,6
0.9730596637786633,0.6758321821996459,3,YAPC,6
0.9800879066558764,0.7475328822700089,4,YAPC,6
0.9835672104254783,0.6805400552696245,0,YAPC,7
0.9802380201600898,0.6864340496314971,1,YAPC,7
0.9794433278044845,0.6787516520715752,2,YAPC,7
0.9746774828937537,0.6499222994213638,3,YAPC,7
0.9814795382517649,0.6829781764214536,4,YAPC,7
0.9841620283298631,0.7077397500552032,0,YAPC,8
0.9805366218957703,0.6999900410185835,1,YAPC,8
0.9804471882236734,0.6967067056621565,2,YAPC,8
0.9751099564156764,0.6855593395473962,3,YAPC,8
0.9817375885941285,0.682152614601766,4,YAPC,8
