train,test,fold,cell,iteration
0.9393661928577872,0.893655532226602,0,PC3,0
0.9399859134572603,0.8956389241027501,1,PC3,0
0.939230790032824,0.8998155115902315,2,PC3,0
0.939629553124625,0.8993880982227843,3,PC3,0
0.9399082347404406,0.8941880920890632,4,PC3,0
0.9390519324019491,0.8916060023193562,0,PC3,1
0.9388570566529459,0.8949167001919633,1,PC3,1
0.9378476559343685,0.8983135663869328,2,PC3,1
0.9383547451469296,0.8988088264681213,3,PC3,1
0.939099940978364,0.891084401959829,4,PC3,1
0.9397134274592611,0.8921903919184928,0,PC3,2
0.9393328634421299,0.8978218694522966,1,PC3,2
0.9391509634404536,0.9020093570917638,2,PC3,2
0.9390418875921207,0.8989121184444725,3,PC3,2
0.9400704823053986,0.8931338498478675,4,PC3,2
0.9393811500565401,0.8894146867888464,0,PC3,3
0.9387758511134401,0.8928508455532951,1,PC3,3
0.938310953108435,0.8986043654075189,2,PC3,3
0.9390625134487689,0.8964997849331922,3,PC3,3
0.938966930087834,0.8932345506079955,4,PC3,3
0.9396990791362458,0.8957077260044236,0,PC3,4
0.9401715284308982,0.8980520825702252,1,PC3,4
0.9399040227667306,0.9015714127915446,2,PC3,4
0.9407339733383198,0.9005070166252752,3,PC3,4
0.9400154698764976,0.8960620023008616,4,PC3,4
0.9235874909051305,0.8764900711074548,0,PC3,5
0.9245407134296114,0.8802305993956753,1,PC3,5
0.921922833802461,0.882202656938852,2,PC3,5
0.9234052179276231,0.8813106806778339,3,PC3,5
0.9242944631979362,0.8749103440573376,4,PC3,5
0.8820281459793582,0.78674868242829,0,PC3,6
0.8801866471501469,0.793761569142781,1,PC3,6
0.8804411475385912,0.797555643310772,2,PC3,6
0.8828401082777335,0.7915004633564242,3,PC3,6
0.8816711236598755,0.7899872004645654,4,PC3,6
0.8617562276104086,0.7353541478554422,0,PC3,7
0.8609109970514689,0.7409039545025347,1,PC3,7
0.8620366747395398,0.7435415484566958,2,PC3,7
0.863499457798765,0.73543198762023,3,PC3,7
0.8619614654427057,0.7295043693118068,4,PC3,7
0.8727376297746268,0.7605263348952566,0,PC3,8
0.8717879372810535,0.7671460398713363,1,PC3,8
0.8715079264547141,0.7660173558631304,2,PC3,8
0.8753396427281805,0.7438828249815315,3,PC3,8
0.874060039991325,0.7608049849365882,4,PC3,8
