fold,direction,tissue,feature_set,model_type,comparison,n_source,n_target,n_features,mmd,random_repeat
7,h2m,liver,all_target_genes,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.5906339883804321,1.0
7,h2m,liver,orthologues,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5919564366340637,1.0
7,h2m,liver,all_target_genes,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.5906344056129456,2.0
7,h2m,liver,orthologues,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5919564962387085,2.0
7,h2m,liver,all_target_genes,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.590634286403656,3.0
7,h2m,liver,orthologues,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.591956615447998,3.0
7,h2m,liver,all_target_genes,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.5906344652175903,4.0
7,h2m,liver,orthologues,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.591956377029419,4.0
7,h2m,liver,all_target_genes,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.5906338691711426,5.0
7,h2m,liver,orthologues,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5919567942619324,5.0
7,h2m,liver,all_target_genes,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.5906345248222351,6.0
7,h2m,liver,orthologues,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5919569730758667,6.0
7,h2m,liver,all_target_genes,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.5906345844268799,7.0
7,h2m,liver,orthologues,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5919566750526428,7.0
7,h2m,liver,all_target_genes,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.5906344056129456,8.0
7,h2m,liver,orthologues,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5919567942619324,8.0
7,h2m,liver,all_target_genes,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.5906341075897217,9.0
7,h2m,liver,orthologues,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5919570326805115,9.0
7,h2m,liver,all_target_genes,permuted_human,translated_liver_source_vs_liver_target,10000,10000,29477,0.4591432809829712,
7,h2m,liver,orthologues,permuted_human,translated_liver_source_vs_liver_target,10000,10000,15666,0.4977388381958008,
7,h2m,liver,all_target_genes,permuted_human,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.5922954678535461,0.0
7,h2m,liver,orthologues,permuted_human,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5919203162193298,0.0
7,h2m,liver,all_target_genes,permuted_human,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.5922965407371521,1.0
7,h2m,liver,orthologues,permuted_human,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.591921865940094,1.0
7,h2m,liver,all_target_genes,permuted_human,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.5922967195510864,2.0
7,h2m,liver,orthologues,permuted_human,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5919211506843567,2.0
7,h2m,liver,all_target_genes,permuted_human,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.592298150062561,3.0
7,h2m,liver,orthologues,permuted_human,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5919215083122253,3.0
7,h2m,liver,all_target_genes,permuted_human,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.5922979116439819,4.0
7,h2m,liver,orthologues,permuted_human,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5919219851493835,4.0
7,h2m,liver,all_target_genes,permuted_human,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.5922954082489014,5.0
7,h2m,liver,orthologues,permuted_human,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.591920793056488,5.0
7,h2m,liver,all_target_genes,permuted_human,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.5922975540161133,6.0
7,h2m,liver,orthologues,permuted_human,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5919204950332642,6.0
7,h2m,liver,all_target_genes,permuted_human,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.5922964811325073,7.0
7,h2m,liver,orthologues,permuted_human,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5919215083122253,7.0
7,h2m,liver,all_target_genes,permuted_human,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.592295229434967,8.0
7,h2m,liver,orthologues,permuted_human,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5919221639633179,8.0
7,h2m,liver,all_target_genes,permuted_human,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.5922972559928894,9.0
7,h2m,liver,orthologues,permuted_human,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5919212698936462,9.0
7,h2m,liver,all_target_genes,permuted_mouse,translated_liver_source_vs_liver_target,10000,10000,29477,1.3738019466400146,
7,h2m,liver,orthologues,permuted_mouse,translated_liver_source_vs_liver_target,10000,10000,15666,1.3703888654708862,
7,h2m,liver,all_target_genes,permuted_mouse,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.5746046304702759,0.0
7,h2m,liver,orthologues,permuted_mouse,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5708983540534973,0.0
7,h2m,liver,all_target_genes,permuted_mouse,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.5746023058891296,1.0
7,h2m,liver,orthologues,permuted_mouse,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5708972811698914,1.0
7,h2m,liver,all_target_genes,permuted_mouse,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.5746049880981445,2.0
7,h2m,liver,orthologues,permuted_mouse,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5709043741226196,2.0
7,h2m,liver,all_target_genes,permuted_mouse,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.5746080875396729,3.0
7,h2m,liver,orthologues,permuted_mouse,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5708977580070496,3.0
7,h2m,liver,all_target_genes,permuted_mouse,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.5746040344238281,4.0
7,h2m,liver,orthologues,permuted_mouse,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5708977580070496,4.0
7,h2m,liver,all_target_genes,permuted_mouse,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.5746014714241028,5.0
7,h2m,liver,orthologues,permuted_mouse,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5708951354026794,5.0
7,h2m,liver,all_target_genes,permuted_mouse,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.5746054649353027,6.0
7,h2m,liver,orthologues,permuted_mouse,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5709020495414734,6.0
7,h2m,liver,all_target_genes,permuted_mouse,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.5746029615402222,7.0
7,h2m,liver,orthologues,permuted_mouse,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5709000825881958,7.0
7,h2m,liver,all_target_genes,permuted_mouse,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.5746018290519714,8.0
7,h2m,liver,orthologues,permuted_mouse,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5709034204483032,8.0
7,h2m,liver,all_target_genes,permuted_mouse,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.5746007561683655,9.0
7,h2m,liver,orthologues,permuted_mouse,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5708990693092346,9.0
7,m2h,liver,all_target_genes,FlowTransOP,translated_liver_source_vs_liver_target,10000,10000,37933,0.2960500717163086,
7,m2h,liver,orthologues,FlowTransOP,translated_liver_source_vs_liver_target,10000,10000,15666,0.32072901725769043,
7,m2h,liver,all_target_genes,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,37933,0.049353599548339844,0.0
7,m2h,liver,all_target_genes,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,37933,0.5919860005378723,0.0
7,m2h,liver,orthologues,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,15666,0.06783998012542725,0.0
7,m2h,liver,orthologues,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5916856527328491,0.0
7,m2h,liver,all_target_genes,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,37933,0.04802656173706055,1.0
7,m2h,liver,all_target_genes,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,37933,0.5919727683067322,1.0
7,m2h,liver,orthologues,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,15666,0.06624388694763184,1.0
7,m2h,liver,orthologues,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5916742086410522,1.0
7,m2h,liver,all_target_genes,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,37933,0.04908895492553711,2.0
7,m2h,liver,all_target_genes,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,37933,0.5919836163520813,2.0
7,m2h,liver,orthologues,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,15666,0.06790721416473389,2.0
7,m2h,liver,orthologues,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.591693639755249,2.0
7,m2h,liver,all_target_genes,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,37933,0.04813957214355469,3.0
7,m2h,liver,all_target_genes,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,37933,0.5919697284698486,3.0
