fold,direction,tissue,feature_set,model_type,comparison,n_source,n_target,n_features,mmd,random_repeat
3,h2m,liver,orthologues,liver_test_orthologues,source_liver_test_vs_target_liver_test,10000,10000,15666,0.20782113075256348,
3,h2m,liver,all_target_genes,liver_test_orthologues,source_liver_test_vs_target_liver_test_orthologue_reference,10000,10000,15666,0.20782113075256348,
3,m2h,liver,orthologues,liver_test_orthologues,source_liver_test_vs_target_liver_test,10000,10000,15666,0.20782113075256348,
3,m2h,liver,all_target_genes,liver_test_orthologues,source_liver_test_vs_target_liver_test_orthologue_reference,10000,10000,15666,0.20782113075256348,
3,h2m,liver,all_target_genes,FlowTransOP,translated_liver_source_vs_liver_target,10000,10000,29477,0.5442337989807129,
3,h2m,liver,orthologues,FlowTransOP,translated_liver_source_vs_liver_target,10000,10000,15666,0.6341603994369507,
3,h2m,liver,all_target_genes,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,29477,0.1695239543914795,0.0
3,h2m,liver,all_target_genes,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.5734452605247498,0.0
3,h2m,liver,orthologues,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,15666,0.20191001892089844,0.0
3,h2m,liver,orthologues,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5736110806465149,0.0
3,h2m,liver,all_target_genes,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,29477,0.16870921850204468,1.0
3,h2m,liver,all_target_genes,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.5734488368034363,1.0
3,h2m,liver,orthologues,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,15666,0.2002723217010498,1.0
3,h2m,liver,orthologues,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5736282467842102,1.0
3,h2m,liver,all_target_genes,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,29477,0.16741842031478882,2.0
3,h2m,liver,all_target_genes,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.5734433531761169,2.0
3,h2m,liver,orthologues,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,15666,0.19909316301345825,2.0
3,h2m,liver,orthologues,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5736220479011536,2.0
3,h2m,liver,all_target_genes,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,29477,0.16496139764785767,3.0
3,h2m,liver,all_target_genes,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.573442280292511,3.0
3,h2m,liver,orthologues,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,15666,0.19634157419204712,3.0
3,h2m,liver,orthologues,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5736057162284851,3.0
3,h2m,liver,all_target_genes,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,29477,0.16751593351364136,4.0
3,h2m,liver,all_target_genes,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.5734440684318542,4.0
3,h2m,liver,orthologues,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,15666,0.1990479826927185,4.0
3,h2m,liver,orthologues,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.573590874671936,4.0
3,h2m,liver,all_target_genes,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,29477,0.165097177028656,5.0
3,h2m,liver,all_target_genes,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.5734374523162842,5.0
