fold,direction,model_type,space,feature_set,comparison,n_source,n_target,n_features,centroid_euclidean,centroid_cosine,centroid_pearson,centroid_spearman,random_repeat,background_n,latent_space
5,h2m,target_liver,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,3.310319185256958,0.24624964594841003,0.2435251772403717,0.23663494853000078,3.0,1000.0,normal_target_space
5,h2m,FlowTransOP,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,4.136871814727783,-0.23163944482803345,-0.23078013956546783,-0.2280432638388208,3.0,1000.0,normal_target_space
5,h2m,target_liver_permuted_space,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,0.9605380892753601,0.999739944934845,0.9997400641441345,0.9995549304196565,3.0,1000.0,permuted_target_space
5,h2m,permuted_both,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,53.01979064941406,-0.7523135542869568,-0.7525622844696045,-0.7379351096062073,3.0,1000.0,permuted_target_space
5,m2h,target_liver,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,1.4862723350524902,0.5733824372291565,0.5738248825073242,0.5759050165367757,3.0,1000.0,normal_target_space
5,m2h,FlowTransOP,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,1.8395637273788452,0.11664500087499619,0.11771838366985321,0.08333655199642943,3.0,1000.0,normal_target_space
5,m2h,target_liver_permuted_space,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,0.13213348388671875,0.9999774694442749,0.9999773502349854,0.999949484870853,3.0,1000.0,permuted_target_space
5,m2h,permuted_both,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,21.176795959472656,-0.8363089561462402,-0.8363233208656311,-0.8401822907725934,3.0,1000.0,permuted_target_space
5,h2m,target_liver,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,3.2758097648620605,0.2946690022945404,0.29214805364608765,0.28746345029239767,4.0,1000.0,normal_target_space
5,h2m,FlowTransOP,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,4.1059675216674805,-0.22275008261203766,-0.22188028693199158,-0.22291360893672538,4.0,1000.0,normal_target_space
