fold,direction,tissue,feature_set,model_type,comparison,n_source,n_target,n_features,mmd,random_repeat
1,h2m,liver,orthologues,liver_test_orthologues,source_liver_test_vs_target_liver_test,10000,10000,15666,0.20785772800445557,
1,h2m,liver,all_target_genes,liver_test_orthologues,source_liver_test_vs_target_liver_test_orthologue_reference,10000,10000,15666,0.20785772800445557,
1,m2h,liver,orthologues,liver_test_orthologues,source_liver_test_vs_target_liver_test,10000,10000,15666,0.20785772800445557,
1,m2h,liver,all_target_genes,liver_test_orthologues,source_liver_test_vs_target_liver_test_orthologue_reference,10000,10000,15666,0.20785772800445557,
1,h2m,liver,all_target_genes,FlowTransOP,translated_liver_source_vs_liver_target,10000,10000,29477,0.5316399931907654,
1,h2m,liver,orthologues,FlowTransOP,translated_liver_source_vs_liver_target,10000,10000,15666,0.6106489300727844,
1,h2m,liver,all_target_genes,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,29477,0.16759538650512695,0.0
1,h2m,liver,all_target_genes,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.5623053312301636,0.0
1,h2m,liver,orthologues,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,15666,0.19940251111984253,0.0
1,h2m,liver,orthologues,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.562626838684082,0.0
1,h2m,liver,all_target_genes,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,29477,0.16900581121444702,1.0
1,h2m,liver,all_target_genes,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.5623075366020203,1.0
1,h2m,liver,orthologues,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,15666,0.20132964849472046,1.0
1,h2m,liver,orthologues,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5626425743103027,1.0
1,h2m,liver,all_target_genes,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,29477,0.16605377197265625,2.0
1,h2m,liver,all_target_genes,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.5623083710670471,2.0
1,h2m,liver,orthologues,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,15666,0.19761532545089722,2.0
1,h2m,liver,orthologues,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5626444816589355,2.0
1,h2m,liver,all_target_genes,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,29477,0.1647244095802307,3.0
1,h2m,liver,all_target_genes,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.562305748462677,3.0
1,h2m,liver,orthologues,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,15666,0.19613903760910034,3.0
1,h2m,liver,orthologues,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5626299977302551,3.0
1,h2m,liver,all_target_genes,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,29477,0.16382205486297607,4.0
1,h2m,liver,all_target_genes,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.5623070001602173,4.0
1,h2m,liver,orthologues,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,15666,0.19504314661026,4.0
1,h2m,liver,orthologues,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5626277923583984,4.0
1,h2m,liver,all_target_genes,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,29477,0.1641727089881897,5.0
1,h2m,liver,all_target_genes,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.5623053908348083,5.0
1,h2m,liver,orthologues,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,15666,0.19535315036773682,5.0
1,h2m,liver,orthologues,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5626275539398193,5.0
1,h2m,liver,all_target_genes,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,29477,0.16493088006973267,6.0
1,h2m,liver,all_target_genes,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.562305748462677,6.0
1,h2m,liver,orthologues,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,15666,0.19626212120056152,6.0
1,h2m,liver,orthologues,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5626294612884521,6.0
1,h2m,liver,all_target_genes,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,29477,0.16502642631530762,7.0
1,h2m,liver,all_target_genes,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.5623053312301636,7.0
1,h2m,liver,orthologues,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,15666,0.1962590217590332,7.0
1,h2m,liver,orthologues,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5626301765441895,7.0
1,h2m,liver,all_target_genes,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,29477,0.16697514057159424,8.0
1,h2m,liver,all_target_genes,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.5623055100440979,8.0
1,h2m,liver,orthologues,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,15666,0.19906556606292725,8.0
1,h2m,liver,orthologues,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5626250505447388,8.0
