fold,direction,feature_set,model_type,comparison,n_source,n_target,n_features,mmd
7,h2m,orthologues,validation_orthologues,source_validation_vs_target_validation,10000,10000,15666,0.09758889675140381
7,h2m,all_target_genes,validation_orthologues,source_validation_vs_target_validation_orthologue_reference,10000,10000,15666,0.09758889675140381
7,m2h,orthologues,validation_orthologues,source_validation_vs_target_validation,10000,10000,15666,0.09758889675140381
7,m2h,all_target_genes,validation_orthologues,source_validation_vs_target_validation_orthologue_reference,10000,10000,15666,0.09758889675140381
7,h2m,all_target_genes,FlowTransOP,translated_source_validation_vs_target_validation,10000,10000,29477,0.26607394218444824
7,h2m,orthologues,FlowTransOP,translated_source_validation_vs_target_validation,10000,10000,15666,0.27719271183013916
7,h2m,all_target_genes,permuted_both,translated_source_validation_vs_target_validation,10000,10000,29477,1.0980629920959473
7,h2m,orthologues,permuted_both,translated_source_validation_vs_target_validation,10000,10000,15666,0.979580819606781
7,h2m,all_target_genes,permuted_human,translated_source_validation_vs_target_validation,10000,10000,29477,0.26732563972473145
7,h2m,orthologues,permuted_human,translated_source_validation_vs_target_validation,10000,10000,15666,0.2530176639556885
7,h2m,all_target_genes,permuted_mouse,translated_source_validation_vs_target_validation,10000,10000,29477,1.0032755136489868
7,h2m,orthologues,permuted_mouse,translated_source_validation_vs_target_validation,10000,10000,15666,0.9202917218208313
7,m2h,all_target_genes,FlowTransOP,translated_source_validation_vs_target_validation,10000,10000,37933,0.23098385334014893
7,m2h,orthologues,FlowTransOP,translated_source_validation_vs_target_validation,10000,10000,15666,0.232549786567688
7,m2h,all_target_genes,permuted_both,translated_source_validation_vs_target_validation,10000,10000,37933,1.1373944282531738
7,m2h,orthologues,permuted_both,translated_source_validation_vs_target_validation,10000,10000,15666,1.1015920639038086
7,m2h,all_target_genes,permuted_mouse,translated_source_validation_vs_target_validation,10000,10000,37933,0.23884844779968262
7,m2h,orthologues,permuted_mouse,translated_source_validation_vs_target_validation,10000,10000,15666,0.2405240535736084
7,m2h,all_target_genes,permuted_human,translated_source_validation_vs_target_validation,10000,10000,37933,1.1515108346939087
7,m2h,orthologues,permuted_human,translated_source_validation_vs_target_validation,10000,10000,15666,1.1112027168273926
