fold,direction,model_type,space,feature_set,comparison,n_source,n_target,n_features,centroid_euclidean,centroid_cosine,centroid_pearson,centroid_spearman,nearest_k,mean_top1_cosine,mean_topk_cosine
7,h2m,liver_test_orthologues,expression,orthologues,source_liver_test_vs_target_liver_test,10000,10000,15666,129.125,0.9722461700439453,0.8557491302490234,0.8512102220188584,10,0.9330415279179811,0.931074699190259
7,m2h,liver_test_orthologues,expression,orthologues,source_liver_test_vs_target_liver_test,10000,10000,15666,129.125,0.9722461700439453,0.8557491302490234,0.8512102220188584,10,0.9438109124064445,0.9424339287936687
7,h2m,FlowTransOP,expression,all_target_genes,translated_liver_source_vs_liver_target,10000,10000,29477,209.98422241210938,0.9347352385520935,0.823576807975769,0.844535132060673,10,0.9819621191203595,0.9809058270275592
7,h2m,FlowTransOP,expression,orthologues,translated_liver_source_vs_liver_target,10000,10000,15666,187.6597137451172,0.9397797584533691,0.7056190967559814,0.6993271657502513,10,0.9868974905848503,0.9862569673478604
7,h2m,permuted_both,expression,all_target_genes,translated_liver_source_vs_liver_target,10000,10000,29477,517.6342163085938,0.633696436882019,0.006709519773721695,0.008328015696313033,10,0.6065724869072437,0.6060645200252534
7,h2m,permuted_both,expression,orthologues,translated_liver_source_vs_liver_target,10000,10000,15666,384.3616638183594,0.7044698596000671,0.006647277157753706,0.008649101347102865,10,0.7101710488915444,0.7068237577259541
7,h2m,permuted_human,expression,all_target_genes,translated_liver_source_vs_liver_target,10000,10000,29477,156.42056274414062,0.9636090993881226,0.895156741142273,0.9005449129014974,10,0.955665634316206,0.9543313943147659
7,h2m,permuted_human,expression,orthologues,translated_liver_source_vs_liver_target,10000,10000,15666,126.16278076171875,0.9717335104942322,0.8562918901443481,0.851571981230648,10,0.9720784590959549,0.9694641981959343
7,h2m,permuted_mouse,expression,all_target_genes,translated_liver_source_vs_liver_target,10000,10000,29477,479.51416015625,0.6480893492698669,0.002758398884907365,0.004931624751016333,10,0.6202697878003121,0.6196529438614845
7,h2m,permuted_mouse,expression,orthologues,translated_liver_source_vs_liver_target,10000,10000,15666,366.8975524902344,0.7212269902229309,0.004209702834486961,0.006778125520406821,10,0.7282489974439144,0.7243260572969914
7,m2h,FlowTransOP,expression,all_target_genes,translated_liver_source_vs_liver_target,10000,10000,37933,110.21424102783203,0.9851629734039307,0.9612531065940857,0.9565899751111451,10,0.977367869490385,0.9759460488677025
7,m2h,FlowTransOP,expression,orthologues,translated_liver_source_vs_liver_target,10000,10000,15666,90.4136962890625,0.9873613119125366,0.9311971664428711,0.9290114628018172,10,0.9849986317753792,0.9841742531001568
7,m2h,permuted_both,expression,all_target_genes,translated_liver_source_vs_liver_target,10000,10000,37933,531.0894165039062,0.6424754858016968,-0.00035693543031811714,-0.00022004168299627887,10,0.6033590570390225,0.6029136373281478
7,m2h,permuted_both,expression,orthologues,translated_liver_source_vs_liver_target,10000,10000,15666,376.0857238769531,0.7305821180343628,0.0020538410171866417,0.003661292671902627,10,0.7416227334856987,0.7390579112768173
7,m2h,permuted_mouse,expression,all_target_genes,translated_liver_source_vs_liver_target,10000,10000,37933,116.15296936035156,0.9830641150474548,0.9552556276321411,0.9499000304260006,10,0.9772694460451603,0.9756267790436745
7,m2h,permuted_mouse,expression,orthologues,translated_liver_source_vs_liver_target,10000,10000,15666,95.13848114013672,0.9854968786239624,0.9229788780212402,0.919592120173356,10,0.9849316111862659,0.9841240291893483
7,m2h,permuted_human,expression,all_target_genes,translated_liver_source_vs_liver_target,10000,10000,37933,537.9737548828125,0.6383453011512756,-0.0016169617883861065,-0.0002533900951909055,10,0.5993343132376671,0.5989780861496925
7,m2h,permuted_human,expression,orthologues,translated_liver_source_vs_liver_target,10000,10000,15666,379.2548828125,0.7254061102867126,-1.461082138121128e-05,0.0021599145014737334,10,0.7369490963578225,0.7339190844535828
