fold,species,tissue,n_samples,per_sample_mean,gene_marginal_r_mean,gene_marginal_r_var,model_type
4,mouse,liver,66605,0.7349894206558019,0.8361503172520163,0.4324806673095478,FlowTransOP
4,mouse,liver,66605,0.002133526524690822,0.0024282343663926268,0.002211248519509368,permuted_both
4,mouse,liver,66605,0.8003934190930252,0.9104938133825153,0.5287104392465728,permuted_human
4,mouse,liver,66605,0.003537598443608908,0.004026965532598805,0.002245977792492331,permuted_mouse
