fold,species,tissue,n_samples,per_sample_mean,gene_marginal_r_mean,gene_marginal_r_var,model_type
8,mouse,liver,66605,0.6931138331902063,0.7882604497844599,0.37325965290941987,FlowTransOP
8,mouse,liver,66605,0.006125351761935697,0.006968120330349938,-0.0019573722670462946,permuted_both
8,mouse,liver,66605,0.7988335022780977,0.9084792825574477,0.5182166884143284,permuted_human
8,mouse,liver,66605,0.0012971111287753442,0.0014755889889099605,-0.0019427596719306587,permuted_mouse
