fold,species,tissue,model_type,comparison,n_samples,n_features,pearson_mu,pearson_var,r2_mu,r2_var
7,human,liver,FlowTransOP,reconstructed_liver_vs_liver_input,32954,37933,0.9749333128339532,0.6999122314785252,0.9504678515144477,0.3865011481551043
7,human,liver,permuted_both,reconstructed_liver_vs_liver_input,32954,37933,-0.0026527419968090885,-0.001543775842719905,-0.6750394406740776,-32.465241643587504
7,mouse,liver,FlowTransOP,reconstructed_liver_vs_liver_input,66605,29477,0.9170725468969937,0.38681791869665694,0.840207196947856,-2.809293100875549
7,mouse,liver,permuted_both,reconstructed_liver_vs_liver_input,66605,29477,0.0071016532795802785,0.0019360657870517738,-0.5035938144264849,-19.359892402034504
