fold,direction,feature_set,model_type,comparison,n_source,n_target,n_features,mmd
8,h2m,orthologues,validation_orthologues,source_validation_vs_target_validation,10000,10000,15666,0.09694170951843262
8,h2m,all_target_genes,validation_orthologues,source_validation_vs_target_validation_orthologue_reference,10000,10000,15666,0.09694170951843262
8,m2h,orthologues,validation_orthologues,source_validation_vs_target_validation,10000,10000,15666,0.09694170951843262
8,m2h,all_target_genes,validation_orthologues,source_validation_vs_target_validation_orthologue_reference,10000,10000,15666,0.09694170951843262
8,h2m,all_target_genes,FlowTransOP,translated_source_validation_vs_target_validation,10000,10000,29477,0.3045661449432373
8,h2m,orthologues,FlowTransOP,translated_source_validation_vs_target_validation,10000,10000,15666,0.3281397819519043
8,h2m,all_target_genes,permuted_both,translated_source_validation_vs_target_validation,10000,10000,29477,1.0484428405761719
8,h2m,orthologues,permuted_both,translated_source_validation_vs_target_validation,10000,10000,15666,0.9626339673995972
8,h2m,all_target_genes,permuted_human,translated_source_validation_vs_target_validation,10000,10000,29477,0.2510792016983032
8,h2m,orthologues,permuted_human,translated_source_validation_vs_target_validation,10000,10000,15666,0.25696825981140137
8,h2m,all_target_genes,permuted_mouse,translated_source_validation_vs_target_validation,10000,10000,29477,1.0067927837371826
8,h2m,orthologues,permuted_mouse,translated_source_validation_vs_target_validation,10000,10000,15666,0.9283639788627625
8,m2h,all_target_genes,FlowTransOP,translated_source_validation_vs_target_validation,10000,10000,37933,0.23402178287506104
8,m2h,orthologues,FlowTransOP,translated_source_validation_vs_target_validation,10000,10000,15666,0.23384881019592285
8,m2h,all_target_genes,permuted_both,translated_source_validation_vs_target_validation,10000,10000,37933,1.1688742637634277
8,m2h,orthologues,permuted_both,translated_source_validation_vs_target_validation,10000,10000,15666,1.1241371631622314
8,m2h,all_target_genes,permuted_mouse,translated_source_validation_vs_target_validation,10000,10000,37933,0.23216748237609863
8,m2h,orthologues,permuted_mouse,translated_source_validation_vs_target_validation,10000,10000,15666,0.23502743244171143
8,m2h,all_target_genes,permuted_human,translated_source_validation_vs_target_validation,10000,10000,37933,1.1483972072601318
8,m2h,orthologues,permuted_human,translated_source_validation_vs_target_validation,10000,10000,15666,1.1126093864440918
