fold,direction,feature_set,model_type,comparison,n_source,n_target,n_features,mmd
4,h2m,orthologues,validation_orthologues,source_validation_vs_target_validation,10000,10000,15666,0.09685945510864258
4,h2m,all_target_genes,validation_orthologues,source_validation_vs_target_validation_orthologue_reference,10000,10000,15666,0.09685945510864258
4,m2h,orthologues,validation_orthologues,source_validation_vs_target_validation,10000,10000,15666,0.09685945510864258
4,m2h,all_target_genes,validation_orthologues,source_validation_vs_target_validation_orthologue_reference,10000,10000,15666,0.09685945510864258
4,h2m,all_target_genes,FlowTransOP,translated_source_validation_vs_target_validation,10000,10000,29477,0.25439131259918213
4,h2m,orthologues,FlowTransOP,translated_source_validation_vs_target_validation,10000,10000,15666,0.26262152194976807
4,h2m,all_target_genes,permuted_both,translated_source_validation_vs_target_validation,10000,10000,29477,1.0495684146881104
4,h2m,orthologues,permuted_both,translated_source_validation_vs_target_validation,10000,10000,15666,1.0031709671020508
4,h2m,all_target_genes,permuted_human,translated_source_validation_vs_target_validation,10000,10000,29477,0.2624509334564209
4,h2m,orthologues,permuted_human,translated_source_validation_vs_target_validation,10000,10000,15666,0.27184343338012695
4,h2m,all_target_genes,permuted_mouse,translated_source_validation_vs_target_validation,10000,10000,29477,1.0124250650405884
4,h2m,orthologues,permuted_mouse,translated_source_validation_vs_target_validation,10000,10000,15666,0.946354866027832
4,m2h,all_target_genes,FlowTransOP,translated_source_validation_vs_target_validation,10000,10000,37933,0.2354872226715088
4,m2h,orthologues,FlowTransOP,translated_source_validation_vs_target_validation,10000,10000,15666,0.23252248764038086
4,m2h,all_target_genes,permuted_both,translated_source_validation_vs_target_validation,10000,10000,37933,1.1651334762573242
4,m2h,orthologues,permuted_both,translated_source_validation_vs_target_validation,10000,10000,15666,1.1193363666534424
4,m2h,all_target_genes,permuted_mouse,translated_source_validation_vs_target_validation,10000,10000,37933,0.24724078178405762
4,m2h,orthologues,permuted_mouse,translated_source_validation_vs_target_validation,10000,10000,15666,0.242254376411438
4,m2h,all_target_genes,permuted_human,translated_source_validation_vs_target_validation,10000,10000,37933,1.1511116027832031
4,m2h,orthologues,permuted_human,translated_source_validation_vs_target_validation,10000,10000,15666,1.111312985420227
