fold,direction,n_samples,n_orthologues,per_sample_mean,gene_marginal_r_mean,gene_marginal_r_var,model_type
3,m2h,64481,15666,0.6232964992523193,0.8718711733818054,0.3838917911052704,FlowTransOP
3,m2h,64481,15666,-0.003488006768748164,-0.004792447201907635,-0.005200806073844433,permuted_both
3,m2h,64481,15666,0.6278066635131836,0.8783968687057495,0.3425767123699188,permuted_mouse
3,m2h,64481,15666,-0.0036463334690779448,-0.005105148069560528,-0.008613603189587593,permuted_human
