fold,direction,feature_set,model_type,comparison,n_source,n_target,n_features,mmd
0,h2m,orthologues,validation_orthologues,source_validation_vs_target_validation,10000,10000,15666,0.0978158712387085
0,h2m,all_target_genes,validation_orthologues,source_validation_vs_target_validation_orthologue_reference,10000,10000,15666,0.0978158712387085
0,m2h,orthologues,validation_orthologues,source_validation_vs_target_validation,10000,10000,15666,0.0978158712387085
0,m2h,all_target_genes,validation_orthologues,source_validation_vs_target_validation_orthologue_reference,10000,10000,15666,0.0978158712387085
0,h2m,all_target_genes,FlowTransOP,translated_source_validation_vs_target_validation,10000,10000,29477,0.2724452018737793
0,h2m,orthologues,FlowTransOP,translated_source_validation_vs_target_validation,10000,10000,15666,0.28689050674438477
0,h2m,all_target_genes,permuted_both,translated_source_validation_vs_target_validation,10000,10000,29477,1.2583229541778564
0,h2m,orthologues,permuted_both,translated_source_validation_vs_target_validation,10000,10000,15666,1.1295372247695923
0,h2m,all_target_genes,permuted_human,translated_source_validation_vs_target_validation,10000,10000,29477,0.26475226879119873
0,h2m,orthologues,permuted_human,translated_source_validation_vs_target_validation,10000,10000,15666,0.27497613430023193
0,h2m,all_target_genes,permuted_mouse,translated_source_validation_vs_target_validation,10000,10000,29477,1.1124277114868164
0,h2m,orthologues,permuted_mouse,translated_source_validation_vs_target_validation,10000,10000,15666,1.01513671875
0,m2h,all_target_genes,FlowTransOP,translated_source_validation_vs_target_validation,10000,10000,37933,0.24723339080810547
0,m2h,orthologues,FlowTransOP,translated_source_validation_vs_target_validation,10000,10000,15666,0.25723206996917725
0,m2h,all_target_genes,permuted_both,translated_source_validation_vs_target_validation,10000,10000,37933,1.1760797500610352
0,m2h,orthologues,permuted_both,translated_source_validation_vs_target_validation,10000,10000,15666,1.1312127113342285
0,m2h,all_target_genes,permuted_mouse,translated_source_validation_vs_target_validation,10000,10000,37933,0.2464059591293335
0,m2h,orthologues,permuted_mouse,translated_source_validation_vs_target_validation,10000,10000,15666,0.2538222074508667
0,m2h,all_target_genes,permuted_human,translated_source_validation_vs_target_validation,10000,10000,37933,1.1594741344451904
0,m2h,orthologues,permuted_human,translated_source_validation_vs_target_validation,10000,10000,15666,1.1185946464538574
