fold,species,tissue,n_samples,per_sample_mean,gene_marginal_r_mean,gene_marginal_r_var,model_type
1,mouse,liver,66605,0.7470712524093883,0.8499334449542468,0.4093587558224643,FlowTransOP
1,mouse,liver,66605,-0.0025235456573190415,-0.002870752853520716,0.0075228273751702796,permuted_both
1,mouse,liver,66605,0.8155171513620549,0.9275836620846334,0.6253238136087423,permuted_human
1,mouse,liver,66605,0.00221480781550199,0.0025196281416117916,-0.00044150015569042274,permuted_mouse
