fold,species,tissue,n_samples,per_sample_mean,gene_marginal_r_mean,gene_marginal_r_var,model_type
5,human,liver,32954,0.799000727102907,0.9577067940938033,0.6019890352686758,FlowTransOP
5,human,liver,32954,0.0026675359754979896,0.003197673523363282,0.003132212577876552,permuted_both
5,human,liver,32954,0.0028903163779515546,0.003465028581673652,0.004386100764285668,permuted_human
5,human,liver,32954,0.8015463570995217,0.9608692686201101,0.6163213793062017,permuted_mouse
