fold,direction,tissue,n_samples,n_orthologues,per_sample_mean,gene_marginal_r_mean,gene_marginal_r_var,model_type
2,m2h,liver,66605,15666,0.683407723903656,0.7976909875869751,0.1753518283367157,FlowTransOP
2,m2h,liver,66605,15666,0.0030720403883606195,0.0035850652493536472,0.003522003535181284,permuted_both
2,m2h,liver,66605,15666,0.6886225342750549,0.8020352721214294,-0.11909016966819763,permuted_mouse
2,m2h,liver,66605,15666,0.0011674619745463133,0.0013752705417573452,0.004415876232087612,permuted_human
