fold,direction,tissue,model_type,comparison,n_source,n_target,n_features,mmd
5,h2m,liver,FlowTransOP,translated_source_vs_real_target,10000,10000,512,0.8937554955482483
5,h2m,liver,permuted_both,translated_source_vs_real_target,10000,10000,512,1.5402759313583374
5,m2h,liver,FlowTransOP,translated_source_vs_real_target,10000,10000,512,0.4215099811553955
5,m2h,liver,permuted_both,translated_source_vs_real_target,10000,10000,512,1.573273777961731
