fold,direction,feature_set,model_type,comparison,n_source,n_target,n_features,mmd
5,h2m,orthologues,validation_orthologues,source_validation_vs_target_validation,10000,10000,15666,0.09750771522521973
5,h2m,all_target_genes,validation_orthologues,source_validation_vs_target_validation_orthologue_reference,10000,10000,15666,0.09750771522521973
5,m2h,orthologues,validation_orthologues,source_validation_vs_target_validation,10000,10000,15666,0.09750771522521973
5,m2h,all_target_genes,validation_orthologues,source_validation_vs_target_validation_orthologue_reference,10000,10000,15666,0.09750771522521973
5,h2m,all_target_genes,FlowTransOP,translated_source_validation_vs_target_validation,10000,10000,29477,0.27259063720703125
5,h2m,orthologues,FlowTransOP,translated_source_validation_vs_target_validation,10000,10000,15666,0.28807997703552246
5,h2m,all_target_genes,permuted_both,translated_source_validation_vs_target_validation,10000,10000,29477,1.063917636871338
5,h2m,orthologues,permuted_both,translated_source_validation_vs_target_validation,10000,10000,15666,0.9795709848403931
5,h2m,all_target_genes,permuted_human,translated_source_validation_vs_target_validation,10000,10000,29477,0.2580524682998657
5,h2m,orthologues,permuted_human,translated_source_validation_vs_target_validation,10000,10000,15666,0.2609487771987915
5,h2m,all_target_genes,permuted_mouse,translated_source_validation_vs_target_validation,10000,10000,29477,1.0161092281341553
5,h2m,orthologues,permuted_mouse,translated_source_validation_vs_target_validation,10000,10000,15666,0.9452487230300903
5,m2h,all_target_genes,FlowTransOP,translated_source_validation_vs_target_validation,10000,10000,37933,0.2267066240310669
5,m2h,orthologues,FlowTransOP,translated_source_validation_vs_target_validation,10000,10000,15666,0.22659718990325928
5,m2h,all_target_genes,permuted_both,translated_source_validation_vs_target_validation,10000,10000,37933,1.163230538368225
5,m2h,orthologues,permuted_both,translated_source_validation_vs_target_validation,10000,10000,15666,1.1236422061920166
5,m2h,all_target_genes,permuted_mouse,translated_source_validation_vs_target_validation,10000,10000,37933,0.22802412509918213
5,m2h,orthologues,permuted_mouse,translated_source_validation_vs_target_validation,10000,10000,15666,0.22671794891357422
5,m2h,all_target_genes,permuted_human,translated_source_validation_vs_target_validation,10000,10000,37933,1.1499465703964233
5,m2h,orthologues,permuted_human,translated_source_validation_vs_target_validation,10000,10000,15666,1.1149603128433228
