fold,direction,model_type,space,feature_set,comparison,n_source,n_target,n_features,centroid_euclidean,centroid_cosine,centroid_pearson,centroid_spearman,nearest_k,mean_top1_cosine,mean_topk_cosine
4,h2m,liver_test_orthologues,expression,orthologues,source_liver_test_vs_target_liver_test,10000,10000,15666,128.80276489257812,0.9723379015922546,0.8560435771942139,0.8514829852701387,10,0.9324404510378838,0.9303008116304874
4,m2h,liver_test_orthologues,expression,orthologues,source_liver_test_vs_target_liver_test,10000,10000,15666,128.80276489257812,0.9723379015922546,0.8560435771942139,0.8514829852701387,10,0.944481562000513,0.9422708657503128
4,h2m,FlowTransOP,expression,all_target_genes,translated_liver_source_vs_liver_target,10000,10000,29477,200.59640502929688,0.9393473863601685,0.8339526057243347,0.850777960428851,10,0.9851968943536281,0.9845214953064918
4,h2m,FlowTransOP,expression,orthologues,translated_liver_source_vs_liver_target,10000,10000,15666,179.49366760253906,0.9442396759986877,0.716458261013031,0.7110031088252631,10,0.9899229946017265,0.9893790926575661
4,h2m,permuted_both,expression,all_target_genes,translated_liver_source_vs_liver_target,10000,10000,29477,494.71990966796875,0.6121073961257935,0.0011922693811357021,-0.0030390767519785974,10,0.5880124369144439,0.5871161311209202
4,h2m,permuted_both,expression,orthologues,translated_liver_source_vs_liver_target,10000,10000,15666,389.2518310546875,0.6790040135383606,-0.0021240857895463705,-0.009455225336376341,10,0.6817435195744037,0.6805161071956157
4,h2m,permuted_human,expression,all_target_genes,translated_liver_source_vs_liver_target,10000,10000,29477,145.3147430419922,0.9675697684288025,0.9093083143234253,0.9134235431609413,10,0.9727548547208309,0.970644999486208
4,h2m,permuted_human,expression,orthologues,translated_liver_source_vs_liver_target,10000,10000,15666,123.32215118408203,0.9725250005722046,0.8698880672454834,0.8611106400155533,10,0.9809357207238674,0.9793219450831413
4,h2m,permuted_mouse,expression,all_target_genes,translated_liver_source_vs_liver_target,10000,10000,29477,480.31988525390625,0.6398483514785767,0.002954063704237342,-0.0016350925390266494,10,0.6133907690823078,0.6125277957677842
4,h2m,permuted_mouse,expression,orthologues,translated_liver_source_vs_liver_target,10000,10000,15666,372.2407531738281,0.7105742692947388,0.004086004104465246,-0.0031807562260793005,10,0.7144606189250946,0.712901843225956
4,m2h,FlowTransOP,expression,all_target_genes,translated_liver_source_vs_liver_target,10000,10000,37933,114.22018432617188,0.9843618869781494,0.9597383141517639,0.9544039007786428,10,0.9729571318030358,0.9720319026291371
4,m2h,FlowTransOP,expression,orthologues,translated_liver_source_vs_liver_target,10000,10000,15666,91.6376724243164,0.9871425628662109,0.9306470155715942,0.9282126939163197,10,0.9820339518368244,0.9807272544503212
4,m2h,permuted_both,expression,all_target_genes,translated_liver_source_vs_liver_target,10000,10000,37933,546.1892700195312,0.6351112127304077,0.0019950519781559706,0.001148125456363177,10,0.5955244866549969,0.5947947012007236
4,m2h,permuted_both,expression,orthologues,translated_liver_source_vs_liver_target,10000,10000,15666,383.1354675292969,0.7191253304481506,-0.004055050201714039,-0.0021780540764418724,10,0.7288396790266037,0.7265645540475846
4,m2h,permuted_mouse,expression,all_target_genes,translated_liver_source_vs_liver_target,10000,10000,37933,119.52442169189453,0.9823928475379944,0.9518439173698425,0.9492466489899528,10,0.9719884042859077,0.9677132727265358
4,m2h,permuted_mouse,expression,orthologues,translated_liver_source_vs_liver_target,10000,10000,15666,98.208984375,0.9844192862510681,0.9158174395561218,0.912092506522313,10,0.981072333574295,0.9783822992861271
4,m2h,permuted_human,expression,all_target_genes,translated_liver_source_vs_liver_target,10000,10000,37933,539.1528930664062,0.6390262246131897,0.003428505267947912,0.0017232578349041575,10,0.5989670553565025,0.5984924494385719
4,m2h,permuted_human,expression,orthologues,translated_liver_source_vs_liver_target,10000,10000,15666,380.3778076171875,0.7232452630996704,-0.003430425887927413,-0.0019438869497945225,10,0.7332345993459225,0.7306737939834594
