fold,direction,tissue,model_type,comparison,n_source,n_target,n_features,mmd
0,h2m,liver,FlowTransOP,translated_source_vs_real_target,10000,10000,512,0.9013471007347107
0,h2m,liver,permuted_both,translated_source_vs_real_target,10000,10000,512,1.4586018323898315
0,m2h,liver,FlowTransOP,translated_source_vs_real_target,10000,10000,512,0.4042174816131592
0,m2h,liver,permuted_both,translated_source_vs_real_target,10000,10000,512,1.5159006118774414
