fold,direction,feature_set,model_type,comparison,n_source,n_target,n_features,mmd
6,h2m,orthologues,validation_orthologues,source_validation_vs_target_validation,10000,10000,15666,0.09691894054412842
6,h2m,all_target_genes,validation_orthologues,source_validation_vs_target_validation_orthologue_reference,10000,10000,15666,0.09691894054412842
6,m2h,orthologues,validation_orthologues,source_validation_vs_target_validation,10000,10000,15666,0.09691894054412842
6,m2h,all_target_genes,validation_orthologues,source_validation_vs_target_validation_orthologue_reference,10000,10000,15666,0.09691894054412842
6,h2m,all_target_genes,FlowTransOP,translated_source_validation_vs_target_validation,10000,10000,29477,0.2655000686645508
6,h2m,orthologues,FlowTransOP,translated_source_validation_vs_target_validation,10000,10000,15666,0.2752722501754761
6,h2m,all_target_genes,permuted_both,translated_source_validation_vs_target_validation,10000,10000,29477,0.9979556798934937
6,h2m,orthologues,permuted_both,translated_source_validation_vs_target_validation,10000,10000,15666,0.9306777119636536
6,h2m,all_target_genes,permuted_human,translated_source_validation_vs_target_validation,10000,10000,29477,0.2608344554901123
6,h2m,orthologues,permuted_human,translated_source_validation_vs_target_validation,10000,10000,15666,0.2521623373031616
6,h2m,all_target_genes,permuted_mouse,translated_source_validation_vs_target_validation,10000,10000,29477,0.9668282866477966
6,h2m,orthologues,permuted_mouse,translated_source_validation_vs_target_validation,10000,10000,15666,0.8963046073913574
6,m2h,all_target_genes,FlowTransOP,translated_source_validation_vs_target_validation,10000,10000,37933,0.2300400733947754
6,m2h,orthologues,FlowTransOP,translated_source_validation_vs_target_validation,10000,10000,15666,0.22972500324249268
6,m2h,all_target_genes,permuted_both,translated_source_validation_vs_target_validation,10000,10000,37933,1.1503655910491943
6,m2h,orthologues,permuted_both,translated_source_validation_vs_target_validation,10000,10000,15666,1.1133136749267578
6,m2h,all_target_genes,permuted_mouse,translated_source_validation_vs_target_validation,10000,10000,37933,0.22799932956695557
6,m2h,orthologues,permuted_mouse,translated_source_validation_vs_target_validation,10000,10000,15666,0.22698938846588135
6,m2h,all_target_genes,permuted_human,translated_source_validation_vs_target_validation,10000,10000,37933,1.1374300718307495
6,m2h,orthologues,permuted_human,translated_source_validation_vs_target_validation,10000,10000,15666,1.1031867265701294
