fold,direction,feature_set,model_type,comparison,n_source,n_target,n_features,mmd
2,h2m,orthologues,validation_orthologues,source_validation_vs_target_validation,10000,10000,15666,0.09785473346710205
2,h2m,all_target_genes,validation_orthologues,source_validation_vs_target_validation_orthologue_reference,10000,10000,15666,0.09785473346710205
2,m2h,orthologues,validation_orthologues,source_validation_vs_target_validation,10000,10000,15666,0.09785473346710205
2,m2h,all_target_genes,validation_orthologues,source_validation_vs_target_validation_orthologue_reference,10000,10000,15666,0.09785473346710205
2,h2m,all_target_genes,FlowTransOP,translated_source_validation_vs_target_validation,10000,10000,29477,0.2610534429550171
2,h2m,orthologues,FlowTransOP,translated_source_validation_vs_target_validation,10000,10000,15666,0.27651381492614746
2,h2m,all_target_genes,permuted_both,translated_source_validation_vs_target_validation,10000,10000,29477,1.1118762493133545
2,h2m,orthologues,permuted_both,translated_source_validation_vs_target_validation,10000,10000,15666,1.03023362159729
2,h2m,all_target_genes,permuted_human,translated_source_validation_vs_target_validation,10000,10000,29477,0.2508554458618164
2,h2m,orthologues,permuted_human,translated_source_validation_vs_target_validation,10000,10000,15666,0.24574542045593262
2,h2m,all_target_genes,permuted_mouse,translated_source_validation_vs_target_validation,10000,10000,29477,0.9940910935401917
2,h2m,orthologues,permuted_mouse,translated_source_validation_vs_target_validation,10000,10000,15666,0.9252792000770569
2,m2h,all_target_genes,FlowTransOP,translated_source_validation_vs_target_validation,10000,10000,37933,0.21855127811431885
2,m2h,orthologues,FlowTransOP,translated_source_validation_vs_target_validation,10000,10000,15666,0.21911132335662842
2,m2h,all_target_genes,permuted_both,translated_source_validation_vs_target_validation,10000,10000,37933,1.1701760292053223
2,m2h,orthologues,permuted_both,translated_source_validation_vs_target_validation,10000,10000,15666,1.1254743337631226
2,m2h,all_target_genes,permuted_mouse,translated_source_validation_vs_target_validation,10000,10000,37933,0.22788071632385254
2,m2h,orthologues,permuted_mouse,translated_source_validation_vs_target_validation,10000,10000,15666,0.22864282131195068
2,m2h,all_target_genes,permuted_human,translated_source_validation_vs_target_validation,10000,10000,37933,1.150763750076294
2,m2h,orthologues,permuted_human,translated_source_validation_vs_target_validation,10000,10000,15666,1.1103851795196533
