fold,direction,tissue,n_samples,n_orthologues,per_sample_mean,gene_marginal_r_mean,gene_marginal_r_var,model_type
1,h2m,liver,32954,15666,0.562041163444519,0.7380963563919067,0.1321818083524704,FlowTransOP
1,h2m,liver,32954,15666,-0.004313149489462376,-0.005645713768899441,0.0354887917637825,permuted_both
1,h2m,liver,32954,15666,0.6616634130477905,0.8486618399620056,-0.003939066082239151,permuted_human
1,h2m,liver,32954,15666,0.00034572475124150515,0.00039735017344355583,-0.0037620537914335728,permuted_mouse
