fold,direction,tissue,model_type,comparison,n_source,n_target,n_features,mmd
2,h2m,liver,FlowTransOP,translated_source_vs_real_target,10000,10000,512,0.8544232249259949
2,h2m,liver,permuted_both,translated_source_vs_real_target,10000,10000,512,1.5238173007965088
2,m2h,liver,FlowTransOP,translated_source_vs_real_target,10000,10000,512,0.4084905982017517
2,m2h,liver,permuted_both,translated_source_vs_real_target,10000,10000,512,1.5784698724746704
