fold,direction,feature_set,model_type,comparison,n_source,n_target,n_features,mmd
3,h2m,orthologues,validation_orthologues,source_validation_vs_target_validation,10000,10000,15666,0.09751534461975098
3,h2m,all_target_genes,validation_orthologues,source_validation_vs_target_validation_orthologue_reference,10000,10000,15666,0.09751534461975098
3,m2h,orthologues,validation_orthologues,source_validation_vs_target_validation,10000,10000,15666,0.09751534461975098
3,m2h,all_target_genes,validation_orthologues,source_validation_vs_target_validation_orthologue_reference,10000,10000,15666,0.09751534461975098
3,h2m,all_target_genes,FlowTransOP,translated_source_validation_vs_target_validation,10000,10000,29477,0.25253593921661377
3,h2m,orthologues,FlowTransOP,translated_source_validation_vs_target_validation,10000,10000,15666,0.26026272773742676
3,h2m,all_target_genes,permuted_both,translated_source_validation_vs_target_validation,10000,10000,29477,1.0649592876434326
3,h2m,orthologues,permuted_both,translated_source_validation_vs_target_validation,10000,10000,15666,0.9785155057907104
3,h2m,all_target_genes,permuted_human,translated_source_validation_vs_target_validation,10000,10000,29477,0.25303828716278076
3,h2m,orthologues,permuted_human,translated_source_validation_vs_target_validation,10000,10000,15666,0.26423180103302
3,h2m,all_target_genes,permuted_mouse,translated_source_validation_vs_target_validation,10000,10000,29477,1.0011425018310547
3,h2m,orthologues,permuted_mouse,translated_source_validation_vs_target_validation,10000,10000,15666,0.9242991209030151
3,m2h,all_target_genes,FlowTransOP,translated_source_validation_vs_target_validation,10000,10000,37933,0.23276269435882568
3,m2h,orthologues,FlowTransOP,translated_source_validation_vs_target_validation,10000,10000,15666,0.23233509063720703
3,m2h,all_target_genes,permuted_both,translated_source_validation_vs_target_validation,10000,10000,37933,1.1592295169830322
3,m2h,orthologues,permuted_both,translated_source_validation_vs_target_validation,10000,10000,15666,1.1191915273666382
3,m2h,all_target_genes,permuted_mouse,translated_source_validation_vs_target_validation,10000,10000,37933,0.22565782070159912
3,m2h,orthologues,permuted_mouse,translated_source_validation_vs_target_validation,10000,10000,15666,0.22470581531524658
3,m2h,all_target_genes,permuted_human,translated_source_validation_vs_target_validation,10000,10000,37933,1.148336410522461
3,m2h,orthologues,permuted_human,translated_source_validation_vs_target_validation,10000,10000,15666,1.1111202239990234
