fold,direction,tissue,model_type,comparison,n_source,n_target,n_features,mmd
8,h2m,liver,FlowTransOP,translated_source_vs_real_target,10000,10000,512,0.9726851582527161
8,h2m,liver,permuted_both,translated_source_vs_real_target,10000,10000,512,1.5304391384124756
8,m2h,liver,FlowTransOP,translated_source_vs_real_target,10000,10000,512,0.4376460313796997
8,m2h,liver,permuted_both,translated_source_vs_real_target,10000,10000,512,1.568328857421875
