fold,direction,model_type,space,feature_set,comparison,n_source,n_target,n_features,centroid_euclidean,centroid_cosine,centroid_pearson,centroid_spearman,nearest_k,mean_top1_cosine,mean_topk_cosine
2,h2m,liver_test_orthologues,expression,orthologues,source_liver_test_vs_target_liver_test,10000,10000,15666,129.29278564453125,0.9721381664276123,0.8550411462783813,0.8505204582745712,10,0.9323468886882067,0.9302822455734014
2,m2h,liver_test_orthologues,expression,orthologues,source_liver_test_vs_target_liver_test,10000,10000,15666,129.29278564453125,0.9721381664276123,0.8550411462783813,0.8505204582745712,10,0.944389079284668,0.9422354114413262
2,h2m,FlowTransOP,expression,all_target_genes,translated_liver_source_vs_liver_target,10000,10000,29477,199.36138916015625,0.9428402781486511,0.8437929153442383,0.8591936500780973,10,0.9869928897619248,0.9865000090241433
2,h2m,FlowTransOP,expression,orthologues,translated_liver_source_vs_liver_target,10000,10000,15666,178.8517303466797,0.9479921460151672,0.7341649532318115,0.7293284011227914,10,0.9909917051553726,0.9906059702634812
2,h2m,permuted_both,expression,all_target_genes,translated_liver_source_vs_liver_target,10000,10000,29477,517.8868408203125,0.6111118793487549,-0.0036341859959065914,-0.005114438122395595,10,0.5871453456699848,0.5862063538908958
2,h2m,permuted_both,expression,orthologues,translated_liver_source_vs_liver_target,10000,10000,15666,395.80999755859375,0.6776793599128723,-0.005545441992580891,-0.009138031630149724,10,0.6812053255856038,0.6792629376888275
2,h2m,permuted_human,expression,all_target_genes,translated_liver_source_vs_liver_target,10000,10000,29477,147.01751708984375,0.9668443202972412,0.907379686832428,0.9082193518691408,10,0.9727223485589027,0.970529837501049
2,h2m,permuted_human,expression,orthologues,translated_liver_source_vs_liver_target,10000,10000,15666,125.37476348876953,0.9719445109367371,0.8595626354217529,0.8533741508455243,10,0.9818911105275154,0.9798511344373226
2,h2m,permuted_mouse,expression,all_target_genes,translated_liver_source_vs_liver_target,10000,10000,29477,471.1151123046875,0.6510223746299744,0.002723142271861434,-0.0006930037705352941,10,0.6232289351642132,0.6227797627031804
2,h2m,permuted_mouse,expression,orthologues,translated_liver_source_vs_liver_target,10000,10000,15666,364.5971984863281,0.7231557965278625,0.00477746594697237,-0.0014969914522050454,10,0.7263736436843872,0.7252117060899734
2,m2h,FlowTransOP,expression,all_target_genes,translated_liver_source_vs_liver_target,10000,10000,37933,100.87537384033203,0.9879825115203857,0.9680647253990173,0.9626652696005725,10,0.9784299042701721,0.976992274659872
2,m2h,FlowTransOP,expression,orthologues,translated_liver_source_vs_liver_target,10000,10000,15666,82.44416809082031,0.9898866415023804,0.9422847032546997,0.9406319407097498,10,0.9860864285588264,0.9851638488948345
2,m2h,permuted_both,expression,all_target_genes,translated_liver_source_vs_liver_target,10000,10000,37933,546.5122680664062,0.6348901391029358,0.003001102712005377,0.002819446349947136,10,0.5952263039290905,0.5947601208627225
2,m2h,permuted_both,expression,orthologues,translated_liver_source_vs_liver_target,10000,10000,15666,383.4609375,0.7187537550926208,-0.003312084823846817,-0.0006569199740908524,10,0.7302594594657421,0.7248878107070923
2,m2h,permuted_mouse,expression,all_target_genes,translated_liver_source_vs_liver_target,10000,10000,37933,98.51237487792969,0.9882647395133972,0.968177318572998,0.9631099946958027,10,0.976667329454422,0.9747068392932415
2,m2h,permuted_mouse,expression,orthologues,translated_liver_source_vs_liver_target,10000,10000,15666,81.11005401611328,0.9898784756660461,0.9426872730255127,0.9407399373740096,10,0.9850499247252941,0.984013989585638
2,m2h,permuted_human,expression,all_target_genes,translated_liver_source_vs_liver_target,10000,10000,37933,537.3569946289062,0.6415033936500549,0.0025655552744865417,0.0019724295723927286,10,0.6010454905211926,0.6008459716081619
2,m2h,permuted_human,expression,orthologues,translated_liver_source_vs_liver_target,10000,10000,15666,378.6471862792969,0.7262436747550964,-0.00435508880764246,-0.0014634114620210759,10,0.7378283192276954,0.7324761651217937
