fold,species,tissue,n_samples,per_sample_mean,gene_marginal_r_mean,gene_marginal_r_var,model_type
6,human,liver,32954,0.8067819139636827,0.9667299812350637,0.6520712481237732,FlowTransOP
6,human,liver,32954,-0.001502003682854629,-0.0018021984145011804,-0.003572107947816319,permuted_both
6,human,liver,32954,0.002650444007602715,0.0031761098625744584,-0.0027387419537796558,permuted_human
6,human,liver,32954,0.8030179833928653,0.9619719219842722,0.646631448951191,permuted_mouse
