fold,direction,feature_set,model_type,comparison,n_source,n_target,n_features,mmd
1,h2m,orthologues,validation_orthologues,source_validation_vs_target_validation,10000,10000,15666,0.09737122058868408
1,h2m,all_target_genes,validation_orthologues,source_validation_vs_target_validation_orthologue_reference,10000,10000,15666,0.09737122058868408
1,m2h,orthologues,validation_orthologues,source_validation_vs_target_validation,10000,10000,15666,0.09737122058868408
1,m2h,all_target_genes,validation_orthologues,source_validation_vs_target_validation_orthologue_reference,10000,10000,15666,0.09737122058868408
1,h2m,all_target_genes,FlowTransOP,translated_source_validation_vs_target_validation,10000,10000,29477,0.23809969425201416
1,h2m,orthologues,FlowTransOP,translated_source_validation_vs_target_validation,10000,10000,15666,0.2412170171737671
1,h2m,all_target_genes,permuted_both,translated_source_validation_vs_target_validation,10000,10000,29477,1.0443506240844727
1,h2m,orthologues,permuted_both,translated_source_validation_vs_target_validation,10000,10000,15666,0.9686397910118103
1,h2m,all_target_genes,permuted_human,translated_source_validation_vs_target_validation,10000,10000,29477,0.23700928688049316
1,h2m,orthologues,permuted_human,translated_source_validation_vs_target_validation,10000,10000,15666,0.2426208257675171
1,h2m,all_target_genes,permuted_mouse,translated_source_validation_vs_target_validation,10000,10000,29477,1.0077919960021973
1,h2m,orthologues,permuted_mouse,translated_source_validation_vs_target_validation,10000,10000,15666,0.9366520643234253
1,m2h,all_target_genes,FlowTransOP,translated_source_validation_vs_target_validation,10000,10000,37933,0.2257215976715088
1,m2h,orthologues,FlowTransOP,translated_source_validation_vs_target_validation,10000,10000,15666,0.22419679164886475
1,m2h,all_target_genes,permuted_both,translated_source_validation_vs_target_validation,10000,10000,37933,1.1659587621688843
1,m2h,orthologues,permuted_both,translated_source_validation_vs_target_validation,10000,10000,15666,1.1239120960235596
1,m2h,all_target_genes,permuted_mouse,translated_source_validation_vs_target_validation,10000,10000,37933,0.22774732112884521
1,m2h,orthologues,permuted_mouse,translated_source_validation_vs_target_validation,10000,10000,15666,0.2283623218536377
1,m2h,all_target_genes,permuted_human,translated_source_validation_vs_target_validation,10000,10000,37933,1.1333086490631104
1,m2h,orthologues,permuted_human,translated_source_validation_vs_target_validation,10000,10000,15666,1.1005973815917969
