fold,direction,tissue,model_type,comparison,n_source,n_target,n_features,mmd
3,h2m,liver,FlowTransOP,translated_source_vs_real_target,10000,10000,512,1.002906084060669
3,h2m,liver,permuted_both,translated_source_vs_real_target,10000,10000,512,1.5713412761688232
3,m2h,liver,FlowTransOP,translated_source_vs_real_target,10000,10000,512,0.44317626953125
3,m2h,liver,permuted_both,translated_source_vs_real_target,10000,10000,512,1.5795345306396484
