fold,direction,model_type,space,feature_set,comparison,n_source,n_target,n_features,centroid_euclidean,centroid_cosine,centroid_pearson,centroid_spearman,random_repeat,background_n,latent_space
6,h2m,FlowTransOP,latent,latent,translated_source_vs_real_target,10000,10000,512,7.739903926849365,0.0187167227268219,0.0172591395676136,-0.006995138388207964,,,
6,h2m,permuted_both,latent,latent,translated_source_vs_real_target,10000,10000,512,76.70463562011719,-0.9779304265975952,-0.9779574275016785,-0.9742101937206028,,,
6,m2h,FlowTransOP,latent,latent,translated_source_vs_real_target,10000,10000,512,2.5853166580200195,-0.026387156918644905,-0.02620157226920128,-0.016101362138222268,,,
6,m2h,permuted_both,latent,latent,translated_source_vs_real_target,10000,10000,512,13.069133758544922,-0.20006398856639862,-0.2002878487110138,-0.19558090073929116,,,
6,h2m,target_liver,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,2.489039182662964,0.11814455687999725,0.11972810328006744,0.15514957485036793,0.0,1000.0,normal_target_space
6,h2m,FlowTransOP,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,7.965081691741943,-0.6092588901519775,-0.6080632209777832,-0.6348316746489511,0.0,1000.0,normal_target_space
6,h2m,target_liver_permuted_space,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,0.7661800384521484,0.9999917149543762,0.9999915957450867,0.9999620018940044,0.0,1000.0,permuted_target_space
6,h2m,permuted_both,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,77.46643829345703,-0.978773832321167,-0.9788002371788025,-0.9754622536649844,0.0,1000.0,permuted_target_space
6,m2h,target_liver,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,1.1193170547485352,0.8388479351997375,0.8388913869857788,0.8471046516119064,0.0,1000.0,normal_target_space
6,m2h,FlowTransOP,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,2.3542914390563965,0.1156359389424324,0.11567707359790802,0.10819258834872571,0.0,1000.0,normal_target_space
6,m2h,target_liver_permuted_space,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,0.3201485276222229,0.9996604919433594,0.9996605515480042,0.9995776398759456,0.0,1000.0,permuted_target_space
6,m2h,permuted_both,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,13.176647186279297,-0.20202812552452087,-0.20225566625595093,-0.19772765961707925,0.0,1000.0,permuted_target_space
6,h2m,target_liver,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,2.5240583419799805,0.05641713738441467,0.05771690607070923,0.10206031989219623,1.0,1000.0,normal_target_space
6,h2m,FlowTransOP,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,7.927432537078857,-0.6158332228660583,-0.6148226857185364,-0.6366044427564345,1.0,1000.0,normal_target_space
6,h2m,target_liver_permuted_space,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,0.80305415391922,0.9999912977218628,0.999991238117218,0.9999589620455248,1.0,1000.0,permuted_target_space
6,h2m,permuted_both,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,77.50352478027344,-0.9787928462028503,-0.9788191318511963,-0.9755303820338518,1.0,1000.0,permuted_target_space
6,m2h,target_liver,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,1.0944414138793945,0.8431797027587891,0.8431709408760071,0.8539375157356863,1.0,1000.0,normal_target_space
6,m2h,FlowTransOP,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,2.048762798309326,0.1124446764588356,0.11258973926305771,0.10186156744601228,1.0,1000.0,normal_target_space
6,m2h,target_liver_permuted_space,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,0.32104194164276123,0.9996544718742371,0.9996544122695923,0.9995803220951923,1.0,1000.0,permuted_target_space
6,m2h,permuted_both,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,13.172088623046875,-0.2020895630121231,-0.20231661200523376,-0.1980069680479738,1.0,1000.0,permuted_target_space
6,h2m,target_liver,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,2.2864677906036377,0.3417123556137085,0.342404842376709,0.35178074323937697,2.0,1000.0,normal_target_space
6,h2m,FlowTransOP,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,7.721189022064209,-0.364471435546875,-0.3640083074569702,-0.4148009149586294,2.0,1000.0,normal_target_space
6,h2m,target_liver_permuted_space,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,0.7548409104347229,0.999992847442627,0.9999926090240479,0.9999655781863335,2.0,1000.0,permuted_target_space
6,h2m,permuted_both,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,77.45599365234375,-0.9787198901176453,-0.978746235370636,-0.9753863468603015,2.0,1000.0,permuted_target_space
6,m2h,target_liver,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,1.1555205583572388,0.8304089307785034,0.830398678779602,0.8411209781016469,2.0,1000.0,normal_target_space
6,m2h,FlowTransOP,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,2.300579309463501,0.17262208461761475,0.1727762669324875,0.1674728523649306,2.0,1000.0,normal_target_space
6,m2h,target_liver_permuted_space,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,0.3245985209941864,0.9996485114097595,0.9996483325958252,0.9995670004062668,2.0,1000.0,permuted_target_space
6,m2h,permuted_both,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,13.17467212677002,-0.20197296142578125,-0.20220038294792175,-0.19773776264290863,2.0,1000.0,permuted_target_space
6,h2m,target_liver,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,2.7414677143096924,-0.1387915015220642,-0.13763758540153503,-0.09785245433789955,3.0,1000.0,normal_target_space
6,h2m,FlowTransOP,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,7.99989652633667,-0.5848953127861023,-0.5835956931114197,-0.5925861850688365,3.0,1000.0,normal_target_space
6,h2m,target_liver_permuted_space,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,0.7386671900749207,0.9999924302101135,0.9999924302101135,0.9999651311497922,3.0,1000.0,permuted_target_space
6,h2m,permuted_both,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,77.43930053710938,-0.9787337183952332,-0.9787601232528687,-0.9753998473638433,3.0,1000.0,permuted_target_space
6,m2h,target_liver,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,1.111732006072998,0.8318071961402893,0.8318811655044556,0.8376788861422964,3.0,1000.0,normal_target_space
6,m2h,FlowTransOP,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,2.161440372467041,0.1340152472257614,0.13401833176612854,0.12910826581293416,3.0,1000.0,normal_target_space
6,m2h,target_liver_permuted_space,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,0.312155544757843,0.999676525592804,0.9996765851974487,0.9995975777056797,3.0,1000.0,permuted_target_space
6,m2h,permuted_both,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,13.17330551147461,-0.2020019143819809,-0.20222894847393036,-0.1976805419656447,3.0,1000.0,permuted_target_space
6,h2m,target_liver,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,2.6374289989471436,0.023502511903643608,0.02457800880074501,0.05579802817546148,4.0,1000.0,normal_target_space
6,h2m,FlowTransOP,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,8.083048820495605,-0.5970235466957092,-0.5961683988571167,-0.6051414745482427,4.0,1000.0,normal_target_space
6,h2m,target_liver_permuted_space,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,0.821408212184906,0.9999905824661255,0.9999904632568359,0.9999555645678122,4.0,1000.0,permuted_target_space
6,h2m,permuted_both,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,77.52143096923828,-0.9788293838500977,-0.9788557291030884,-0.9755887650061226,4.0,1000.0,permuted_target_space
6,m2h,target_liver,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,1.1065977811813354,0.8389362096786499,0.83912593126297,0.8467086666437784,4.0,1000.0,normal_target_space
6,m2h,FlowTransOP,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,2.041058301925659,0.11704406887292862,0.11693721264600754,0.1060763173630423,4.0,1000.0,normal_target_space
6,m2h,target_liver_permuted_space,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,0.3118686079978943,0.9996784925460815,0.999678373336792,0.9996009751833923,4.0,1000.0,permuted_target_space
6,m2h,permuted_both,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,13.175129890441895,-0.20211836695671082,-0.20234552025794983,-0.19799480865405522,4.0,1000.0,permuted_target_space
6,h2m,target_liver,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,2.447882890701294,0.08585578948259354,0.0871417373418808,0.1371407077911674,5.0,1000.0,normal_target_space
6,h2m,FlowTransOP,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,7.692544460296631,-0.5157114863395691,-0.5144867897033691,-0.5192911466737621,5.0,1000.0,normal_target_space
6,h2m,target_liver_permuted_space,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,0.8013157248497009,0.999991774559021,0.9999915957450867,0.9999623595232372,5.0,1000.0,permuted_target_space
6,h2m,permuted_both,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,77.50216674804688,-0.9787715673446655,-0.9787977337837219,-0.9754502730856821,5.0,1000.0,permuted_target_space
6,m2h,target_liver,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,1.2355122566223145,0.8154709935188293,0.8154815435409546,0.8252655754683511,5.0,1000.0,normal_target_space
6,m2h,FlowTransOP,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,2.4379584789276123,0.1246187686920166,0.12471268326044083,0.11548035685675377,5.0,1000.0,normal_target_space
6,m2h,target_liver_permuted_space,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,0.3364022374153137,0.9996287226676941,0.9996287226676941,0.9995459002815258,5.0,1000.0,permuted_target_space
6,m2h,permuted_both,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,13.185194969177246,-0.2019869089126587,-0.20221415162086487,-0.19759274398896784,5.0,1000.0,permuted_target_space
6,h2m,target_liver,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,2.366910934448242,0.2369871437549591,0.23813310265541077,0.24626304273812383,6.0,1000.0,normal_target_space
6,h2m,FlowTransOP,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,7.6977105140686035,-0.39265647530555725,-0.39150896668434143,-0.43906203508199715,6.0,1000.0,normal_target_space
6,h2m,target_liver_permuted_space,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,0.738511860370636,0.999992847442627,0.9999926686286926,0.9999656675936417,6.0,1000.0,permuted_target_space
6,h2m,permuted_both,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,77.43944549560547,-0.9787186980247498,-0.9787451028823853,-0.9753829493825888,6.0,1000.0,permuted_target_space
6,m2h,target_liver,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,1.1544899940490723,0.8173695802688599,0.8173565864562988,0.8309135245362265,6.0,1000.0,normal_target_space
6,m2h,FlowTransOP,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,2.1429531574249268,0.1426110863685608,0.14276450872421265,0.1326204531019329,6.0,1000.0,normal_target_space
6,m2h,target_liver_permuted_space,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,0.3165730834007263,0.9996709823608398,0.9996709823608398,0.999593286154885,6.0,1000.0,permuted_target_space
6,m2h,permuted_both,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,13.179116249084473,-0.2020651251077652,-0.20229244232177734,-0.19786436339135507,6.0,1000.0,permuted_target_space
6,h2m,target_liver,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,2.4121994972229004,0.14301280677318573,0.14436249434947968,0.17178389395291882,7.0,1000.0,normal_target_space
6,h2m,FlowTransOP,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,7.576125621795654,-0.3401291072368622,-0.3384498059749603,-0.3548090581762625,7.0,1000.0,normal_target_space
6,h2m,target_liver_permuted_space,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,0.715512752532959,0.999993622303009,0.9999935626983643,0.9999690650713543,7.0,1000.0,permuted_target_space
6,h2m,permuted_both,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,77.41706848144531,-0.9786675572395325,-0.9786940217018127,-0.9753096353898444,7.0,1000.0,permuted_target_space
6,m2h,target_liver,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,1.1430176496505737,0.8230933547019958,0.8231212496757507,0.8339593633055241,7.0,1000.0,normal_target_space
6,m2h,FlowTransOP,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,1.9761600494384766,0.1949293166399002,0.19500233232975006,0.18379540818370127,7.0,1000.0,normal_target_space
6,m2h,target_liver_permuted_space,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,0.3224387764930725,0.9996548295021057,0.9996547102928162,0.9995748682493906,7.0,1000.0,permuted_target_space
6,m2h,permuted_both,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,13.176644325256348,-0.20213676989078522,-0.2023637890815735,-0.19780097360982363,7.0,1000.0,permuted_target_space
6,h2m,target_liver,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,2.5229623317718506,0.1018405556678772,0.10303232818841934,0.13194301392751284,8.0,1000.0,normal_target_space
6,h2m,FlowTransOP,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,7.9884867668151855,-0.5792616009712219,-0.5783330202102661,-0.5957891124786854,8.0,1000.0,normal_target_space
6,h2m,target_liver_permuted_space,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,0.7711454629898071,0.9999915361404419,0.9999915361404419,0.9999610184136138,8.0,1000.0,permuted_target_space
6,h2m,permuted_both,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,77.47135162353516,-0.9787804484367371,-0.9788068532943726,-0.9754812974216363,8.0,1000.0,permuted_target_space
6,m2h,target_liver,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,1.1064479351043701,0.8334195017814636,0.8334770202636719,0.8407886511369748,8.0,1000.0,normal_target_space
6,m2h,FlowTransOP,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,2.1551952362060547,0.12887322902679443,0.12889596819877625,0.12097148550600244,8.0,1000.0,normal_target_space
6,m2h,target_liver_permuted_space,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,0.32420438528060913,0.9996479153633118,0.9996479749679565,0.9995703978839793,8.0,1000.0,permuted_target_space
6,m2h,permuted_both,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,13.173776626586914,-0.2021521031856537,-0.20237915217876434,-0.19795654232613497,8.0,1000.0,permuted_target_space
6,h2m,target_liver,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,2.562305450439453,0.039094630628824234,0.040161967277526855,0.07535534040580905,9.0,1000.0,normal_target_space
6,h2m,FlowTransOP,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,7.96426248550415,-0.593771755695343,-0.5929410457611084,-0.6046637713003972,9.0,1000.0,normal_target_space
6,h2m,target_liver_permuted_space,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,0.7270985841751099,0.9999927282333374,0.999992847442627,0.9999656675936417,9.0,1000.0,permuted_target_space
6,h2m,permuted_both,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,77.4279556274414,-0.9787132740020752,-0.9787396788597107,-0.9753829493825888,9.0,1000.0,permuted_target_space
6,m2h,target_liver,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,1.0588735342025757,0.849253237247467,0.8492368459701538,0.8614378948226731,9.0,1000.0,normal_target_space
6,m2h,FlowTransOP,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,2.1247782707214355,0.13030487298965454,0.1304836869239807,0.1195331901385885,9.0,1000.0,normal_target_space
6,m2h,target_liver_permuted_space,latent,latent,real_target_liver_vs_random_non_liver_target,10000,1000,512,0.3123200535774231,0.9996726512908936,0.9996725916862488,0.9995939120060424,9.0,1000.0,permuted_target_space
6,m2h,permuted_both,latent,latent,translated_liver_source_vs_random_non_liver_target,10000,1000,512,13.16895866394043,-0.20203588902950287,-0.20226293802261353,-0.1978620388013413,9.0,1000.0,permuted_target_space
