fold,direction,model_type,space,feature_set,comparison,n_source,n_target,n_features,centroid_euclidean,centroid_cosine,centroid_pearson,centroid_spearman,nearest_k,mean_top1_cosine,mean_topk_cosine
6,h2m,liver_test_orthologues,expression,orthologues,source_liver_test_vs_target_liver_test,10000,10000,15666,128.6304931640625,0.9724626541137695,0.856979489326477,0.8525676330930354,10,0.9327916153669358,0.9306878671169281
6,m2h,liver_test_orthologues,expression,orthologues,source_liver_test_vs_target_liver_test,10000,10000,15666,128.6304931640625,0.9724626541137695,0.856979489326477,0.8525676330930354,10,0.9437897145867348,0.9423592544913292
6,h2m,FlowTransOP,expression,all_target_genes,translated_liver_source_vs_liver_target,10000,10000,29477,201.27381896972656,0.9390924572944641,0.834803581237793,0.852929468974966,10,0.9880784635901451,0.987533186775446
6,h2m,FlowTransOP,expression,orthologues,translated_liver_source_vs_liver_target,10000,10000,15666,179.3152313232422,0.9448819756507874,0.7190619707107544,0.7143921261661857,10,0.9922116852939129,0.9917157207906246
6,h2m,permuted_both,expression,all_target_genes,translated_liver_source_vs_liver_target,10000,10000,29477,475.1667175292969,0.6452733874320984,0.0027442374266684055,0.0040021039705697165,10,0.6175612389862537,0.6169158237755299
6,h2m,permuted_both,expression,orthologues,translated_liver_source_vs_liver_target,10000,10000,15666,367.972412109375,0.7174667119979858,0.004494638182222843,0.006732470589365187,10,0.721391826480627,0.7194459413409233
6,h2m,permuted_human,expression,all_target_genes,translated_liver_source_vs_liver_target,10000,10000,29477,147.80349731445312,0.9660336971282959,0.902094304561615,0.9018994955794651,10,0.9578725228965282,0.9552390269219876
6,h2m,permuted_human,expression,orthologues,translated_liver_source_vs_liver_target,10000,10000,15666,118.88230895996094,0.9745152592658997,0.8711849451065063,0.8666049241740497,10,0.9723482792019844,0.9699788749933242
6,h2m,permuted_mouse,expression,all_target_genes,translated_liver_source_vs_liver_target,10000,10000,29477,463.43475341796875,0.6598989963531494,0.004057619720697403,0.004801390715637745,10,0.6312305976688862,0.6305458075582981
6,h2m,permuted_mouse,expression,orthologues,translated_liver_source_vs_liver_target,10000,10000,15666,357.9416809082031,0.7342838644981384,0.0064370413310825825,0.00770642761712065,10,0.7383463330924511,0.7364275981843471
6,m2h,FlowTransOP,expression,all_target_genes,translated_liver_source_vs_liver_target,10000,10000,37933,104.22543334960938,0.9862344861030579,0.9632238745689392,0.9599596131936456,10,0.9734494933903217,0.9717553108632565
6,m2h,FlowTransOP,expression,orthologues,translated_liver_source_vs_liver_target,10000,10000,15666,85.76033020019531,0.9880281686782837,0.9314477443695068,0.9284383748625467,10,0.9820702840805053,0.9809176404416561
6,m2h,permuted_both,expression,all_target_genes,translated_liver_source_vs_liver_target,10000,10000,37933,540.5106811523438,0.634289026260376,-0.0010407647350803018,-0.0006542544085745166,10,0.5975792002260685,0.5959815575897693
6,m2h,permuted_both,expression,orthologues,translated_liver_source_vs_liver_target,10000,10000,15666,381.6506652832031,0.7212378978729248,0.002319629769772291,0.004689133319212842,10,0.7348461793899537,0.7283892937779427
6,m2h,permuted_mouse,expression,all_target_genes,translated_liver_source_vs_liver_target,10000,10000,37933,95.98754119873047,0.9881312847137451,0.9670241475105286,0.9614061009331042,10,0.9745519856452942,0.9727967952787876
6,m2h,permuted_mouse,expression,orthologues,translated_liver_source_vs_liver_target,10000,10000,15666,78.30963897705078,0.9898388981819153,0.9388728141784668,0.9386443057040171,10,0.9834365645468235,0.9824354257702828
6,m2h,permuted_human,expression,all_target_genes,translated_liver_source_vs_liver_target,10000,10000,37933,534.2466430664062,0.639670729637146,-0.0014365243259817362,-0.000533302993606058,10,0.6021222515106202,0.6007541872322559
6,m2h,permuted_human,expression,orthologues,translated_liver_source_vs_liver_target,10000,10000,15666,378.2834167480469,0.7267968654632568,0.000512449536472559,0.0030684195084177642,10,0.7402692379653454,0.73413719804883
