train,test,fold,folder
0.937347950547381,0.809245033050526,0,sample_ratio_342
0.9379616740705227,0.8190147351468716,1,sample_ratio_342
0.9377894326859233,0.8080233430233732,2,sample_ratio_342
0.9375040037192008,0.8188996638744697,3,sample_ratio_342
0.9387200690000705,0.8242859520067181,4,sample_ratio_342
