train,test,fold,cell,iteration
0.8919163514235557,0.7583091707627533,0,HA1E,0
0.8891673375813101,0.7709410216122925,1,HA1E,0
0.8889496440688343,0.7585925025294902,2,HA1E,0
0.8913969080676905,0.7677620401840212,3,HA1E,0
0.8876848985329551,0.7404950216198608,4,HA1E,0
0.8919122695276345,0.7590832649111944,0,HA1E,1
0.8899751815907738,0.7734319140770545,1,HA1E,1
0.8884944590389723,0.7611509142677646,2,HA1E,1
0.892308548681283,0.7711447474422409,3,HA1E,1
0.8879050685512615,0.74103709174591,4,HA1E,1
0.8928356801619117,0.760346339738144,0,HA1E,2
0.8898087868716607,0.7724559469809769,1,HA1E,2
0.8894779653725746,0.7608564500478885,2,HA1E,2
0.8923071912973344,0.7707665255813451,3,HA1E,2
0.8878901369337067,0.7400094999857982,4,HA1E,2
0.8923322515951277,0.7589687559164005,0,HA1E,3
0.8897036717493944,0.772454193056584,1,HA1E,3
0.8894204249986543,0.7612555513855334,2,HA1E,3
0.8917929444072549,0.7690943115933463,3,HA1E,3
0.8869993207735015,0.7433125796102842,4,HA1E,3
0.8928842558962697,0.7588592904047917,0,HA1E,4
0.889843788792017,0.7728495192379141,1,HA1E,4
0.8882069404852446,0.7623185092297993,2,HA1E,4
0.8918438116988667,0.7661119135168029,3,HA1E,4
0.8877417901823157,0.7414236823585377,4,HA1E,4
