train,test,fold,cell,iteration
0.894475026982019,0.7745606079265617,0,HEPG2,0
0.8953734094207623,0.7480541394953633,1,HEPG2,0
0.894453102565204,0.7704519300946688,2,HEPG2,0
0.8929666553327135,0.7613465066902358,3,HEPG2,0
0.8948694716166836,0.7530120831399572,4,HEPG2,0
0.8939515410859049,0.7743627161588083,0,HEPG2,1
0.8949474118780015,0.7455818750881434,1,HEPG2,1
0.8944417183708805,0.7720593471518236,2,HEPG2,1
0.8926693886837969,0.7622111806974063,3,HEPG2,1
0.8945373945953202,0.7546443767775862,4,HEPG2,1
0.8946836371166121,0.7767018121934302,0,HEPG2,2
0.8956215934943479,0.7493528856211322,1,HEPG2,2
0.8940643367376322,0.7712941587882749,2,HEPG2,2
0.8933619881426893,0.765612351874221,3,HEPG2,2
0.8948487091425912,0.7532740207242091,4,HEPG2,2
0.8946474111622855,0.7748670330217119,0,HEPG2,3
0.8951655527356033,0.7477052981804451,1,HEPG2,3
0.8938432638318139,0.7706707781680284,2,HEPG2,3
0.8931276663891368,0.761758938265694,3,HEPG2,3
0.8946075171449621,0.7522110314528456,4,HEPG2,3
0.8943635221248509,0.7748779523236193,0,HEPG2,4
0.8957383863278803,0.7491896727111571,1,HEPG2,4
0.8937155734100466,0.7692941767119462,2,HEPG2,4
0.8929789787526858,0.7622158440362936,3,HEPG2,4
0.8945924465411157,0.7512610300208296,4,HEPG2,4
