train,test,fold,cell,iteration
0.2159966458131018,0.21672325884034271,0,MCF7,0
0.23001086050488834,0.2431547806944907,1,MCF7,0
0.2047721970555449,0.19772422196090367,2,MCF7,0
0.19565822817601586,0.2100884170499076,3,MCF7,0
0.2187714649670531,0.18812939339995677,4,MCF7,0
0.21540443982714408,0.20728638805464494,0,MCF7,1
0.2126411155474781,0.21608276932753284,1,MCF7,1
0.20580017790015045,0.1853836654722753,2,MCF7,1
0.21875792787976928,0.23170836369974251,3,MCF7,1
0.2298647170132865,0.22109126296976483,4,MCF7,1
0.2645616452066214,0.2786270530967956,0,MCF7,2
0.27170293124595485,0.26683479821798045,1,MCF7,2
0.2763642672365598,0.25783990062569506,2,MCF7,2
0.27387077556729544,0.2816414361369235,3,MCF7,2
0.28055755700774365,0.2585226454718236,4,MCF7,2
0.21972714226625908,0.21140155764688956,0,MCF7,3
0.22541987749256237,0.22424127284342937,1,MCF7,3
0.24578552414004484,0.22384631519516957,2,MCF7,3
0.21921238978244872,0.24860523455226768,3,MCF7,3
0.21659816060826292,0.21238379955587178,4,MCF7,3
0.24694101890339148,0.2495026188444285,0,MCF7,4
0.281030778865914,0.27672270601767623,1,MCF7,4
0.2831680685019879,0.27238929379563487,2,MCF7,4
0.27420102148665837,0.2851508368367141,3,MCF7,4
0.2688006047303889,0.26417809330362874,4,MCF7,4
