train,test,fold,cell,iteration
0.9828385045201167,0.7999135727616129,0,MCF10A,0
0.981472241855954,0.78787903996864,1,MCF10A,0
0.9835094022541846,0.7694660133939678,2,MCF10A,0
0.9804390697133323,0.7271431778282313,3,MCF10A,0
0.9838653574274425,0.7868779096823207,4,MCF10A,0
0.9828751512688523,0.8046838787483033,0,MCF10A,1
0.9819082043697305,0.7944786601897931,1,MCF10A,1
0.983576669139743,0.7634530748831803,2,MCF10A,1
0.9813431938413806,0.728475819490666,3,MCF10A,1
0.9843992251218519,0.7827385118275235,4,MCF10A,1
0.9833038168814194,0.801474669129717,0,MCF10A,2
0.9819015831485831,0.7955695638099631,1,MCF10A,2
0.9834130345441179,0.7719909825583882,2,MCF10A,2
0.9805322849427124,0.7345428410961341,3,MCF10A,2
0.9842745493426488,0.7886487256083984,4,MCF10A,2
0.9827620514467335,0.8054272391481003,0,MCF10A,3
0.9812043979940859,0.79108750791633,1,MCF10A,3
0.983206303115757,0.7608277515379118,2,MCF10A,3
0.9803072454923696,0.7283348192178274,3,MCF10A,3
0.9842927033923663,0.7863688912267212,4,MCF10A,3
0.9828098043515584,0.8054731043000222,0,MCF10A,4
0.9820286929509743,0.7883287599967674,1,MCF10A,4
0.9833200190000013,0.7687261662279964,2,MCF10A,4
0.9806258462012114,0.7334132253938157,3,MCF10A,4
0.9841709300881291,0.7805645143408801,4,MCF10A,4
