train,test,fold,cell,iteration
0.2500155132216051,0.22485575394322493,0,PC3,0
0.25833291837170663,0.21754131993949555,1,PC3,0
0.22635888061381237,0.2481475013626585,2,PC3,0
0.24106405028029948,0.25405370923958265,3,PC3,0
0.2200724304963554,0.23847140909406384,4,PC3,0
0.262707081673923,0.2433029889291215,0,PC3,1
0.26041902066121875,0.23032537677319276,1,PC3,1
0.25937753671452946,0.29415559125635193,2,PC3,1
0.24962428882315607,0.2557656865102336,3,PC3,1
0.25520810312979586,0.2784186364869481,4,PC3,1
0.23336441102826977,0.22982996936738576,0,PC3,2
0.25441478711612925,0.20739868361570346,1,PC3,2
0.2224986233179083,0.24762566815218795,2,PC3,2
0.2200022983308521,0.2204172703968763,3,PC3,2
0.2400703100667595,0.24636808133376054,4,PC3,2
0.217885302159339,0.20287128604813529,0,PC3,3
0.235682621733055,0.1999785938547045,1,PC3,3
0.256443264969821,0.28455213126696965,2,PC3,3
0.23721546324472223,0.23805574852526667,3,PC3,3
0.23198436279317608,0.2535449962221135,4,PC3,3
0.22949884527992165,0.21648901589401376,0,PC3,4
0.22168958484920556,0.18656249502035602,1,PC3,4
0.22719459833967015,0.24583992621965517,2,PC3,4
0.22667867327021132,0.2058467446854037,3,PC3,4
0.21882127864142675,0.24663605646672587,4,PC3,4
