train,test,fold,n_pairs,repeat
0.95418217203407,0.8071782832473822,0,1,0
0.9546369249363122,0.8066248524369997,0,1,1
0.953851380805724,0.8066594237871332,0,1,2
0.9547035492636942,0.8074821202298549,0,1,3
0.9542033183495444,0.8081574812331472,0,1,4
0.955148580217248,0.8066708836425502,0,1,5
0.9546236153321576,0.8068528687364571,0,1,6
0.954653769195835,0.8059453503952771,0,1,7
0.954378449205425,0.8060019521665123,0,1,8
0.9541342924774576,0.8071956027345266,0,1,9
0.9546150457305524,0.8076443256562903,0,1,10
0.9542754518367316,0.8064252138188092,0,1,11
0.954326437647216,0.8062965211266548,0,1,12
0.9542128089203156,0.8058077377412791,0,1,13
0.9551828159538004,0.8077084210504673,0,1,14
0.954950068903374,0.8061954304691039,0,1,15
0.9549727011110593,0.8076668789025301,0,1,16
0.9538185172989556,0.8068801542061621,0,1,17
0.9541635326391928,0.8066187826470913,0,1,18
0.9543250516523692,0.8055977503471401,0,1,19
0.9545939795147856,0.8076101419324524,0,1,20
0.953593789664257,0.8064147990357153,0,1,21
0.9541856262534448,0.8060787170201846,0,1,22
0.9552802832313874,0.8074233457272453,0,1,23
0.9542771158540136,0.8049524831192578,0,1,24
0.9542668271482856,0.8073070505016031,0,1,25
0.9542818639573242,0.8069360673967185,0,1,26
0.9542038139171836,0.8070490889035029,0,1,27
0.9546702918782832,0.8068540332685935,0,1,28
0.954182835951732,0.8061377465403661,0,1,29
0.9544216247085922,0.7987089614613538,1,1,0
0.9540601357190298,0.7979430448230462,1,1,1
0.9546768057837818,0.7987506141269668,1,1,2
0.954141887302723,0.7977849123621557,1,1,3
0.9537269405946334,0.7977731903190584,1,1,4
0.9541368317095504,0.799200549816639,1,1,5
0.9539480116106788,0.7977041720790163,1,1,6
0.9548056331219672,0.7987865884514604,1,1,7
0.9544785782919136,0.798964487957467,1,1,8
0.9536709701642788,0.7976689436302208,1,1,9
0.9540766469726428,0.7985645806303434,1,1,10
0.9539977602558272,0.7988717716294089,1,1,11
0.9539159333468183,0.7989543956897118,1,1,12
0.9543158835420316,0.7989619160100139,1,1,13
0.9540738892491428,0.7990774084309235,1,1,14
0.9545373609042244,0.7992718272781068,1,1,15
0.9546504763056468,0.8023112498541383,1,1,16
0.954081117594738,0.7978398971478478,1,1,17
0.9549022161654852,0.7985232047899716,1,1,18
0.9539951196332592,0.7986072572875123,1,1,19
0.9539461789586048,0.7984441420375391,1,1,20
0.9540083695987316,0.7977358489885666,1,1,21
0.954061105255965,0.7997968199699753,1,1,22
0.9545947025452106,0.8000015379168115,1,1,23
0.9545613498639456,0.7991302934790859,1,1,24
0.9533034871027304,0.7975309531013166,1,1,25
0.9534556762681936,0.7991696583809147,1,1,26
0.9538662977222856,0.7984051590008445,1,1,27
0.953631726195792,0.798601099410513,1,1,28
0.9548810274229432,0.8001991194277233,1,1,29
0.9556037543175008,0.8031734551984847,2,1,0
0.9557023400677866,0.8058844565921259,2,1,1
0.9554799711094366,0.8030141420074901,2,1,2
0.9551147762793336,0.8024056493344067,2,1,3
0.9551813383684188,0.802454388010815,2,1,4
0.9540609098896132,0.8000500193204735,2,1,5
0.9554147214405502,0.804969590839002,2,1,6
0.954876518984138,0.8037453730190451,2,1,7
0.9550427019487824,0.8020900711449737,2,1,8
0.9551098113081417,0.8020855270576421,2,1,9
0.9555294192776272,0.8027080314669395,2,1,10
0.9549994578665608,0.8017096120172224,2,1,11
0.9552175818065582,0.8016845602553437,2,1,12
0.9555004683600452,0.8019088064861868,2,1,13
0.9547979909969488,0.8011400690881281,2,1,14
0.9546213687395738,0.8003236024103848,2,1,15
0.9550438069164062,0.8014466959328344,2,1,16
0.955057549683024,0.8009524800494427,2,1,17
0.9552045430600268,0.8004520080230573,2,1,18
0.9556499583720364,0.8020612392676915,2,1,19
0.9549150262692668,0.802212318996428,2,1,20
0.9551081387230052,0.8024589038897443,2,1,21
0.955082471456759,0.8028784096162361,2,1,22
0.9553022796639092,0.8027065504174985,2,1,23
0.9558852656952465,0.8038073577819727,2,1,24
0.95539475229452,0.8028838000112514,2,1,25
