train,test,fold,n_pairs,repeat
0.8493860423752042,0.4753929579669323,0,1,0
0.8531640354905761,0.4812138154756375,0,1,1
0.6473045239252364,0.4888311579079175,0,1,2
0.7786521544607532,0.4982430340342536,0,1,3
0.9133759358163144,0.4747177478457655,0,1,4
0.8513696480890367,0.4992132216372953,0,1,5
0.9173600971866848,0.4834461294638276,0,1,6
0.841176324955537,0.4906810434684787,0,1,7
0.7944086375833275,0.4919337643985803,0,1,8
0.9312786197283354,0.4673773672838769,0,1,9
0.6811925238686276,0.4851109337081168,0,1,10
0.8182743674510164,0.4915543818638392,0,1,11
0.8150460275866791,0.482518888431547,0,1,12
0.8956061510866398,0.5067276911318875,0,1,13
0.8058528822570136,0.4957584090012034,0,1,14
0.7348889399861929,0.4991851948505585,0,1,15
0.8741615192631197,0.4883607219904795,0,1,16
0.8934692803275828,0.4765017512092657,0,1,17
0.8856934992760699,0.4788293831018957,0,1,18
0.4240481401429654,0.4791972859030406,0,1,19
0.8006619238008004,0.4933809317923401,0,1,20
0.8786919608790649,0.4935190961114332,0,1,21
0.8234518244147881,0.4904314412337415,0,1,22
0.7222723523257697,0.4799210430948728,0,1,23
0.7253675235767646,0.4885274304429098,0,1,24
0.8227726703884923,0.4817655939706889,0,1,25
0.6946608032408947,0.4887599116645276,0,1,26
0.7056724413688711,0.4841329981430461,0,1,27
0.7648798632435649,0.4925502049957261,0,1,28
0.8962937827932638,0.4897556108555939,0,1,29
0.6636466534906358,0.4703307553597754,1,1,0
0.8244521570769867,0.446948559011264,1,1,1
0.7879806092854138,0.4616719472967522,1,1,2
0.7866275394116332,0.4563469976548494,1,1,3
0.8444430565248613,0.4674752564991346,1,1,4
0.8391220237336092,0.4543979807644147,1,1,5
0.8578483092800332,0.4515666596401907,1,1,6
0.748382647995647,0.4633287864548703,1,1,7
0.8300944099691046,0.4590310546984124,1,1,8
0.6684876821909289,0.447026007489843,1,1,9
0.8641668508275765,0.4550985609722132,1,1,10
0.7271352042356056,0.4483400196052769,1,1,11
0.8015904263658775,0.461905999912745,1,1,12
0.8734392174321265,0.4649783780345426,1,1,13
0.8235025273208121,0.4572612637588302,1,1,14
0.7365201554548899,0.4451936601181924,1,1,15
0.8267148612285483,0.4497562657045251,1,1,16
0.8471973149604909,0.4459769240330118,1,1,17
0.8489394974004396,0.4582878204109927,1,1,18
0.6287285632036722,0.4696795969006802,1,1,19
0.8902904683757138,0.4664355680630803,1,1,20
0.7358909649689243,0.4610362727101574,1,1,21
0.9239413960556754,0.4755042830771691,1,1,22
0.9184055718480488,0.450392816933231,1,1,23
0.7236739534388532,0.4386549053867872,1,1,24
0.5084197964331011,0.4542842152311601,1,1,25
0.8226935831802258,0.4535336157804139,1,1,26
0.8740828596996668,0.4495244621024894,1,1,27
0.6059059161834897,0.455742776138618,1,1,28
0.8457651891229601,0.4510433726483531,1,1,29
0.8299866252945467,0.4792718740344579,2,1,0
0.8469240952497212,0.4781572591253886,2,1,1
0.918887600916695,0.4555076435415729,2,1,2
0.8541949914684539,0.4685755355721135,2,1,3
0.6066646767208548,0.4576010647616665,2,1,4
0.814524532252106,0.4589280304370532,2,1,5
0.8179902249786777,0.4872142188066998,2,1,6
0.8643643237895264,0.4646337991057991,2,1,7
0.789594344621735,0.4599657188617117,2,1,8
0.8401924867746104,0.4607222516539848,2,1,9
0.8467962583879505,0.4742671114711411,2,1,10
0.8418321488536242,0.4712169930205038,2,1,11
0.9004448038818902,0.4557753142219168,2,1,12
0.6529647116173927,0.469669202780728,2,1,13
0.7648912091556948,0.4534874198428046,2,1,14
0.8346310840967923,0.4720254265905972,2,1,15
0.667674846248631,0.4721483023294875,2,1,16
0.8202751513962525,0.4575956242322437,2,1,17
0.7817707337109976,0.4727679415458548,2,1,18
0.8339679511753929,0.4652100804617358,2,1,19
0.8451092326024131,0.4628694355102413,2,1,20
0.5781562610525918,0.4641163082820596,2,1,21
0.9438814576231984,0.4588732325408853,2,1,22
0.8605063648795142,0.4790365660462348,2,1,23
0.922837903807011,0.4690357310687537,2,1,24
0.90195249278732,0.4492767013088736,2,1,25
0.8028403870806816,0.4618166964985467,2,1,26
0.7883485141061657,0.4701900663169963,2,1,27
0.8657600834897157,0.456758393381215,2,1,28
0.9095121294479382,0.4575671295197803,2,1,29
0.871430611181828,0.4409023386113682,3,1,0
0.6761197933742465,0.442399788494042,3,1,1
0.8120062407683397,0.4224331876135421,3,1,2
0.9141667876140472,0.4489949852948749,3,1,3
0.826563658651343,0.4424073774730455,3,1,4
0.94102476077905,0.4339089276596045,3,1,5
0.9444141113612674,0.4364949591994163,3,1,6
0.8570844684274062,0.4287661114210215,3,1,7
0.7967470583041854,0.4511559152211856,3,1,8
0.5903385638418476,0.4465289829301272,3,1,9
0.8362025477629045,0.4484969410774059,3,1,10
0.7441468680111687,0.4373696681695204,3,1,11
0.7336348067329967,0.4503053902747553,3,1,12
0.8197730380833698,0.4505358030197394,3,1,13
0.8334786761889341,0.4594100857992319,3,1,14
0.8470294404039682,0.4435015594848165,3,1,15
0.7257291330586404,0.4564063043267326,3,1,16
0.9454584201522586,0.4482091788043835,3,1,17
0.9084347049943148,0.4477053145518692,3,1,18
0.7745174016382298,0.4417904499755157,3,1,19
0.80561126222033,0.4535518668522547,3,1,20
0.8336220449372127,0.4390587780596248,3,1,21
0.8031722649752701,0.4448673130129179,3,1,22
0.8412662170960106,0.4652151278662613,3,1,23
0.9254061527143695,0.4400165986315936,3,1,24
0.8668889878752335,0.445622666625898,3,1,25
0.8169659613627254,0.429610085257475,3,1,26
0.8408097536102879,0.4515829918844056,3,1,27
0.8507950077805033,0.4404323009056735,3,1,28
0.7335229350067256,0.4309965974511827,3,1,29
0.8475870674261538,0.4577248963893168,4,1,0
0.8626388040579118,0.4489704775482627,4,1,1
0.940690633060204,0.4411513121986187,4,1,2
0.8182924747041009,0.4487720749634756,4,1,3
0.7502916924985836,0.4321470220280948,4,1,4
0.8997303842286943,0.4478921895370623,4,1,5
0.8522736547003047,0.4443410052482521,4,1,6
0.8640215300300755,0.4397526015089008,4,1,7
0.8051682864100704,0.4453485438555279,4,1,8
0.7884539004681713,0.4237964687828635,4,1,9
0.8457379850648195,0.4441995504101874,4,1,10
0.8142764465581067,0.4457579122970425,4,1,11
0.8495576657208679,0.4424217000294536,4,1,12
0.799035969680965,0.4478252726800033,4,1,13
0.4715382939806374,0.4593074610719809,4,1,14
0.7967323946336361,0.4323513206743954,4,1,15
0.7321704916808776,0.4447317037531201,4,1,16
0.7860509325922539,0.4620729953830005,4,1,17
0.925684790184282,0.4535377351681728,4,1,18
0.8352034925540963,0.4441939406186528,4,1,19
0.8236192262743243,0.4305310888968942,4,1,20
0.8815519855923136,0.4305658880932788,4,1,21
0.8948278041818025,0.4582904913347341,4,1,22
0.929638617980683,0.4586196845113175,4,1,23
0.7427660137256147,0.4389170044622086,4,1,24
0.8146103772565588,0.448797626438259,4,1,25
0.855330324618356,0.4313075069788409,4,1,26
0.8806469000982773,0.462262223359812,4,1,27
0.6535822333377506,0.450955196026367,4,1,28
0.7990749515679503,0.4525627898774592,4,1,29
0.8846608138094337,0.4865450941415071,0,2,0
0.915524647884762,0.4628638037294203,0,2,1
0.8336070280773138,0.4760980838568656,0,2,2
0.7497957715740429,0.4924308116214679,0,2,3
0.806195688042721,0.4892160755840172,0,2,4
0.7965959752840017,0.4986680501909669,0,2,5
0.7871436467604427,0.4959493739245556,0,2,6
0.8590264372699968,0.4807478912512485,0,2,7
0.8343508188945543,0.4990912463012346,0,2,8
0.8499412698720135,0.4728711225519835,0,2,9
0.7107144200634725,0.4905542948210962,0,2,10
0.7725662797659109,0.4944205633119293,0,2,11
0.8758323798616435,0.4959794809846919,0,2,12
0.9461464563182732,0.47718456360819,0,2,13
0.8588732022472558,0.4915199048082219,0,2,14
0.7946994926826967,0.4789342618787211,0,2,15
0.8112796866215828,0.4990926604230294,0,2,16
0.8966242144390357,0.476926729174981,0,2,17
0.6967958411602064,0.4987921835874851,0,2,18
0.8768258318846207,0.4869022884302485,0,2,19
0.8187298260347657,0.4858296920322967,0,2,20
0.8063839028715941,0.5008569585757205,0,2,21
0.8399344487720621,0.4824253611896483,0,2,22
0.789441761085188,0.4848514363622609,0,2,23
0.8789948119647524,0.4863919591150667,0,2,24
0.7529575139076354,0.4877928991340453,0,2,25
0.9052920614037048,0.4891618896110642,0,2,26
0.9181041715278644,0.5012623833645953,0,2,27
0.8401173397903985,0.4875301270792701,0,2,28
0.7901221462385752,0.4978071396221823,0,2,29
0.7939839644681478,0.4665453911636996,1,2,0
0.7897531245636231,0.4533581018839516,1,2,1
0.818033403836949,0.4635159236789758,1,2,2
0.7842149208882169,0.4426876209057436,1,2,3
0.7376610504511353,0.4505698269026919,1,2,4
0.7721268900434834,0.4539021184161844,1,2,5
0.908313187405894,0.4401409871676658,1,2,6
0.9298589554259048,0.4597733303879106,1,2,7
0.7644146837580377,0.4635385182338808,1,2,8
0.7884393098355487,0.4508516197523967,1,2,9
0.8781473941262715,0.4840688719346273,1,2,10
0.906392074925178,0.4604379705257618,1,2,11
0.7779861375788515,0.4439644853319608,1,2,12
0.9197977127435925,0.4451741141218729,1,2,13
0.854084360788951,0.470527270003126,1,2,14
0.8898647461074127,0.4250867509981502,1,2,15
0.8693725572731067,0.4748405437905905,1,2,16
0.7885647453930913,0.4765043550791313,1,2,17
0.8529895522403759,0.463951659226782,1,2,18
0.825201623116316,0.4747251936812801,1,2,19
0.6885164956800334,0.4457818476291886,1,2,20
0.7021507788036974,0.4544680188686254,1,2,21
0.8148703112559139,0.4422557994861406,1,2,22
0.8286985111623115,0.450839629832119,1,2,23
0.7038868380767653,0.4512624404004796,1,2,24
0.8041092063476829,0.4668240777880557,1,2,25
0.8098939320809126,0.4620952569934666,1,2,26
0.777648191749521,0.4640347017053785,1,2,27
0.8113418908866381,0.4469290013110057,1,2,28
0.8460267112652541,0.45474116426849,1,2,29
0.7663684356217475,0.469079387629646,2,2,0
0.8186762590584294,0.4677893137226021,2,2,1
0.9137663032421548,0.4576256163135164,2,2,2
0.8383610337944455,0.469649178103902,2,2,3
0.8635178117923602,0.4393825916721776,2,2,4
0.8886993000006902,0.4816743494110105,2,2,5
0.8847505095895316,0.4577453888218146,2,2,6
0.8049130287145948,0.456205374896355,2,2,7
0.8202466117123065,0.4645633992708708,2,2,8
0.8244643310152545,0.4639827122006965,2,2,9
0.7844425441533787,0.4657981869119969,2,2,10
0.9340142937624156,0.4591002303862944,2,2,11
0.925256020503699,0.4489071411810703,2,2,12
0.8505700926544577,0.4509053376864932,2,2,13
0.6581167498763331,0.4576682655115318,2,2,14
0.796650567030865,0.4643652479566286,2,2,15
0.7981335976838237,0.4623092751748136,2,2,16
0.713749478630294,0.4735175646122469,2,2,17
0.8630759146624285,0.4460391524768688,2,2,18
0.7327306554604895,0.4588727126035578,2,2,19
0.8790186526007931,0.4478796438808771,2,2,20
0.8521759986512716,0.4652545135540046,2,2,21
0.8954966136601547,0.4593699754036182,2,2,22
0.7728970750530029,0.4584058377811387,2,2,23
0.8405209477024678,0.4756504317279092,2,2,24
0.8146861167192847,0.4647684055988287,2,2,25
0.8628358489898029,0.4688360411956558,2,2,26
0.8372364703518758,0.4558581834057245,2,2,27
0.8448485909919794,0.449428211307381,2,2,28
0.6345912164971079,0.461810764306616,2,2,29
0.8369377837062592,0.4411827611646646,3,2,0
0.8192035969373319,0.4564481758262261,3,2,1
0.7964856989151046,0.4435776632459928,3,2,2
0.8977079085944881,0.4497879164814237,3,2,3
0.9056867422792654,0.4521789380586195,3,2,4
0.9283263818835784,0.4677710517291948,3,2,5
0.8973862365718255,0.4389214893808958,3,2,6
0.8325327232304918,0.4482950835249388,3,2,7
0.8551485642064722,0.4491939490407844,3,2,8
0.8159475417195701,0.4341614285205081,3,2,9
0.7047242447209147,0.4358787685815565,3,2,10
0.7879172568557306,0.43729069609981,3,2,11
0.8040867293269955,0.4543911830790861,3,2,12
0.854662278415646,0.4572473393534145,3,2,13
0.77188033607268,0.4353990635938971,3,2,14
0.8983354139402685,0.4573781558751778,3,2,15
0.9280427159336704,0.4540458329858609,3,2,16
0.8413587712551565,0.4489084953943917,3,2,17
0.7779006125152346,0.4572544547847594,3,2,18
0.8877017188266074,0.4638555767628123,3,2,19
0.8556710018277682,0.4255918363596804,3,2,20
0.8859633866602961,0.4275741132016529,3,2,21
0.926491822778848,0.4408375174432476,3,2,22
0.875085100339407,0.4281349578937824,3,2,23
0.7699522298784212,0.4692931124959641,3,2,24
0.8029657987809877,0.4361094874871389,3,2,25
0.8544161226761027,0.4519084854109061,3,2,26
0.7695145558149321,0.4472016480672031,3,2,27
0.9117737409030744,0.4295048233322864,3,2,28
0.7761635057586957,0.4399626169080911,3,2,29
0.8676857864754133,0.4436956986177082,4,2,0
0.8584387567491185,0.453503675657481,4,2,1
0.7793115671294921,0.4528421904336444,4,2,2
0.7680389775810958,0.4420746856404082,4,2,3
0.8926179757646837,0.4529733749389383,4,2,4
0.7004569115107189,0.4290372182179017,4,2,5
0.8118513085143102,0.4458136619436172,4,2,6
0.8599290505890957,0.431716431984843,4,2,7
0.7729412519176859,0.4475048251104006,4,2,8
0.9177515793631736,0.4503845052869116,4,2,9
0.832070227564953,0.4443404202067842,4,2,10
0.8943647608193914,0.439786117063654,4,2,11
0.8904066235626003,0.4411449043353068,4,2,12
0.9188746342037912,0.4446995891643093,4,2,13
0.9277522654471316,0.4502558667910847,4,2,14
0.8179042261968865,0.4492194041817681,4,2,15
0.8706108896753524,0.4612766184849201,4,2,16
0.8063490058649938,0.4442283686689157,4,2,17
0.8021474899640606,0.441736875561375,4,2,18
0.7770641310768456,0.4324654052075929,4,2,19
0.7673177623223986,0.4542130102075702,4,2,20
0.7365826893180287,0.4505562849877144,4,2,21
0.6187592351286719,0.4320720777641425,4,2,22
0.9117507527208494,0.4524908165750879,4,2,23
0.8218949288870636,0.431298402632734,4,2,24
0.904059528737434,0.4477636907766732,4,2,25
0.8043798959630035,0.443886205369656,4,2,26
0.8697974416403902,0.441215534554395,4,2,27
0.8682011541546588,0.4499075321260795,4,2,28
0.8727812768149426,0.4318770617261105,4,2,29
0.7988443389940159,0.4949858688747168,0,3,0
0.9438923614416024,0.4810451827970349,0,3,1
0.8647944935242486,0.5033043492675572,0,3,2
0.8410762121933636,0.5017857189656572,0,3,3
0.8069893705972674,0.4864713050653415,0,3,4
0.913521089446876,0.4778184066481047,0,3,5
0.7509734792404584,0.4959756524724769,0,3,6
0.8348723230008968,0.4788509895831382,0,3,7
0.9065417852927242,0.5068792408316991,0,3,8
0.8936853919358418,0.4853633203591598,0,3,9
0.912499749616622,0.4978587867781806,0,3,10
0.8330071851929117,0.497950968064183,0,3,11
0.7077208601173436,0.4947758921465501,0,3,12
0.8595950611014425,0.4831918812304323,0,3,13
0.8533886422965782,0.4881665799231762,0,3,14
0.8079721549215788,0.4977195051010877,0,3,15
0.8779750585254891,0.4979822073822058,0,3,16
