iteration,variable,value,sample_size,feature_size,variable_name
26,pv_4,0.999999924055286,32,64,X_1
27,pv_4,1.000000013748143,32,64,X_1
28,pv_4,0.9999999979122961,32,64,X_1
29,pv_4,0.9999998737224632,32,64,X_1
0,pv_5,0.9999999960410539,32,64,X_1
1,pv_5,1.0000000241520617,32,64,X_1
2,pv_5,0.9999991331528052,32,64,X_1
3,pv_5,1.0000000052139,32,64,X_1
4,pv_5,0.9999999868178748,32,64,X_1
5,pv_5,0.9999999553837642,32,64,X_1
6,pv_5,0.9999999976998825,32,64,X_1
7,pv_5,0.9999999969599498,32,64,X_1
8,pv_5,0.9999997791196625,32,64,X_1
9,pv_5,0.9999999786392028,32,64,X_1
10,pv_5,0.9999999850543837,32,64,X_1
11,pv_5,1.0000000276204275,32,64,X_1
12,pv_5,1.0000000033665772,32,64,X_1
13,pv_5,1.0000000011325565,32,64,X_1
14,pv_5,0.9999999552589651,32,64,X_1
15,pv_5,0.9999999992365805,32,64,X_1
16,pv_5,0.9999999687965222,32,64,X_1
17,pv_5,1.0000000166972136,32,64,X_1
18,pv_5,0.9999999763157933,32,64,X_1
19,pv_5,0.9999999497457164,32,64,X_1
20,pv_5,0.999999937867164,32,64,X_1
21,pv_5,0.9999999489248301,32,64,X_1
22,pv_5,0.999999989964233,32,64,X_1
23,pv_5,0.9999998921277301,32,64,X_1
24,pv_5,0.999999971235632,32,64,X_1
25,pv_5,0.999999913841117,32,64,X_1
26,pv_5,0.999999966032265,32,64,X_1
27,pv_5,0.9999999747572508,32,64,X_1
28,pv_5,0.999999954721747,32,64,X_1
29,pv_5,0.999999675859748,32,64,X_1
0,pv_6,0.9999999511803013,32,64,X_1
1,pv_6,0.9999999421277204,32,64,X_1
2,pv_6,0.9999999052063424,32,64,X_1
3,pv_6,0.9999999957242502,32,64,X_1
4,pv_6,1.0000000020241333,32,64,X_1
5,pv_6,0.9999999592905896,32,64,X_1
6,pv_6,0.9999999750483429,32,64,X_1
7,pv_6,0.9999999802937627,32,64,X_1
8,pv_6,0.999999961987182,32,64,X_1
9,pv_6,1.0000000077331732,32,64,X_1
10,pv_6,0.9999999822229055,32,64,X_1
11,pv_6,0.9999963574029068,32,64,X_1
12,pv_6,0.9999999582934649,32,64,X_1
13,pv_6,0.99999998435436,32,64,X_1
14,pv_6,0.9999999319487423,32,64,X_1
15,pv_6,0.9999999905190026,32,64,X_1
16,pv_6,0.9999999808339965,32,64,X_1
17,pv_6,0.9999999895953082,32,64,X_1
18,pv_6,0.9999999744861694,32,64,X_1
19,pv_6,1.0000000345188587,32,64,X_1
20,pv_6,0.9999998912279079,32,64,X_1
21,pv_6,0.9999999070303566,32,64,X_1
22,pv_6,0.9999999991760944,32,64,X_1
23,pv_6,0.9999999630152276,32,64,X_1
24,pv_6,1.0000000127412914,32,64,X_1
25,pv_6,0.9999999528338332,32,64,X_1
26,pv_6,0.9999999322130276,32,64,X_1
27,pv_6,0.9999999904907241,32,64,X_1
28,pv_6,0.9999999792976059,32,64,X_1
29,pv_6,0.9999995227058821,32,64,X_1
0,pv_7,0.9999999187805244,32,64,X_1
1,pv_7,0.9999999979008776,32,64,X_1
2,pv_7,0.9999999600214052,32,64,X_1
3,pv_7,0.9999999806815436,32,64,X_1
4,pv_7,0.9999999528556469,32,64,X_1
5,pv_7,1.0000000094355104,32,64,X_1
6,pv_7,1.0000000152020596,32,64,X_1
7,pv_7,0.9999999874779661,32,64,X_1
8,pv_7,0.9999999945971045,32,64,X_1
9,pv_7,0.9999999530697002,32,64,X_1
10,pv_7,1.000000003573119,32,64,X_1
11,pv_7,0.9999963099981793,32,64,X_1
12,pv_7,0.9999999761844591,32,64,X_1
13,pv_7,0.99999998513519,32,64,X_1
14,pv_7,1.0000000208440611,32,64,X_1
15,pv_7,1.0000000240176956,32,64,X_1
16,pv_7,0.9999999798261219,32,64,X_1
17,pv_7,0.999999978134887,32,64,X_1
18,pv_7,0.999999954564099,32,64,X_1
19,pv_7,0.9999999973375777,32,64,X_1
20,pv_7,1.000000016244068,32,64,X_1
21,pv_7,0.9999999194802967,32,64,X_1
22,pv_7,1.000000001097248,32,64,X_1
23,pv_7,0.9999999625184367,32,64,X_1
24,pv_7,1.0000000059837806,32,64,X_1
25,pv_7,0.9999997739450137,32,64,X_1
26,pv_7,0.9999999052288834,32,64,X_1
27,pv_7,1.0000000069295274,32,64,X_1
28,pv_7,0.9999999688557387,32,64,X_1
29,pv_7,0.9999999758127568,32,64,X_1
0,pv_8,0.999999938630932,32,64,X_1
1,pv_8,0.9999999819937003,32,64,X_1
2,pv_8,1.000000006738946,32,64,X_1
3,pv_8,0.9999999794800596,32,64,X_1
4,pv_8,0.9999999513275052,32,64,X_1
5,pv_8,0.9999999839185677,32,64,X_1
6,pv_8,0.9999999967109326,32,64,X_1
7,pv_8,0.9999999728341863,32,64,X_1
8,pv_8,0.9999999764880695,32,64,X_1
9,pv_8,0.9999999999843656,32,64,X_1
10,pv_8,1.0000000041470178,32,64,X_1
11,pv_8,1.0000000461735834,32,64,X_1
12,pv_8,1.0000000163062996,32,64,X_1
13,pv_8,0.99559130396193,32,64,X_1
14,pv_8,1.0000000398521713,32,64,X_1
15,pv_8,0.9999999661648202,32,64,X_1
16,pv_8,0.9999999463394132,32,64,X_1
17,pv_8,0.9999999448725163,32,64,X_1
18,pv_8,0.9999999840688572,32,64,X_1
19,pv_8,0.9999999997040009,32,64,X_1
20,pv_8,0.9999999844809693,32,64,X_1
21,pv_8,0.999999985596673,32,64,X_1
22,pv_8,0.9999999818254798,32,64,X_1
23,pv_8,1.0000000176824533,32,64,X_1
