feature_size,sample_size,iteration,cpu_time,gpu_time,speedup,min_pearson_1,mean_pearson_1,min_pearson_2,mean_pearson_2,min_pearson_1_val,mean_pearson_1_val,min_pearson_2_val,mean_pearson_2_val
64,32,0,0.07623360000000012,2.2721611,0.033551142126321994,0.9999999307631676,0.9999999911138892,0.9999998789892277,0.9999999890477427,0.9712712535845038,0.9947894952575671,0.981793922154831,0.9959538313942614
64,32,1,0.060365600000000796,0.4540184000000007,0.1329584880260375,0.996799566237009,0.9998933016178092,0.9982110767814428,0.9999403523919702,0.9565637575292378,0.9922391952770702,0.9032985379304181,0.990011490174259
64,32,2,0.06728380000000023,0.4080358999999998,0.16489676521110094,0.9984637728302855,0.9999487771799823,0.9988493477356151,0.9999616299610545,0.9586559841162098,0.9944251639622392,0.974834638829462,0.9949717200721434
64,32,3,0.07384539999999973,0.5445887999999997,0.13559845520142863,0.9999999395753506,0.9999999894666091,0.9999999396856392,0.9999999948500975,0.9302161241274851,0.9915654581085339,0.9364381418423244,0.9921891246614284
64,32,4,0.07672189999999901,0.5541603000000013,0.1384471244150814,0.9965198054094662,0.9998839904907922,0.9967203530200366,0.999890677612185,0.8903344279092191,0.9907189984285786,0.8868353422897498,0.9891325512719661
64,32,5,0.07310349999999843,0.5082682999999992,0.14382856455930568,0.9999999022842911,0.9999999830078481,0.9999999206988149,0.9999999892111989,0.9060144624053437,0.9895160311931027,0.9154658806843151,0.9890901598854209
64,32,6,0.06566079999999985,0.5269899999999996,0.1245959126359132,0.9999994946437684,0.99999995364882,0.9999994711561787,0.999999956154514,0.8915956105808098,0.9931075486340633,0.966882149939104,0.9964158443721821
64,32,7,0.06488140000000087,0.5168249000000031,0.1255384560612317,0.9999999581688771,0.9999999914700126,0.9999999309391755,0.9999999903851097,0.9642432976422319,0.9939709404778694,0.9550086341195406,0.9930718740596215
64,32,8,0.06188810000000089,0.5490670000000009,0.11271502384954986,0.9534213975965485,0.9984473554608518,0.954812853593751,0.998493746021415,0.9652212336344778,0.9946095230208918,0.9711887131255965,0.9951852971318126
64,32,9,0.06770309999999924,0.5461221000000016,0.1239706285462519,0.999999704198481,0.9999999691643994,0.9999997461164494,0.9999999666094659,0.9298118592429017,0.9914478928008996,0.9513258174227038,0.9933332152092952
64,32,10,0.06339449999999758,0.5412655999999991,0.11712272126659755,0.9999998845950889,0.9999999869231793,0.9999998572568812,0.9999999820606135,0.9474789014207907,0.9919110932900058,0.9790125553096278,0.9938652702641416
64,32,11,0.07803399999999883,0.6982734000000015,0.11175278909378283,0.9999998306362587,0.9999999848060154,0.999999843627068,0.99999998707371,0.9325129869035754,0.9933748919986037,0.9558788176509319,0.9934178485469023
64,32,12,0.06626070000000084,0.6283066999999996,0.1054591650860971,0.9999993940587527,0.9999999498754198,0.9999994097717078,0.9999999575779496,0.9585957021313205,0.9937634067075151,0.9735597565838168,0.9930464082268643
64,32,13,0.06821980000000138,0.5842203999999995,0.11677065710132929,0.9999999009061731,0.9999999795676829,0.9999999050405981,0.9999999852172192,0.9746544164856511,0.9921849237468329,0.9459701238559136,0.9901714109077648
64,32,14,0.0743709999999993,0.6162609000000003,0.1206810297391888,0.9999999576675156,0.9999999973732261,0.9999999377417669,0.9999999874003705,0.9277583781183159,0.9910403630302648,0.9228643118196852,0.9914513090302193
