iteration,variable,value,sample_size,feature_size,variable_name
12,pv_5,0.9999999448611104,32,64,X_2
13,pv_5,0.999999997086765,32,64,X_2
14,pv_5,0.9999999617353003,32,64,X_2
15,pv_5,0.9999999594595566,32,64,X_2
16,pv_5,0.9999999438863818,32,64,X_2
17,pv_5,0.9999999848019209,32,64,X_2
18,pv_5,0.9999999985084981,32,64,X_2
19,pv_5,1.000000003192782,32,64,X_2
20,pv_5,0.9999999511567331,32,64,X_2
21,pv_5,0.9999999668498841,32,64,X_2
22,pv_5,0.9999999841238468,32,64,X_2
23,pv_5,0.9999999865973248,32,64,X_2
24,pv_5,0.9999999618275766,32,64,X_2
25,pv_5,0.9999999721381132,32,64,X_2
26,pv_5,1.000000007680166,32,64,X_2
27,pv_5,0.9999999631551523,32,64,X_2
28,pv_5,1.0000000207752227,32,64,X_2
29,pv_5,0.9999999724954427,32,64,X_2
0,pv_6,0.9999999841252148,32,64,X_2
1,pv_6,0.9999999552529163,32,64,X_2
2,pv_6,1.0000000080926725,32,64,X_2
3,pv_6,0.9999999637439602,32,64,X_2
4,pv_6,1.0000000178177777,32,64,X_2
5,pv_6,0.9999999828747155,32,64,X_2
6,pv_6,0.9999999766784268,32,64,X_2
7,pv_6,0.9999999678325053,32,64,X_2
8,pv_6,0.9999998876353383,32,64,X_2
9,pv_6,0.9999993626405426,32,64,X_2
10,pv_6,0.999999971333973,32,64,X_2
11,pv_6,1.0000000336928736,32,64,X_2
12,pv_6,0.9999999856342002,32,64,X_2
13,pv_6,0.9999999767720231,32,64,X_2
14,pv_6,0.9999999769973347,32,64,X_2
15,pv_6,0.9999998189946535,32,64,X_2
16,pv_6,0.9999999500291336,32,64,X_2
17,pv_6,1.000000024851497,32,64,X_2
18,pv_6,0.9999999531826311,32,64,X_2
19,pv_6,0.9999999990882924,32,64,X_2
20,pv_6,1.0000000047595308,32,64,X_2
21,pv_6,0.9999999606543116,32,64,X_2
22,pv_6,0.9999999954518545,32,64,X_2
23,pv_6,0.9999999976231887,32,64,X_2
24,pv_6,0.9999999947105893,32,64,X_2
25,pv_6,0.9999999982071043,32,64,X_2
26,pv_6,1.0000000475143374,32,64,X_2
27,pv_6,1.000000026214533,32,64,X_2
28,pv_6,0.9999999542713712,32,64,X_2
29,pv_6,1.0000000444023245,32,64,X_2
0,pv_7,0.9999999786473069,32,64,X_2
1,pv_7,1.0000000079092541,32,64,X_2
2,pv_7,0.9999999793188261,32,64,X_2
3,pv_7,0.9999999759140354,32,64,X_2
4,pv_7,0.9999999271088621,32,64,X_2
5,pv_7,0.9999999748236695,32,64,X_2
6,pv_7,0.9999999759670323,32,64,X_2
7,pv_7,0.9999999843650209,32,64,X_2
8,pv_7,0.999999977795599,32,64,X_2
9,pv_7,0.9999997558165095,32,64,X_2
10,pv_7,1.0000000168558871,32,64,X_2
11,pv_7,1.0000000085310066,32,64,X_2
12,pv_7,0.9999999751679853,32,64,X_2
13,pv_7,0.9999999911702073,32,64,X_2
14,pv_7,1.0000000160540554,32,64,X_2
15,pv_7,0.9999999042477161,32,64,X_2
16,pv_7,1.000000001565754,32,64,X_2
17,pv_7,1.0000000048228481,32,64,X_2
18,pv_7,1.000000038430806,32,64,X_2
19,pv_7,0.9999999679981822,32,64,X_2
20,pv_7,1.0000000224331633,32,64,X_2
21,pv_7,0.9820533621609918,32,64,X_2
22,pv_7,0.9999999793971204,32,64,X_2
23,pv_7,0.99999997139287,32,64,X_2
24,pv_7,0.9999999944431651,32,64,X_2
25,pv_7,0.9999999800834002,32,64,X_2
26,pv_7,1.0000000233881587,32,64,X_2
27,pv_7,0.9999999784043238,32,64,X_2
28,pv_7,1.0000000042188981,32,64,X_2
29,pv_7,1.0000000429405922,32,64,X_2
0,pv_8,1.0000000241309361,32,64,X_2
1,pv_8,1.0000000035791559,32,64,X_2
2,pv_8,1.0000000139042726,32,64,X_2
3,pv_8,0.9999999770033199,32,64,X_2
4,pv_8,0.9999999339803195,32,64,X_2
5,pv_8,0.9999999749445296,32,64,X_2
6,pv_8,0.9999999764847195,32,64,X_2
7,pv_8,0.9999999695424324,32,64,X_2
8,pv_8,0.9999999882031531,32,64,X_2
9,pv_8,0.9999999752938803,32,64,X_2
10,pv_8,0.9999999949577748,32,64,X_2
11,pv_8,0.9999999955118338,32,64,X_2
12,pv_8,1.0000000077406863,32,64,X_2
13,pv_8,0.9999999570637546,32,64,X_2
14,pv_8,1.0000000123596984,32,64,X_2
15,pv_8,0.9999999401944053,32,64,X_2
16,pv_8,0.9999999749594255,32,64,X_2
17,pv_8,0.9999994214329616,32,64,X_2
18,pv_8,0.9999999753626161,32,64,X_2
19,pv_8,0.9999999750934156,32,64,X_2
20,pv_8,1.000000007896697,32,64,X_2
21,pv_8,0.9999999696329893,32,64,X_2
22,pv_8,0.9999999862653941,32,64,X_2
23,pv_8,0.9999999646037179,32,64,X_2
24,pv_8,0.9999994543619762,32,64,X_2
25,pv_8,0.999999960372876,32,64,X_2
26,pv_8,0.9999999994880181,32,64,X_2
27,pv_8,1.0000000561278857,32,64,X_2
28,pv_8,1.0000000017047077,32,64,X_2
29,pv_8,1.0000000017568582,32,64,X_2
0,pv_9,0.9999999502514944,32,64,X_2
1,pv_9,0.9999999878206183,32,64,X_2
2,pv_9,0.9999887858620714,32,64,X_2
3,pv_9,0.999999966448205,32,64,X_2
4,pv_9,1.0000000104119322,32,64,X_2
5,pv_9,0.999999973740943,32,64,X_2
6,pv_9,1.0000000066033745,32,64,X_2
7,pv_9,0.9999999932636905,32,64,X_2
8,pv_9,0.9999999655968571,32,64,X_2
9,pv_9,0.9999999966200452,32,64,X_2
10,pv_9,0.9999999710857267,32,64,X_2
11,pv_9,0.9999999983242098,32,64,X_2
12,pv_9,0.999999974386472,32,64,X_2
13,pv_9,0.9999999682518685,32,64,X_2
14,pv_9,1.0000000112687246,32,64,X_2
15,pv_9,0.9999999949237719,32,64,X_2
16,pv_9,1.0000000082996432,32,64,X_2
17,pv_9,0.9999994968263243,32,64,X_2
18,pv_9,0.9999999870578629,32,64,X_2
19,pv_9,0.9999999861162479,32,64,X_2
20,pv_9,0.9999999830674442,32,64,X_2
21,pv_9,0.999999990117495,32,64,X_2
22,pv_9,0.9999999724943655,32,64,X_2
23,pv_9,0.9999999802250723,32,64,X_2
24,pv_9,0.9999995672322344,32,64,X_2
25,pv_9,1.0000000163477638,32,64,X_2
26,pv_9,0.9999999460899183,32,64,X_2
27,pv_9,0.9999999898004492,32,64,X_2
28,pv_9,1.000000001095369,32,64,X_2
29,pv_9,1.0000000066648738,32,64,X_2
0,pv_10,0.9999999581989555,32,64,X_2
1,pv_10,0.9999999873397196,32,64,X_2
2,pv_10,0.9999963607338668,32,64,X_2
3,pv_10,1.000000043821563,32,64,X_2
4,pv_10,1.000000005017458,32,64,X_2
5,pv_10,0.9999999799138729,32,64,X_2
6,pv_10,0.9999999878332368,32,64,X_2
7,pv_10,0.9999999877293091,32,64,X_2
8,pv_10,0.9999999805585649,32,64,X_2
9,pv_10,0.999999980122627,32,64,X_2
10,pv_10,0.9999999020224175,32,64,X_2
11,pv_10,0.9999999758704745,32,64,X_2
12,pv_10,0.9999999572143375,32,64,X_2
13,pv_10,0.9999999826240334,32,64,X_2
14,pv_10,0.9999999615668278,32,64,X_2
15,pv_10,0.999999985462302,32,64,X_2
16,pv_10,0.9999999962864854,32,64,X_2
17,pv_10,0.9999999129587314,32,64,X_2
18,pv_10,0.9999999785437588,32,64,X_2
19,pv_10,0.9999999970397992,32,64,X_2
20,pv_10,0.9999999987955361,32,64,X_2
21,pv_10,1.0000000020618034,32,64,X_2
22,pv_10,1.0000000057274279,32,64,X_2
23,pv_10,0.9999999190070277,32,64,X_2
24,pv_10,0.9999999403414562,32,64,X_2
25,pv_10,0.9999999566194053,32,64,X_2
26,pv_10,0.9999998867752847,32,64,X_2
27,pv_10,1.0000000241982951,32,64,X_2
28,pv_10,1.0000000030324996,32,64,X_2
29,pv_10,1.0000000152984485,32,64,X_2
0,pv_11,0.9999999789970032,32,64,X_2
1,pv_11,0.9999999870431701,32,64,X_2
2,pv_11,0.9999999558172173,32,64,X_2
3,pv_11,1.0000000447160673,32,64,X_2
4,pv_11,0.9999999707399184,32,64,X_2
5,pv_11,0.999999987002082,32,64,X_2
6,pv_11,0.9999999829780867,32,64,X_2
7,pv_11,0.9999999965675702,32,64,X_2
8,pv_11,1.0000000368143438,32,64,X_2
9,pv_11,0.9999999833292598,32,64,X_2
10,pv_11,1.0000000106121192,32,64,X_2
11,pv_11,0.9999999928595823,32,64,X_2
12,pv_11,0.9999999867761427,32,64,X_2
13,pv_11,0.9999999434161024,32,64,X_2
14,pv_11,0.9999999714108841,32,64,X_2
15,pv_11,1.000000014075484,32,64,X_2
16,pv_11,0.9999999702059109,32,64,X_2
17,pv_11,0.9999999740673484,32,64,X_2
18,pv_11,0.9999999776485932,32,64,X_2
19,pv_11,1.0000000111061393,32,64,X_2
20,pv_11,0.9999999610926431,32,64,X_2
21,pv_11,0.9999999703929169,32,64,X_2
22,pv_11,1.000000015948094,32,64,X_2
23,pv_11,1.0000000466479162,32,64,X_2
24,pv_11,0.9999999761666912,32,64,X_2
25,pv_11,1.0000000364950947,32,64,X_2
26,pv_11,1.0000000067448587,32,64,X_2
27,pv_11,0.9999999660544672,32,64,X_2
28,pv_11,0.9999999676926773,32,64,X_2
29,pv_11,0.9999999954434134,32,64,X_2
0,pv_12,0.9999999893912793,32,64,X_2
1,pv_12,1.000000000742819,32,64,X_2
2,pv_12,0.9999999643952668,32,64,X_2
3,pv_12,0.9999999755554041,32,64,X_2
4,pv_12,0.9999999940112977,32,64,X_2
5,pv_12,0.9999999720130223,32,64,X_2
6,pv_12,0.9999999651728746,32,64,X_2
7,pv_12,0.999999976394944,32,64,X_2
8,pv_12,0.9999999906024157,32,64,X_2
9,pv_12,1.0000000117734316,32,64,X_2
10,pv_12,1.0000000211875062,32,64,X_2
11,pv_12,1.000000002119182,32,64,X_2
12,pv_12,1.0000000058812208,32,64,X_2
13,pv_12,0.9999998454672276,32,64,X_2
14,pv_12,1.0000000091401215,32,64,X_2
15,pv_12,0.9999999616910208,32,64,X_2
16,pv_12,0.9999999560679994,32,64,X_2
17,pv_12,0.9999999925079012,32,64,X_2
18,pv_12,0.9999999974102355,32,64,X_2
19,pv_12,1.000000005764844,32,64,X_2
20,pv_12,0.9999999566116989,32,64,X_2
21,pv_12,1.0000000044137212,32,64,X_2
22,pv_12,0.9999999960513317,32,64,X_2
23,pv_12,0.9999999941187443,32,64,X_2
24,pv_12,1.0000000210501903,32,64,X_2
25,pv_12,0.9999999763242333,32,64,X_2
26,pv_12,1.000000002574806,32,64,X_2
27,pv_12,0.9999999915388936,32,64,X_2
28,pv_12,0.9999999890160538,32,64,X_2
29,pv_12,0.9999999293531031,32,64,X_2
0,pv_13,0.9999999937688694,32,64,X_2
1,pv_13,0.9999999985359715,32,64,X_2
2,pv_13,1.0000000050098306,32,64,X_2
3,pv_13,1.0000000046373814,32,64,X_2
4,pv_13,1.0000000130331168,32,64,X_2
5,pv_13,0.999999978654391,32,64,X_2
6,pv_13,1.0000000060622862,32,64,X_2
7,pv_13,1.000000040407933,32,64,X_2
8,pv_13,0.999999980803279,32,64,X_2
9,pv_13,0.9999999783086078,32,64,X_2
10,pv_13,1.0000000243743272,32,64,X_2
11,pv_13,0.9999999923243706,32,64,X_2
12,pv_13,0.9999999962763547,32,64,X_2
13,pv_13,0.9999998940975205,32,64,X_2
14,pv_13,0.9999999683556282,32,64,X_2
15,pv_13,0.9999999777822002,32,64,X_2
16,pv_13,1.0000000154825455,32,64,X_2
17,pv_13,0.9999999784717253,32,64,X_2
18,pv_13,1.0000000334245833,32,64,X_2
19,pv_13,1.0000000258556798,32,64,X_2
20,pv_13,1.0000000024384879,32,64,X_2
21,pv_13,1.0000000031761056,32,64,X_2
22,pv_13,0.999999986258892,32,64,X_2
23,pv_13,1.000000005994314,32,64,X_2
24,pv_13,0.9999999813213771,32,64,X_2
25,pv_13,0.999999976836367,32,64,X_2
26,pv_13,0.9999999842633389,32,64,X_2
27,pv_13,0.9999999892652437,32,64,X_2
28,pv_13,0.9999999692674517,32,64,X_2
29,pv_13,0.9999999628521415,32,64,X_2
0,pv_14,1.0000000001573037,32,64,X_2
1,pv_14,1.0000000006493053,32,64,X_2
2,pv_14,0.9999999870026602,32,64,X_2
3,pv_14,1.0000000011888721,32,64,X_2
4,pv_14,1.0000000038096644,32,64,X_2
5,pv_14,0.9999999823742486,32,64,X_2
6,pv_14,1.0000000118463244,32,64,X_2
7,pv_14,0.9999999963498083,32,64,X_2
8,pv_14,1.000000033217231,32,64,X_2
9,pv_14,1.0000000097053738,32,64,X_2
10,pv_14,1.000000017879035,32,64,X_2
11,pv_14,0.9999999747259903,32,64,X_2
12,pv_14,1.000000031955646,32,64,X_2
13,pv_14,0.9999999920037008,32,64,X_2
14,pv_14,0.9999999623750716,32,64,X_2
15,pv_14,0.9999999918072543,32,64,X_2
16,pv_14,1.0000000152602504,32,64,X_2
17,pv_14,0.9999999889350306,32,64,X_2
18,pv_14,0.9999999992794826,32,64,X_2
19,pv_14,0.9999999957980525,32,64,X_2
20,pv_14,1.0000000000729037,32,64,X_2
21,pv_14,0.9999999920551,32,64,X_2
22,pv_14,0.9999999625879851,32,64,X_2
23,pv_14,1.000000006017777,32,64,X_2
24,pv_14,1.0000000161191487,32,64,X_2
25,pv_14,0.9999999825551036,32,64,X_2
26,pv_14,1.0000000043847983,32,64,X_2
27,pv_14,1.000000015902881,32,64,X_2
28,pv_14,0.9999999614096193,32,64,X_2
29,pv_14,0.9999999564688807,32,64,X_2
0,pv_15,0.9999999825987324,32,64,X_2
1,pv_15,1.0000000292701208,32,64,X_2
2,pv_15,0.9999999844638359,32,64,X_2
3,pv_15,1.0000000390072379,32,64,X_2
4,pv_15,1.0000000322307476,32,64,X_2
5,pv_15,0.9999999774225967,32,64,X_2
6,pv_15,1.0000000084901108,32,64,X_2
7,pv_15,1.0000000109614628,32,64,X_2
8,pv_15,1.0000000376635898,32,64,X_2
9,pv_15,0.999999996304191,32,64,X_2
10,pv_15,1.0000000187486573,32,64,X_2
11,pv_15,0.9999999923059646,32,64,X_2
12,pv_15,0.9999999758451487,32,64,X_2
13,pv_15,0.9999999871534127,32,64,X_2
14,pv_15,0.9999999987784811,32,64,X_2
15,pv_15,0.9999999764668965,32,64,X_2
16,pv_15,1.0000000176549855,32,64,X_2
17,pv_15,0.9999999964847486,32,64,X_2
18,pv_15,1.000000025826295,32,64,X_2
19,pv_15,1.0000000188620253,32,64,X_2
20,pv_15,0.9999999384711602,32,64,X_2
21,pv_15,1.0000000154349564,32,64,X_2
22,pv_15,1.000000008153544,32,64,X_2
23,pv_15,0.9999999658028417,32,64,X_2
24,pv_15,1.0000000112494627,32,64,X_2
25,pv_15,0.9999999951333618,32,64,X_2
26,pv_15,0.9999999977618443,32,64,X_2
27,pv_15,0.9999999934940911,32,64,X_2
28,pv_15,1.0000000080172613,32,64,X_2
29,pv_15,0.9999999704829807,32,64,X_2
0,pv_16,0.9999999936146465,32,64,X_2
1,pv_16,0.99999998487737,32,64,X_2
2,pv_16,0.9999999807196035,32,64,X_2
3,pv_16,0.9999999630713889,32,64,X_2
4,pv_16,0.9999999831973909,32,64,X_2
5,pv_16,0.9999999882918051,32,64,X_2
6,pv_16,0.9999999673322968,32,64,X_2
7,pv_16,0.9999999502826575,32,64,X_2
8,pv_16,1.0000000215154172,32,64,X_2
9,pv_16,0.9999999211143664,32,64,X_2
