feature_size,sample_size,avg_cpu_time,std_cpu_time,avg_gpu_time,std_gpu_time,avg_speedup,std_speedup
64,32,0.0626074500000005,0.0038235359024161772,0.5065205100000002,0.24668240490859317,0.13326615982140447,0.022881367493662434
64,64,0.08498682666666753,0.004384878478631428,0.46627073666666663,0.05567005786280965,0.18380833391234688,0.015466444652375344
64,128,0.14354760000000036,0.004480324120586358,0.4476000299999986,0.03339033607525102,0.32235239193237847,0.025183900324906278
64,256,0.3612499333333327,0.009648357731343366,0.4480820866666647,0.041652754762639084,0.8125063309214976,0.07388295413050806
64,512,0.8665375500000001,0.0651171576216232,0.6376979433333285,0.06317986337116117,1.3638861583145754,0.08359904555750582
64,1024,2.529251603333334,0.1073346264889639,0.7577215366666621,0.04834102497436536,3.3456095480575527,0.16688440449922262
128,32,0.060660110000003445,0.0017382875269713097,0.4596958633333391,0.04542236152879146,0.13300850936518624,0.011896953409667121
128,64,0.08695132666666912,0.0023518884670256563,0.44890652000000464,0.038726327762874414,0.19509185665712905,0.017475642751824255
128,128,0.14621995333333568,0.0028820343795082195,0.44136548666666237,0.02592156391107777,0.33238159217761887,0.020334713753337744
128,256,0.25216801999999916,0.006143356378676008,0.45548883333334894,0.03688011979421207,0.5566772497547204,0.04143773869970015
128,512,0.6462951000000127,0.019810572687552996,0.5954175633333193,0.05876663343989219,1.0957779142687942,0.11318129277503747
128,1024,2.3774384799999932,0.09385790721693056,0.7580705966666755,0.056967012989021695,3.1499633431632077,0.22605700836975798
256,32,0.061001143333339766,0.0020530668053773253,0.4570208199999911,0.045416763889321574,0.1344650901668425,0.011288343681711745
256,64,0.08610145999999759,0.0023981026293945595,0.44149044999998827,0.03204879211318313,0.1959942358344677,0.01505373905969645
256,128,0.14411877333333603,0.007040835958643142,0.4538695100000003,0.04067175162928301,0.3191205832793203,0.0223091438107703
256,256,0.2503755933333309,0.007988761349205911,0.4935871666666685,0.03978933348033543,0.5097052393192261,0.034374723495845354
256,512,0.769809593333332,0.05385714000857569,0.7299817799999876,0.0494702295726956,1.0555711549500164,0.05182395213009653
256,1024,2.4872322833333254,0.1415575267116997,0.787868806666673,0.052203151661582764,3.1647271216403015,0.20532164682051615
512,32,0.0672633099999833,0.0019520735487322833,0.46099146000000624,0.04217345148841086,0.14692235606557283,0.01234251806301621
512,64,0.08618411666669393,0.002095290199164548,0.45474355333337824,0.032214594148711466,0.19039448780852525,0.013577382290128281
512,128,0.14642924666666962,0.005056924019904565,0.4943733733333374,0.03244256496360126,0.29742393261252503,0.02197089254734512
512,256,0.27097581333332527,0.010739201552917521,0.5438286633333216,0.05342768824842861,0.5015591800371557,0.03809004768554418
512,512,0.6818201566666857,0.032068607589681025,0.6117134033333362,0.05537433433096176,1.121059076582372,0.08912814578803603
512,1024,2.4351455833333224,0.09867668746002103,0.7483255633333404,0.044493712674303285,3.2601824807409927,0.14212095342644065
1024,32,0.06973552333333828,0.0014891566207388125,0.4623744399999926,0.05457158837512979,0.15239300311388443,0.014331680814678125
1024,64,0.0883360099999815,0.001919748063454114,0.4786856066666587,0.0305853613919919,0.18528512722941393,0.012727542310221404
1024,128,0.15564582666667473,0.003806630694742435,0.47956482999998873,0.03571045633891379,0.3262163789512297,0.024345842990354975
1024,256,0.2755267466666434,0.005141588470620647,0.48609847999997935,0.043228557684128394,0.5709001593818861,0.04878717947368578
1024,512,0.7172274500000033,0.0386316539353091,0.6199873833333186,0.04682191446939237,1.1609070250801166,0.07673198694024214
1024,1024,2.7347963233333377,0.1754712195823412,0.7913509799999777,0.05282256068141289,3.4628239219404207,0.21157594219259918
2048,32,0.07183921999999257,0.002547017788211408,0.496570190000034,0.04323388024470485,0.1455028660612612,0.011300635151608382
2048,64,0.09843438666665255,0.002138231770236344,0.47377312333333826,0.02306380544033555,0.20823846662699952,0.011007636453756603
2048,128,0.17071538999995634,0.00441015737785683,0.47404907333332935,0.032370311225173795,0.3616337144421256,0.02484700978745228
2048,256,0.3106086533333079,0.007401142058380181,0.4936005000000326,0.04204624779252401,0.6336339451793377,0.05514400065688331
2048,512,0.8837073666666584,0.0459748316398678,0.6701676666666875,0.060603092933282414,1.3249063417218896,0.08560929078443115
2048,1024,3.12838383000003,0.14429391670206929,0.8068378199999188,0.12271870144481226,3.937631609332994,0.4695726538757259
